"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA"
"Depth.te.BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min","Depth.te.BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min","te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",67822.8806831504,68019.3846613795,0.00102,NA,29.44,0,2122.378,2174.221,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"BottomVegCover+Depth+Dissolved.oxygen.Min.te.Temperature.Min","BottomVegCover+Depth+Dissolved.oxygen.Min.te.Temperature.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",68210.629855149,68351.699421261,0.00102,NA,21.2,0,2510.127,2506.536,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"Dist_To_River.te.Dissolved.oxygen.Min+HA_PA+Temperature.Min.by.HA_PA","Dist_To_River.te.Dissolved.oxygen.Min+HA_PA+Temperature.Min.by.HA_PA","s(Temperature.Min, by = HA_PA, k = 4, bs = ""ts"") + te(Dist_To_River, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",68526.817220402,68658.1246891975,0.00149,NA,19.87,0,2826.314,2812.961,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"Depth.te.Temperature.Min+Dissolved.oxygen.Min+HA_PA","Depth.te.Temperature.Min+Dissolved.oxygen.Min+HA_PA","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + te(Depth, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",68587.6653080945,68717.1587731938,0.00155,NA,19.52,0,2887.163,2871.995,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Dist_To_River.te.Dissolved.oxygen.Min+HA_PA+Temperature.Min","Dist_To_River.te.Dissolved.oxygen.Min+HA_PA+Temperature.Min","s(Temperature.Min, k = 4, bs = ""ts"") + te(Dist_To_River, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",68608.5261798305,68720.1460111576,0.00148,NA,16.89,0,2908.023,2874.983,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"Depth.te.Temperature.Min+Dissolved.oxygen.Min.by.HA_PA+HA_PA","Depth.te.Temperature.Min+Dissolved.oxygen.Min.by.HA_PA+HA_PA","s(Dissolved.oxygen.Min, by = HA_PA, k = 4, bs = ""ts"") + te(Depth, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",68657.1517151959,68795.8572788531,0.00105,NA,20.81,0,2956.649,2950.694,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Dist_To_Shore.te.Dissolved.oxygen.Min+HA_PA+Temperature.Min.by.HA_PA","Dist_To_Shore.te.Dissolved.oxygen.Min+HA_PA+Temperature.Min.by.HA_PA","s(Temperature.Min, by = HA_PA, k = 4, bs = ""ts"") + te(Dist_To_Shore, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",68729.619355322,68863.951679689,0.00159,NA,20.24,0,3029.117,3018.788,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Depth.te.Dissolved.oxygen.Min+HA_PA+Temperature.Min.by.HA_PA","Depth.te.Dissolved.oxygen.Min+HA_PA+Temperature.Min.by.HA_PA","s(Temperature.Min, by = HA_PA, k = 4, bs = ""ts"") + te(Depth, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",68795.7820906319,68940.4747146225,0.00125,NA,21.89,0,3095.279,3095.311,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Dist_To_Shore.te.Dissolved.oxygen.Min+HA_PA+Temperature.Min","Dist_To_Shore.te.Dissolved.oxygen.Min+HA_PA+Temperature.Min","s(Temperature.Min, k = 4, bs = ""ts"") + te(Dist_To_Shore, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",68816.1822404676,68931.0570609037,0.00159,NA,17.34,0,3115.679,3085.894,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Dissolved.oxygen.Min.by.Mud+HA_PA+Mud+Temperature.Min.by.Mud","Dissolved.oxygen.Min.by.Mud+HA_PA+Mud+Temperature.Min.by.Mud","s(Dissolved.oxygen.Min, by = Mud, k = 4, bs = ""ts"") + s(Temperature.Min, by = Mud, k = 4, bs = ""ts"") + HA_PA + Mud",68841.8679595582,68939.0926358582,0.00116,NA,14.59,0,3141.365,3093.929,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
"Depth.by.Seagrass_PA+Dissolved.oxygen.Min.te.Temperature.Min+Seagrass_PA","Depth.by.Seagrass_PA+Dissolved.oxygen.Min.te.Temperature.Min+Seagrass_PA","s(Depth, by = Seagrass_PA, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Seagrass_PA",68891.4264463738,69028.257949065,0.00101,NA,20.48,0,3190.924,3183.095,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"Depth.te.Dissolved.oxygen.Min+HA_PA+Temperature.Min","Depth.te.Dissolved.oxygen.Min+HA_PA+Temperature.Min","s(Temperature.Min, k = 4, bs = ""ts"") + te(Depth, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",68915.7996577169,69041.1231132108,0.00123,NA,18.94,0,3215.297,3195.96,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Dissolved.oxygen.Min.by.Mud+HA_PA+Mud+Temperature.Min.by.HA_PA","Dissolved.oxygen.Min.by.Mud+HA_PA+Mud+Temperature.Min.by.HA_PA","s(Dissolved.oxygen.Min, by = Mud, k = 4, bs = ""ts"") + s(Temperature.Min, by = HA_PA, k = 4, bs = ""ts"") + HA_PA + Mud",68962.8684376521,69060.8194962159,0.0012,NA,14.92,0,3262.366,3215.656,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
"Depth+Dissolved.oxygen.Min.te.Temperature.Min+Seagrass_PA","Depth+Dissolved.oxygen.Min.te.Temperature.Min+Seagrass_PA","s(Depth, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Seagrass_PA",68995.267376479,69123.906963725,0.00101,NA,19.27,0,3294.765,3278.744,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore.te.BottomVegCover","Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore.te.BottomVegCover","te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",69015.3276741096,69215.7116429741,0.00106,NA,30,0,3314.825,3370.548,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"Dissolved.oxygen.Min.by.Mud+HA_PA+Mud+Temperature.Min","Dissolved.oxygen.Min.by.Mud+HA_PA+Mud+Temperature.Min","s(Temperature.Min, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, by = Mud, k = 4, bs = ""ts"") + HA_PA + Mud",69034.7296881103,69113.1092215506,0.0012,NA,11.96,0,3334.227,3267.946,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
"Dissolved.oxygen.Min+Dist_To_Shore.by.HA_PA+HA_PA+Temperature.Min.by.HA_PA","Dissolved.oxygen.Min+Dist_To_Shore.by.HA_PA+HA_PA+Temperature.Min.by.HA_PA","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = HA_PA, k = 4, bs = ""ts"") + s(Temperature.Min, by = HA_PA, k = 4, bs = ""ts"") + HA_PA",69065.4027213527,69166.6859365493,0.00159,NA,15.17,0,3364.9,3321.523,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Depth.by.HA_PA+Dissolved.oxygen.Min+HA_PA+Temperature.Min.by.HA_PA","Depth.by.HA_PA+Dissolved.oxygen.Min+HA_PA+Temperature.Min.by.HA_PA","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Depth, by = HA_PA, k = 4, bs = ""ts"") + s(Temperature.Min, by = HA_PA, k = 4, bs = ""ts"") + HA_PA",69091.9636511641,69194.8030359017,0.00155,NA,15.31,0,3391.461,3349.64,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Dissolved.oxygen.Min.by.HA_PA+Dist_To_Shore.by.HA_PA+HA_PA+Temperature.Min.by.HA_PA","Dissolved.oxygen.Min.by.HA_PA+Dist_To_Shore.by.HA_PA+HA_PA+Temperature.Min.by.HA_PA","s(Dissolved.oxygen.Min, by = HA_PA, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = HA_PA, k = 4, bs = ""ts"") + s(Temperature.Min, by = HA_PA, k = 4, bs = ""ts"") + HA_PA",69144.8625933092,69255.7625320647,0.00108,NA,16.42,0,3444.36,3410.599,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Depth.by.HA_PA+Dissolved.oxygen.Min.by.HA_PA+HA_PA+Temperature.Min.by.HA_PA","Depth.by.HA_PA+Dissolved.oxygen.Min.by.HA_PA+HA_PA+Temperature.Min.by.HA_PA","s(Depth, by = HA_PA, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, by = HA_PA, k = 4, bs = ""ts"") + s(Temperature.Min, by = HA_PA, k = 4, bs = ""ts"") + HA_PA",69196.6725473756,69309.0971143528,0.00105,NA,16.57,0,3496.17,3463.934,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Dissolved.oxygen.Min+Dist_To_Shore.te.Temperature.Min+HA_PA","Dissolved.oxygen.Min+Dist_To_Shore.te.Temperature.Min+HA_PA","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + te(Dist_To_Shore, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",69203.744162126,69314.4906749506,0.0016,NA,16.39,0,3503.241,3469.327,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Depth+Dissolved.oxygen.Min+HA_PA+Temperature.Min.by.HA_PA","Depth+Dissolved.oxygen.Min+HA_PA+Temperature.Min.by.HA_PA","s(Depth, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Temperature.Min, by = HA_PA, k = 4, bs = ""ts"") + HA_PA",69212.3757692699,69299.159843945,0.00155,NA,12.91,0,3511.873,3453.997,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"BottomVegCover.by.SY_PA+Dissolved.oxygen.Min.te.Temperature.Min+SY_PA","BottomVegCover.by.SY_PA+Dissolved.oxygen.Min.te.Temperature.Min+SY_PA","s(BottomVegCover, by = SY_PA, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + SY_PA",69218.3789457306,69367.1692843092,0.00106,NA,22.52,0,3517.876,3522.006,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
"Dissolved.oxygen.Min+HA_PA+Mud+Temperature.Min.by.Mud","Dissolved.oxygen.Min+HA_PA+Mud+Temperature.Min.by.Mud","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Temperature.Min, by = Mud, k = 4, bs = ""ts"") + HA_PA + Mud",69233.2604272429,69311.5952547458,0.00158,NA,11.88,0,3532.758,3466.432,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
"Dissolved.oxygen.Min+Dist_To_Shore.by.HA_PA+HA_PA+Temperature.Min","Dissolved.oxygen.Min+Dist_To_Shore.by.HA_PA+HA_PA+Temperature.Min","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = HA_PA, k = 4, bs = ""ts"") + HA_PA",69237.280581447,69318.5943261752,0.0016,NA,12.04,0,3536.778,3473.431,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Dissolved.oxygen.Min+Dist_To_Shore+HA_PA+Temperature.Min.by.HA_PA","Dissolved.oxygen.Min+Dist_To_Shore+HA_PA+Temperature.Min.by.HA_PA","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Temperature.Min, by = HA_PA, k = 4, bs = ""ts"") + HA_PA",69246.4545744379,69337.8052074773,0.00159,NA,13.82,0,3545.952,3492.642,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Dissolved.oxygen.Min.by.HA_PA+HA_PA+Mud+Temperature.Min.by.Mud","Dissolved.oxygen.Min.by.HA_PA+HA_PA+Mud+Temperature.Min.by.Mud","s(Dissolved.oxygen.Min, by = HA_PA, k = 4, bs = ""ts"") + s(Temperature.Min, by = Mud, k = 4, bs = ""ts"") + HA_PA + Mud",69251.8712603079,69349.7530002965,0.00148,NA,14.82,0,3551.368,3504.59,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
"Dissolved.oxygen.Min.by.SY_PA+HA_PA+SY_PA+Temperature.Min.by.HA_PA","Dissolved.oxygen.Min.by.SY_PA+HA_PA+SY_PA+Temperature.Min.by.HA_PA","s(Dissolved.oxygen.Min, by = SY_PA, k = 4, bs = ""ts"") + s(Temperature.Min, by = HA_PA, k = 4, bs = ""ts"") + HA_PA + SY_PA",69254.4112507591,69352.3418621616,0.00164,NA,14.89,0,3553.908,3507.179,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
"Depth.by.HA_PA+Dissolved.oxygen.Min+HA_PA+Temperature.Min","Depth.by.HA_PA+Dissolved.oxygen.Min+HA_PA+Temperature.Min","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"") + s(Depth, by = HA_PA, k = 4, bs = ""ts"") + HA_PA",69266.4667524204,69348.5256706687,0.00155,NA,12.15,0,3565.964,3503.362,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore","BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",69296.7759476561,69440.3179055003,0.00105,NA,21.82,0,3596.273,3595.155,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"Dissolved.oxygen.Min.by.HA_PA+Dist_To_Shore.te.Temperature.Min+HA_PA","Dissolved.oxygen.Min.by.HA_PA+Dist_To_Shore.te.Temperature.Min+HA_PA","s(Dissolved.oxygen.Min, by = HA_PA, k = 4, bs = ""ts"") + te(Dist_To_Shore, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",69296.9144740677,69415.7897262914,0.00111,NA,17.52,0,3596.412,3570.626,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min+SY_PA","BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min+SY_PA","s(BottomVegCover, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + SY_PA",69298.6277372943,69429.162282558,0.00106,NA,19.89,0,3598.125,3583.999,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
"Dissolved.oxygen.Min.by.HA_PA+Dist_To_Shore.by.HA_PA+HA_PA+Temperature.Min","Dissolved.oxygen.Min.by.HA_PA+Dist_To_Shore.by.HA_PA+HA_PA+Temperature.Min","s(Temperature.Min, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, by = HA_PA, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = HA_PA, k = 4, bs = ""ts"") + HA_PA",69319.6072448178,69410.6265161265,0.00113,NA,13.31,0,3619.104,3565.463,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"BottomVegCover.by.Mud+Dissolved.oxygen.Min.te.Temperature.Min+Mud","BottomVegCover.by.Mud+Dissolved.oxygen.Min.te.Temperature.Min+Mud","s(BottomVegCover, by = Mud, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud",69319.6221768055,69469.697827411,0.00105,NA,22.82,0,3619.119,3624.534,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
"Dissolved.oxygen.Min.by.Sand+HA_PA+Sand+Temperature.Min.by.HA_PA","Dissolved.oxygen.Min.by.Sand+HA_PA+Sand+Temperature.Min.by.HA_PA","s(Dissolved.oxygen.Min, by = Sand, k = 4, bs = ""ts"") + s(Temperature.Min, by = HA_PA, k = 4, bs = ""ts"") + HA_PA + Sand",69325.1370225103,69411.2994898469,0.00135,NA,13.04,0,3624.634,3566.136,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
"Depth+Dissolved.oxygen.Min+HA_PA+Temperature.Min","Depth+Dissolved.oxygen.Min+HA_PA+Temperature.Min","s(Depth, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"") + HA_PA",69331.1105345548,69397.6030661687,0.00155,NA,9.82,0,3630.608,3552.44,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Dissolved.oxygen.Min+Dist_To_Shore+HA_PA+Temperature.Min","Dissolved.oxygen.Min+Dist_To_Shore+HA_PA+Temperature.Min","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"") + HA_PA",69334.8746824614,69406.6040773298,0.00159,NA,10.83,0,3634.372,3561.441,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Dissolved.oxygen.Min.by.SY_PA+HA_PA+SY_PA+Temperature.Min","Dissolved.oxygen.Min.by.SY_PA+HA_PA+SY_PA+Temperature.Min","s(Temperature.Min, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, by = SY_PA, k = 4, bs = ""ts"") + HA_PA + SY_PA",69335.0494697889,69413.3939728528,0.00164,NA,11.91,0,3634.547,3568.231,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
"Dissolved.oxygen.Min+Dist_To_River.te.Temperature.Min+HA_PA","Dissolved.oxygen.Min+Dist_To_River.te.Temperature.Min+HA_PA","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",69339.932467321,69448.0898376718,0.00156,NA,16.29,0,3639.43,3602.927,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min+Mud","BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min+Mud","s(BottomVegCover, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud",69340.7283350167,69471.2616711178,0.00105,NA,19.88,0,3640.226,3626.098,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
"Depth.by.HA_PA+Dissolved.oxygen.Min.by.HA_PA+HA_PA+Temperature.Min","Depth.by.HA_PA+Dissolved.oxygen.Min.by.HA_PA+HA_PA+Temperature.Min","s(Temperature.Min, k = 4, bs = ""ts"") + s(Depth, by = HA_PA, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, by = HA_PA, k = 4, bs = ""ts"") + HA_PA",69341.8512632721,69434.4869907442,0.00107,NA,13.58,0,3641.348,3589.324,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Dissolved.oxygen.Min.by.HA_PA+Dist_To_Shore+HA_PA+Temperature.Min.by.HA_PA","Dissolved.oxygen.Min.by.HA_PA+Dist_To_Shore+HA_PA+Temperature.Min.by.HA_PA","s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, by = HA_PA, k = 4, bs = ""ts"") + s(Temperature.Min, by = HA_PA, k = 4, bs = ""ts"") + HA_PA",69344.1803018008,69443.9424129474,0.0011,NA,14.94,0,3643.678,3598.779,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Dissolved.oxygen.Min.by.Sand+HA_PA+Sand+Temperature.Min.by.Sand","Dissolved.oxygen.Min.by.Sand+HA_PA+Sand+Temperature.Min.by.Sand","s(Dissolved.oxygen.Min, by = Sand, k = 4, bs = ""ts"") + s(Temperature.Min, by = Sand, k = 4, bs = ""ts"") + HA_PA + Sand",69348.0895142901,69435.1123724063,0.00133,NA,13.05,0,3647.587,3589.949,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
"BottomVegCover.by.Sand+Dissolved.oxygen.Min.te.Temperature.Min+Sand","BottomVegCover.by.Sand+Dissolved.oxygen.Min.te.Temperature.Min+Sand","s(BottomVegCover, by = Sand, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Sand",69348.8659423637,69498.9407777057,0.00105,NA,22.84,0,3648.363,3653.777,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
