"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA"
"Primary.productivity.Max","Primary.productivity.Max","s(Primary.productivity.Max, k = 4, bs = ""ts"")",2.00078462142255,8.53699581871521,0,NA,2,1,0,0,0.001,0.003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Primary.productivity.Max.te.BottomVegCover","Primary.productivity.Max.te.BottomVegCover","te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2.00078462142256,8.53699581871524,0,NA,2,1,0,0,0.001,0.003,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Dissolved.oxygen.Min.te.BottomVegCover","Dissolved.oxygen.Min.te.BottomVegCover","te(Dissolved.oxygen.Min, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2.00078462142257,8.53699581871527,0,NA,2,1,0,0,0.001,0.003,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Dissolved.oxygen.Min","Dissolved.oxygen.Min","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"")",2.00078462142257,8.53699581871529,0,NA,2,1,0,0,0.001,0.003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Dist_To_Shore.te.BottomVegCover","Dist_To_Shore.te.BottomVegCover","te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2.00078462142257,8.5369958187153,0,NA,2,1,0,0,0.001,0.003,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BottomVegCover+Depth+Latitude","BottomVegCover+Depth+Latitude","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"")",2.00078462142258,8.53699581871533,0,NA,4,3,0,0,0.001,0.003,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Depth+Dist_To_River+Latitude","Depth+Dist_To_River+Latitude","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_River, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"")",2.00078462142259,8.53699581871535,0,NA,4,3,0,0,0.001,0.003,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"BottomVegCover+Primary.productivity.Max","BottomVegCover+Primary.productivity.Max","s(BottomVegCover, k = 4, bs = ""ts"") + s(Primary.productivity.Max, k = 4, bs = ""ts"")",2.00078462142259,8.53699581871536,0,NA,3,2,0,0,0.001,0.003,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Dist_To_River+Primary.productivity.Max","Dist_To_River+Primary.productivity.Max","s(Dist_To_River, k = 4, bs = ""ts"") + s(Primary.productivity.Max, k = 4, bs = ""ts"")",2.00078462142259,8.53699581871538,0,NA,3,2,0,0,0.001,0.003,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Dissolved.oxygen.Min","BottomVegCover+Dissolved.oxygen.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"")",2.00078462142261,8.53699581871544,0,NA,3,2,0,0,0.001,0.003,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Temperature.Min","Temperature.Min","s(Temperature.Min, k = 4, bs = ""ts"")",2.00078462142261,8.53699581871545,0,NA,2,1,0,0,0.001,0.003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dissolved.oxygen.Min+Dist_To_River","Dissolved.oxygen.Min+Dist_To_River","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Dist_To_River, k = 4, bs = ""ts"")",2.00078462142261,8.53699581871545,0,NA,3,2,0,0,0.001,0.003,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Depth+Primary.productivity.Max","Depth+Primary.productivity.Max","s(Depth, k = 4, bs = ""ts"") + s(Primary.productivity.Max, k = 4, bs = ""ts"")",2.00078462142263,8.53699581871553,0,NA,3,2,0,0,0.001,0.003,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Depth.te.Salinity.Min","Depth.te.Salinity.Min","te(Depth, Salinity.Min, k = 4, bs = c(""ts"", ""ts""))",2.00078462142263,8.53699581871554,0,NA,2,1,0,0,0.001,0.003,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Depth+Dissolved.oxygen.Min","Depth+Dissolved.oxygen.Min","s(Depth, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"")",2.00078462142265,8.5369958187156,0,NA,3,2,0,0,0.001,0.003,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Temperature.Min","BottomVegCover+Temperature.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"")",2.00078462142265,8.5369958187156,0,NA,3,2,0,0,0.001,0.003,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Dist_To_River+Temperature.Min","Dist_To_River+Temperature.Min","s(Dist_To_River, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"")",2.00078462142265,8.53699581871562,0,NA,3,2,0,0,0.001,0.003,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Depth+Primary.productivity.Max","BottomVegCover+Depth+Primary.productivity.Max","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + s(Primary.productivity.Max, k = 4, bs = ""ts"")",2.00078462142266,8.53699581871568,0,NA,4,3,0,0,0.001,0.003,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Depth+Dist_To_River+Primary.productivity.Max","Depth+Dist_To_River+Primary.productivity.Max","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_River, k = 4, bs = ""ts"") + s(Primary.productivity.Max, k = 4, bs = ""ts"")",2.00078462142267,8.5369958187157,0,NA,4,3,0,0,0.001,0.003,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Depth+Dissolved.oxygen.Min","BottomVegCover+Depth+Dissolved.oxygen.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"")",2.00078462142268,8.53699581871576,0,NA,4,3,0,0,0.001,0.003,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Depth+Temperature.Min","Depth+Temperature.Min","s(Depth, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"")",2.00078462142268,8.53699581871577,0,NA,3,2,0,0,0.001,0.003,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Depth+Dissolved.oxygen.Min+Dist_To_River","Depth+Dissolved.oxygen.Min+Dist_To_River","s(Depth, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Dist_To_River, k = 4, bs = ""ts"")",2.00078462142269,8.53699581871577,0,NA,4,3,0,0,0.001,0.003,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Salinity.Min.te.BottomVegCover","Salinity.Min.te.BottomVegCover","te(Salinity.Min, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2.00078462142269,8.53699581871578,0,NA,2,1,0,0,0.001,0.003,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"BottomVegCover+Depth+Temperature.Min","BottomVegCover+Depth+Temperature.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"")",2.00078462142272,8.53699581871592,0,NA,4,3,0,0,0.001,0.003,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Depth+Dist_To_River+Temperature.Min","Depth+Dist_To_River+Temperature.Min","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_River, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"")",2.00078462142272,8.53699581871594,0,NA,4,3,0,0,0.001,0.003,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"BottomVegCover.te.Latitude","BottomVegCover.te.Latitude","te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts""))",2.00078462142274,8.536995818716,0,NA,2,1,0,0,0.001,0.003,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Dissolved.oxygen.Min+Temperature.Min","Dissolved.oxygen.Min+Temperature.Min","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"")",2.00078462142275,8.53699581871605,0,NA,3,2,0,0,0.001,0.003,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Dissolved.oxygen.Min+Temperature.Min","BottomVegCover+Dissolved.oxygen.Min+Temperature.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"")",2.00078462142279,8.53699581871621,0,NA,4,3,0,0,0.001,0.003,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"Dissolved.oxygen.Min+Dist_To_River+Temperature.Min","Dissolved.oxygen.Min+Dist_To_River+Temperature.Min","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Dist_To_River, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"")",2.00078462142279,8.53699581871622,0,NA,4,3,0,0,0.001,0.003,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Depth.te.Latitude","Depth.te.Latitude","te(Depth, Latitude, k = 4, bs = c(""ts"", ""ts""))",2.0007846214228,8.53699581871628,0,NA,2,1,0,0,0.001,0.003,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Dist_To_River","Dist_To_River","s(Dist_To_River, k = 4, bs = ""ts"")",2.00078462142282,8.53699581871636,0,NA,2,1,0,0,0.001,0.003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Depth+Dissolved.oxygen.Min+Temperature.Min","Depth+Dissolved.oxygen.Min+Temperature.Min","s(Depth, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"")",2.00078462142283,8.53699581871637,0,NA,4,3,0,0,0.001,0.003,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Depth+Dissolved.oxygen.Min+Temperature.Min","BottomVegCover+Depth+Dissolved.oxygen.Min+Temperature.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"")",2.00078462142286,8.53699581871652,0,NA,5,4,0,0,0.001,0.003,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"Depth+Dissolved.oxygen.Min+Dist_To_River+Temperature.Min","Depth+Dissolved.oxygen.Min+Dist_To_River+Temperature.Min","s(Depth, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Dist_To_River, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"")",2.00078462142287,8.53699581871654,0,NA,5,4,0,0,0.001,0.003,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Dist_To_River.te.Salinity.Min","Dist_To_River.te.Salinity.Min","te(Dist_To_River, Salinity.Min, k = 4, bs = c(""ts"", ""ts""))",2.00078462142289,8.53699581871663,0,NA,2,1,0,0,0.001,0.003,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Dist_To_Shore","Dist_To_Shore","s(Dist_To_Shore, k = 4, bs = ""ts"")",2.0007846214229,8.53699581871668,0,NA,2,1,0,0,0.001,0.003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Dist_To_Shore","BottomVegCover+Dist_To_Shore","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"")",2.00078462142293,8.53699581871683,0,NA,3,2,0,0,0.001,0.003,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Dist_To_River+Dist_To_Shore","Dist_To_River+Dist_To_Shore","s(Dist_To_River, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"")",2.00078462142294,8.53699581871685,0,NA,3,2,0,0,0.001,0.003,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dist_To_Shore+Latitude","Dist_To_Shore+Latitude","s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"")",2.00078462142294,8.53699581871686,0,NA,3,2,0,0,0.001,0.003,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Depth+Dist_To_Shore","Depth+Dist_To_Shore","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"")",2.00078462142297,8.536995818717,0,NA,3,2,0,0,0.001,0.003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Dist_To_Shore+Latitude","BottomVegCover+Dist_To_Shore+Latitude","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"")",2.00078462142298,8.53699581871701,0,NA,4,3,0,0,0.001,0.003,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Dist_To_River+Dist_To_Shore+Latitude","Dist_To_River+Dist_To_Shore+Latitude","s(Dist_To_River, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"")",2.00078462142298,8.53699581871703,0,NA,4,3,0,0,0.001,0.003,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"BottomVegCover+Depth+Dist_To_Shore","BottomVegCover+Depth+Dist_To_Shore","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"")",2.00078462142301,8.53699581871715,0,NA,4,3,0,0,0.001,0.003,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Depth+Dist_To_River+Dist_To_Shore","Depth+Dist_To_River+Dist_To_Shore","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_River, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"")",2.00078462142301,8.53699581871717,0,NA,4,3,0,0,0.001,0.003,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Depth+Dist_To_Shore+Latitude","Depth+Dist_To_Shore+Latitude","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"")",2.00078462142301,8.53699581871718,0,NA,4,3,0,0,0.001,0.003,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Dist_To_Shore+Primary.productivity.Max","Dist_To_Shore+Primary.productivity.Max","s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Primary.productivity.Max, k = 4, bs = ""ts"")",2.00078462142302,8.53699581871721,0,NA,3,2,0,0,0.001,0.003,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Depth.te.Salinity.Min+Dist_To_River","Depth.te.Salinity.Min+Dist_To_River","s(Dist_To_River, k = 4, bs = ""ts"") + te(Depth, Salinity.Min, k = 4, bs = c(""ts"", ""ts""))",2.00078462142302,8.53699581871722,0,NA,3,2,0,0,0.001,0.003,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Dissolved.oxygen.Min+Dist_To_Shore","Dissolved.oxygen.Min+Dist_To_Shore","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"")",2.00078462142304,8.53699581871728,0,NA,3,2,0,0,0.001,0.003,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Depth.te.Salinity.Min","BottomVegCover+Depth.te.Salinity.Min","s(BottomVegCover, k = 4, bs = ""ts"") + te(Depth, Salinity.Min, k = 4, bs = c(""ts"", ""ts""))",2.00078462142305,8.53699581871732,0,NA,3,2,0,0,0.001,0.003,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"BottomVegCover+Depth+Dist_To_Shore+Latitude","BottomVegCover+Depth+Dist_To_Shore+Latitude","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"")",2.00078462142305,8.53699581871733,0,NA,5,4,0,0,0.001,0.003,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Depth+Dist_To_River+Dist_To_Shore+Latitude","Depth+Dist_To_River+Dist_To_Shore+Latitude","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_River, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"")",2.00078462142305,8.53699581871734,0,NA,5,4,0,0,0.001,0.003,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"BottomVegCover+Dist_To_Shore+Primary.productivity.Max","BottomVegCover+Dist_To_Shore+Primary.productivity.Max","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Primary.productivity.Max, k = 4, bs = ""ts"")",2.00078462142306,8.53699581871736,0,NA,4,3,0,0,0.001,0.003,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Dist_To_River+Dist_To_Shore+Primary.productivity.Max","Dist_To_River+Dist_To_Shore+Primary.productivity.Max","s(Dist_To_River, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Primary.productivity.Max, k = 4, bs = ""ts"")",2.00078462142306,8.53699581871738,0,NA,4,3,0,0,0.001,0.003,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Dist_To_River.te.Latitude","Dist_To_River.te.Latitude","te(Dist_To_River, Latitude, k = 4, bs = c(""ts"", ""ts""))",2.00078462142307,8.5369958187174,0,NA,2,1,0,0,0.001,0.003,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"BottomVegCover+Dissolved.oxygen.Min+Dist_To_Shore","BottomVegCover+Dissolved.oxygen.Min+Dist_To_Shore","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"")",2.00078462142308,8.53699581871744,0,NA,4,3,0,0,0.001,0.003,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Dist_To_Shore+Temperature.Min","Dist_To_Shore+Temperature.Min","s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"")",2.00078462142308,8.53699581871745,0,NA,3,2,0,0,0.001,0.003,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dissolved.oxygen.Min+Dist_To_River+Dist_To_Shore","Dissolved.oxygen.Min+Dist_To_River+Dist_To_Shore","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Dist_To_River, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"")",2.00078462142308,8.53699581871745,0,NA,4,3,0,0,0.001,0.003,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Salinity.Min","BottomVegCover+Salinity.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Salinity.Min, k = 4, bs = ""ts"")",2.00078462142308,8.53699581871746,0,NA,3,2,0,0,0.001,0.003,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Dist_To_River+Salinity.Min","Dist_To_River+Salinity.Min","s(Dist_To_River, k = 4, bs = ""ts"") + s(Salinity.Min, k = 4, bs = ""ts"")",2.00078462142308,8.53699581871747,0,NA,3,2,0,0,0.001,0.003,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Dist_To_Shore.te.Salinity.Min","Dist_To_Shore.te.Salinity.Min","te(Dist_To_Shore, Salinity.Min, k = 4, bs = c(""ts"", ""ts""))",2.00078462142309,8.53699581871751,0,NA,2,1,0,0,0.001,0.003,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Depth+Dist_To_Shore+Primary.productivity.Max","Depth+Dist_To_Shore+Primary.productivity.Max","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Primary.productivity.Max, k = 4, bs = ""ts"")",2.0007846214231,8.53699581871753,0,NA,4,3,0,0,0.001,0.003,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Dist_To_Shore.te.BottomVegCover+Latitude","Dist_To_Shore.te.BottomVegCover+Latitude","s(Latitude, k = 4, bs = ""ts"") + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2.0007846214231,8.53699581871755,0,NA,3,2,0,0,0.001,0.003,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Depth+Dissolved.oxygen.Min+Dist_To_Shore","Depth+Dissolved.oxygen.Min+Dist_To_Shore","s(Depth, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"")",2.00078462142311,8.5369958187176,0,NA,4,3,0,0,0.001,0.003,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Dist_To_Shore+Temperature.Min","BottomVegCover+Dist_To_Shore+Temperature.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"")",2.00078462142311,8.5369958187176,0,NA,4,3,0,0,0.001,0.003,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Dist_To_River+Dist_To_Shore+Temperature.Min","Dist_To_River+Dist_To_Shore+Temperature.Min","s(Dist_To_River, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"")",2.00078462142312,8.53699581871762,0,NA,4,3,0,0,0.001,0.003,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Depth+Salinity.Min","Depth+Salinity.Min","s(Depth, k = 4, bs = ""ts"") + s(Salinity.Min, k = 4, bs = ""ts"")",2.00078462142312,8.53699581871762,0,NA,3,2,0,0,0.001,0.003,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Dist_To_Shore.te.Latitude","Dist_To_Shore.te.Latitude","te(Dist_To_Shore, Latitude, k = 4, bs = c(""ts"", ""ts""))",2.00078462142312,8.53699581871765,0,NA,2,1,0,0,0.001,0.003,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BottomVegCover+Depth+Dist_To_Shore+Primary.productivity.Max","BottomVegCover+Depth+Dist_To_Shore+Primary.productivity.Max","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Primary.productivity.Max, k = 4, bs = ""ts"")",2.00078462142313,8.53699581871768,0,NA,5,4,0,0,0.001,0.003,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Depth+Dist_To_River+Dist_To_Shore+Primary.productivity.Max","Depth+Dist_To_River+Dist_To_Shore+Primary.productivity.Max","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_River, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Primary.productivity.Max, k = 4, bs = ""ts"")",2.00078462142314,8.5369958187177,0,NA,5,4,0,0,0.001,0.003,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Depth+Dissolved.oxygen.Min+Dist_To_Shore","BottomVegCover+Depth+Dissolved.oxygen.Min+Dist_To_Shore","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"")",2.00078462142315,8.53699581871776,0,NA,5,4,0,0,0.001,0.003,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Depth+Dist_To_Shore+Temperature.Min","Depth+Dist_To_Shore+Temperature.Min","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"")",2.00078462142315,8.53699581871777,0,NA,4,3,0,0,0.001,0.003,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
