"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA"
"BottomVegCover.by.SY_PA+Dist_To_Shore.by.SY_PA+Latitude.by.SY_PA+SY_PA","BottomVegCover.by.SY_PA+Dist_To_Shore.by.SY_PA+Latitude.by.SY_PA+SY_PA","s(BottomVegCover, by = SY_PA, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = SY_PA, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + SY_PA",686.255844377233,732.778640061635,0.01856,NA,9.59,4,1.461,10.18,0.018,0.001,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover.by.SY_PA+Dist_To_Shore+Latitude.by.SY_PA+SY_PA","BottomVegCover.by.SY_PA+Dist_To_Shore+Latitude.by.SY_PA+SY_PA","s(Dist_To_Shore, k = 4, bs = ""ts"") + s(BottomVegCover, by = SY_PA, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + SY_PA",686.256064754273,732.779503530644,0.01856,NA,8.59,3,1.461,10.181,0.018,0.001,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover+Latitude.by.SY_PA+Sand+SY_PA","BottomVegCover+Latitude.by.SY_PA+Sand+SY_PA","s(BottomVegCover, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + Sand + SY_PA",686.943930318486,740.137498230159,0.0182,NA,7.6,1,2.149,17.539,0.013,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"BottomVegCover+Latitude.by.Sand+Sand+SY_PA","BottomVegCover+Latitude.by.Sand+Sand+SY_PA","s(BottomVegCover, k = 4, bs = ""ts"") + s(Latitude, by = Sand, k = 4, bs = ""ts"") + Sand + SY_PA",686.988639826687,744.425619342,0.00971,NA,7.27,0,2.194,21.827,0.013,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"BottomVegCover.by.SY_PA+Latitude.by.SY_PA+Sand+SY_PA","BottomVegCover.by.SY_PA+Latitude.by.SY_PA+Sand+SY_PA","s(BottomVegCover, by = SY_PA, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + Sand + SY_PA",687.272630084045,740.437329580862,0.01838,NA,8.59,2,2.478,17.839,0.011,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"BottomVegCover.by.SY_PA+Latitude.by.Sand+Sand+SY_PA","BottomVegCover.by.SY_PA+Latitude.by.Sand+Sand+SY_PA","s(BottomVegCover, by = SY_PA, k = 4, bs = ""ts"") + s(Latitude, by = Sand, k = 4, bs = ""ts"") + Sand + SY_PA",687.293469131739,744.712836952955,0.00971,NA,8.27,1,2.499,22.114,0.011,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"BottomVegCover.by.Rocks+Latitude.by.SY_PA+Rocks+SY_PA","BottomVegCover.by.Rocks+Latitude.by.SY_PA+Rocks+SY_PA","s(BottomVegCover, by = Rocks, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + Rocks + SY_PA",687.325008543126,740.264056256099,0.00202,NA,8.56,2,2.53,17.665,0.011,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
"BottomVegCover+Latitude.by.SY_PA+Rocks+SY_PA","BottomVegCover+Latitude.by.SY_PA+Rocks+SY_PA","s(BottomVegCover, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + Rocks + SY_PA",687.325074470301,740.264345352014,0.00199,NA,7.56,1,2.53,17.666,0.011,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
"BottomVegCover.te.Latitude+SY_PA","BottomVegCover.te.Latitude+SY_PA","te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts"")) + SY_PA",687.335783720616,751.365319786909,0.01285,NA,7.98,0,2.541,28.767,0.011,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover.te.Latitude+Dist_To_Shore+SY_PA","BottomVegCover.te.Latitude+Dist_To_Shore+SY_PA","s(Dist_To_Shore, k = 4, bs = ""ts"") + te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts"")) + SY_PA",687.337156525694,751.371143490545,0.01285,NA,8.98,1,2.543,28.772,0.011,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover.te.Latitude+Dist_To_Shore.by.SY_PA+SY_PA","BottomVegCover.te.Latitude+Dist_To_Shore.by.SY_PA+SY_PA","s(Dist_To_Shore, by = SY_PA, k = 4, bs = ""ts"") + te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts"")) + SY_PA",687.337468624192,751.372478481066,0.01285,NA,9.98,2,2.543,28.774,0.011,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover.te.Latitude+Depth.by.SY_PA+SY_PA","BottomVegCover.te.Latitude+Depth.by.SY_PA+SY_PA","s(Depth, by = SY_PA, k = 4, bs = ""ts"") + te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts"")) + SY_PA",687.337777098104,751.373833340778,0.01285,NA,9.98,2,2.543,28.775,0.011,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover.te.Latitude+Depth+SY_PA","BottomVegCover.te.Latitude+Depth+SY_PA","s(Depth, k = 4, bs = ""ts"") + te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts"")) + SY_PA",687.338001112392,751.374759905951,0.01285,NA,8.98,1,2.543,28.776,0.011,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover.by.SY_PA+Latitude.by.SY_PA+Rocks+SY_PA","BottomVegCover.by.SY_PA+Latitude.by.SY_PA+Rocks+SY_PA","s(BottomVegCover, by = SY_PA, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + Rocks + SY_PA",687.631824990708,740.53856127602,0.00184,NA,8.56,2,2.837,17.94,0.009,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
"BottomVegCover.by.Sand+Latitude.by.Sand+Sand","BottomVegCover.by.Sand+Latitude.by.Sand+Sand","s(BottomVegCover, by = Sand, k = 4, bs = ""ts"") + s(Latitude, by = Sand, k = 4, bs = ""ts"") + Sand",687.65353291401,739.60164338236,0.00448,NA,7.43,1,2.859,17.003,0.009,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"BottomVegCover.by.Sand+Depth+Latitude.by.Sand+Sand","BottomVegCover.by.Sand+Depth+Latitude.by.Sand+Sand","s(Depth, k = 4, bs = ""ts"") + s(BottomVegCover, by = Sand, k = 4, bs = ""ts"") + s(Latitude, by = Sand, k = 4, bs = ""ts"") + Sand",687.653580267617,739.601846869241,0.00448,NA,8.43,2,2.859,17.003,0.009,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"BottomVegCover.by.Sand+Depth.by.Sand+Latitude.by.Sand+Sand","BottomVegCover.by.Sand+Depth.by.Sand+Latitude.by.Sand+Sand","s(BottomVegCover, by = Sand, k = 4, bs = ""ts"") + s(Depth, by = Sand, k = 4, bs = ""ts"") + s(Latitude, by = Sand, k = 4, bs = ""ts"") + Sand",687.653728011825,739.602386381437,0.00448,NA,9.43,3,2.859,17.004,0.009,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"BottomVegCover.by.Sand+Dist_To_Shore+Latitude.by.Sand+Sand","BottomVegCover.by.Sand+Dist_To_Shore+Latitude.by.Sand+Sand","s(Dist_To_Shore, k = 4, bs = ""ts"") + s(BottomVegCover, by = Sand, k = 4, bs = ""ts"") + s(Latitude, by = Sand, k = 4, bs = ""ts"") + Sand",687.655773630281,739.613070763109,0.00448,NA,8.43,2,2.861,17.014,0.009,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"Dissolved.oxygen.Min.te.BottomVegCover+Mud+Temperature.Min.by.Mud","Dissolved.oxygen.Min.te.BottomVegCover+Mud+Temperature.Min.by.Mud","s(Temperature.Min, by = Mud, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Mud",687.721039692423,761.929618953304,0.01557,NA,9.77,1,2.926,39.331,0.009,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
"BottomVegCover.by.Sand+Latitude+Sand+SY_PA","BottomVegCover.by.Sand+Latitude+Sand+SY_PA","s(Latitude, k = 4, bs = ""ts"") + s(BottomVegCover, by = Sand, k = 4, bs = ""ts"") + Sand + SY_PA",687.905848859594,740.622549760306,0.01566,NA,7.48,1,3.111,18.024,0.008,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"BottomVegCover+Latitude.by.SY_PA+Mud+SY_PA","BottomVegCover+Latitude.by.SY_PA+Mud+SY_PA","s(BottomVegCover, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + Mud + SY_PA",687.954700779598,741.014964598293,0.01845,NA,7.59,1,3.16,18.416,0.008,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
"BottomVegCover.by.SY_PA+Latitude.by.SY_PA+Mud+SY_PA","BottomVegCover.by.SY_PA+Latitude.by.SY_PA+Mud+SY_PA","s(BottomVegCover, by = SY_PA, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + Mud + SY_PA",688.272861342695,741.301669973456,0.01861,NA,8.59,2,3.478,18.703,0.007,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
"BottomVegCover.te.Latitude","BottomVegCover.te.Latitude","te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts""))",688.346823332434,746.195320662117,0.01227,NA,7.09,0,3.552,23.597,0.006,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BottomVegCover.te.Latitude+Depth","BottomVegCover.te.Latitude+Depth","s(Depth, k = 4, bs = ""ts"") + te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts""))",688.347050963162,746.196287749571,0.01227,NA,8.09,1,3.552,23.598,0.006,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BottomVegCover.te.Latitude+Depth+Dist_To_Shore","BottomVegCover.te.Latitude+Depth+Dist_To_Shore","s(Depth, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts""))",688.348361198487,746.201862734024,0.01227,NA,9.09,2,3.554,23.603,0.006,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BottomVegCover.te.Latitude+Depth.te.Dist_To_Shore","BottomVegCover.te.Latitude+Depth.te.Dist_To_Shore","te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts"")) + te(Depth, Dist_To_Shore, k = 4, bs = c(""ts"", ""ts""))",688.349589071667,746.207914940777,0.01227,NA,8.09,1,3.555,23.609,0.006,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BottomVegCover.te.Latitude+Dist_To_Shore","BottomVegCover.te.Latitude+Dist_To_Shore","s(Dist_To_Shore, k = 4, bs = ""ts"") + te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts""))",688.349935462949,746.208557293101,0.01227,NA,8.09,1,3.555,23.61,0.006,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"BottomVegCover.by.Mud+Latitude.by.SY_PA+Mud+SY_PA","BottomVegCover.by.Mud+Latitude.by.SY_PA+Mud+SY_PA","s(BottomVegCover, by = Mud, k = 4, bs = ""ts"") + s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + Mud + SY_PA",688.40247672025,748.784104283559,0.01795,NA,8.54,1,3.608,26.185,0.006,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
"BottomVegCover.te.Latitude+Rocks+SY_PA","BottomVegCover.te.Latitude+Rocks+SY_PA","te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts"")) + Rocks + SY_PA",688.692546298588,759.036188497217,0.00242,NA,8.92,0,3.898,36.437,0.005,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
"BottomVegCover.te.Latitude+Sand+SY_PA","BottomVegCover.te.Latitude+Sand+SY_PA","te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts"")) + Sand + SY_PA",688.698414729949,759.88527376821,0.01338,NA,9.01,0,3.904,37.287,0.005,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"BottomVegCover+Latitude.by.Sand+Sand","BottomVegCover+Latitude.by.Sand+Sand","s(BottomVegCover, k = 4, bs = ""ts"") + s(Latitude, by = Sand, k = 4, bs = ""ts"") + Sand",688.870874402641,740.620288967165,0.00969,NA,6.42,0,4.076,18.022,0.005,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"BottomVegCover+Depth+Latitude.by.Sand+Sand","BottomVegCover+Depth+Latitude.by.Sand+Sand","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + s(Latitude, by = Sand, k = 4, bs = ""ts"") + Sand",688.87098398277,740.62077421683,0.00969,NA,7.42,1,4.076,18.022,0.005,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"BottomVegCover+Depth.by.Sand+Latitude.by.Sand+Sand","BottomVegCover+Depth.by.Sand+Latitude.by.Sand+Sand","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, by = Sand, k = 4, bs = ""ts"") + s(Latitude, by = Sand, k = 4, bs = ""ts"") + Sand",688.872063684997,740.625406978563,0.00969,NA,8.42,2,4.077,18.027,0.005,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"BottomVegCover+Dist_To_Shore+Latitude.by.Sand+Sand","BottomVegCover+Dist_To_Shore+Latitude.by.Sand+Sand","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Latitude, by = Sand, k = 4, bs = ""ts"") + Sand",688.872816469843,740.629938530643,0.00969,NA,7.42,1,4.078,18.031,0.005,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"BottomVegCover+Dist_To_Shore.by.Sand+Latitude.by.Sand+Sand","BottomVegCover+Dist_To_Shore.by.Sand+Latitude.by.Sand+Sand","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = Sand, k = 4, bs = ""ts"") + s(Latitude, by = Sand, k = 4, bs = ""ts"") + Sand",688.873150070566,740.631048147917,0.00969,NA,8.42,2,4.079,18.032,0.005,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"BottomVegCover.by.Sand+Latitude.by.Sand+Rocks+Sand","BottomVegCover.by.Sand+Latitude.by.Sand+Rocks+Sand","s(BottomVegCover, by = Sand, k = 4, bs = ""ts"") + s(Latitude, by = Sand, k = 4, bs = ""ts"") + Rocks + Sand",689.010252554296,747.272935830827,0.00162,NA,8.39,1,4.216,24.674,0.005,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
"BottomVegCover+Latitude+SY_PA","BottomVegCover+Latitude+SY_PA","s(BottomVegCover, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + SY_PA",689.129619399497,735.298182746177,0.01753,NA,5.52,0,4.335,12.699,0.004,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover+Dist_To_Shore+Latitude+SY_PA","BottomVegCover+Dist_To_Shore+Latitude+SY_PA","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + SY_PA",689.130301860669,735.301341040896,0.01753,NA,6.52,1,4.336,12.703,0.004,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover+Depth+Latitude+SY_PA","BottomVegCover+Depth+Latitude+SY_PA","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + SY_PA",689.130555167207,735.302170571508,0.01753,NA,6.52,1,4.336,12.703,0.004,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover+Dist_To_Shore.by.SY_PA+Latitude+SY_PA","BottomVegCover+Dist_To_Shore.by.SY_PA+Latitude+SY_PA","s(BottomVegCover, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = SY_PA, k = 4, bs = ""ts"") + SY_PA",689.130938304721,735.304042111423,0.01753,NA,7.52,2,4.336,12.705,0.004,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover+Depth.by.SY_PA+Latitude+SY_PA","BottomVegCover+Depth.by.SY_PA+Latitude+SY_PA","s(BottomVegCover, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + s(Depth, by = SY_PA, k = 4, bs = ""ts"") + SY_PA",689.131154537296,735.304997815739,0.01753,NA,7.52,2,4.337,12.706,0.004,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover.by.Sand+Latitude.by.Sand+Mud+Sand","BottomVegCover.by.Sand+Latitude.by.Sand+Mud+Sand","s(BottomVegCover, by = Sand, k = 4, bs = ""ts"") + s(Latitude, by = Sand, k = 4, bs = ""ts"") + Mud + Sand",689.137779043798,747.380830355046,0.00427,NA,8.38,1,4.343,24.782,0.004,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
"BottomVegCover.by.Sand+Latitude+Sand","BottomVegCover.by.Sand+Latitude+Sand","s(Latitude, k = 4, bs = ""ts"") + s(BottomVegCover, by = Sand, k = 4, bs = ""ts"") + Sand",689.277286769389,735.934775570296,0.01504,NA,6.6,1,4.483,13.336,0.004,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"BottomVegCover.by.Sand+Depth+Latitude+Sand","BottomVegCover.by.Sand+Depth+Latitude+Sand","s(Depth, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + s(BottomVegCover, by = Sand, k = 4, bs = ""ts"") + Sand",689.277318484592,735.934914515007,0.01504,NA,7.6,2,4.483,13.336,0.004,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"BottomVegCover.by.Sand+Depth.by.Sand+Latitude+Sand","BottomVegCover.by.Sand+Depth.by.Sand+Latitude+Sand","s(Latitude, k = 4, bs = ""ts"") + s(BottomVegCover, by = Sand, k = 4, bs = ""ts"") + s(Depth, by = Sand, k = 4, bs = ""ts"") + Sand",689.277640907467,735.936137646637,0.01504,NA,8.6,3,4.483,13.337,0.004,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"BottomVegCover.by.Sand+Dist_To_Shore.by.Sand+Latitude+Sand","BottomVegCover.by.Sand+Dist_To_Shore.by.Sand+Latitude+Sand","s(Latitude, k = 4, bs = ""ts"") + s(BottomVegCover, by = Sand, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = Sand, k = 4, bs = ""ts"") + Sand",689.278736868962,735.941180615401,0.01504,NA,8.6,3,4.484,13.342,0.004,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"BottomVegCover.by.Sand+Dist_To_Shore+Latitude+Sand","BottomVegCover.by.Sand+Dist_To_Shore+Latitude+Sand","s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + s(BottomVegCover, by = Sand, k = 4, bs = ""ts"") + Sand",689.279102896425,735.943242612622,0.01504,NA,7.6,2,4.485,13.345,0.004,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"BottomVegCover.te.Latitude+Mud+SY_PA","BottomVegCover.te.Latitude+Mud+SY_PA","te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts"")) + Mud + SY_PA",689.352071731396,759.774482389937,0.01284,NA,8.94,0,4.557,37.176,0.004,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
"BottomVegCover.by.Sand+Dist_To_Shore.te.Dissolved.oxygen.Min+Sand","BottomVegCover.by.Sand+Dist_To_Shore.te.Dissolved.oxygen.Min+Sand","s(BottomVegCover, by = Sand, k = 4, bs = ""ts"") + te(Dist_To_Shore, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts"")) + Sand",689.357182601194,751.52021096722,0.01427,NA,8.32,1,4.563,28.921,0.004,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"Depth.te.BottomVegCover+Latitude.by.SY_PA+SY_PA","Depth.te.BottomVegCover+Latitude.by.SY_PA+SY_PA","s(Latitude, by = SY_PA, k = 4, bs = ""ts"") + te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + SY_PA",689.39764469734,748.192420879797,0.01873,NA,7.8,1,4.603,25.594,0.004,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover+Dissolved.oxygen.Min+Mud+Temperature.Min.by.Mud","BottomVegCover+Dissolved.oxygen.Min+Mud+Temperature.Min.by.Mud","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Temperature.Min, by = Mud, k = 4, bs = ""ts"") + Mud",689.407138850501,732.091326326775,0.01581,NA,6.21,1,4.613,9.493,0.004,0.001,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
"BottomVegCover.by.SY_PA+Latitude+SY_PA","BottomVegCover.by.SY_PA+Latitude+SY_PA","s(Latitude, k = 4, bs = ""ts"") + s(BottomVegCover, by = SY_PA, k = 4, bs = ""ts"") + SY_PA",689.428596359645,735.565331921436,0.01778,NA,6.52,1,4.634,12.967,0.004,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"BottomVegCover.by.SY_PA+Dist_To_Shore+Latitude+SY_PA","BottomVegCover.by.SY_PA+Dist_To_Shore+Latitude+SY_PA","s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + s(BottomVegCover, by = SY_PA, k = 4, bs = ""ts"") + SY_PA",689.428866693534,735.566407241409,0.01778,NA,7.52,2,4.634,12.968,0.004,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
