"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA","ST_Mangroves","ST_Oysters"
"BottomVegCover.by.Mud+Dist_To_Shore.by.Mud+Latitude+Mud","BottomVegCover.by.Mud+Dist_To_Shore.by.Mud+Latitude+Mud","s(Latitude, k = 4, bs = ""ts"") + s(BottomVegCover, by = Mud, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = Mud, k = 4, bs = ""ts"") + Mud",2598.66894299171,2683.6351527611,0.01301,NA,9.96,0,9.225,21.472,0.002,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"BottomVegCover+Dist_To_Shore+Latitude.by.Mud+Mud","BottomVegCover+Dist_To_Shore+Latitude.by.Mud+Mud","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Latitude, by = Mud, k = 4, bs = ""ts"") + Mud",2598.69460307142,2676.35785251487,0.01325,NA,8.98,0,9.251,14.195,0.002,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"BottomVegCover.by.Mud+Dist_To_Shore.te.Latitude+Mud","BottomVegCover.by.Mud+Dist_To_Shore.te.Latitude+Mud","s(BottomVegCover, by = Mud, k = 4, bs = ""ts"") + te(Dist_To_Shore, Latitude, k = 4, bs = c(""ts"", ""ts"")) + Mud",2598.87967527449,2692.31802218034,0.01191,NA,10.36,0,9.436,30.155,0.002,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"Depth.te.BottomVegCover+Dist_To_River.te.Latitude","Depth.te.BottomVegCover+Dist_To_River.te.Latitude","te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_River, Latitude, k = 4, bs = c(""ts"", ""ts""))",2599.00925888967,2734.51599354575,0.01316,NA,14.61,0,9.565,72.353,0.002,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"BottomVegCover+Depth+Dissolved.oxygen.Min.te.Temperature.Min","BottomVegCover+Depth+Dissolved.oxygen.Min.te.Temperature.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",2599.00958497275,2703.52170677193,0.01236,NA,11.33,0,9.566,41.358,0.002,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Dissolved.oxygen.Min+Dist_To_Shore.te.BottomVegCover+Temperature.Min","Dissolved.oxygen.Min+Dist_To_Shore.te.BottomVegCover+Temperature.Min","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"") + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2599.29355275123,2697.08567712767,0.01198,NA,10.62,0,9.85,34.922,0.002,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Dist_To_Shore.by.Seagrass_PA+Latitude+Mud+Seagrass_PA","Dist_To_Shore.by.Seagrass_PA+Latitude+Mud+Seagrass_PA","s(Latitude, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = Seagrass_PA, k = 4, bs = ""ts"") + Mud + Seagrass_PA",2599.70651304365,2663.07942574553,0.008,NA,7.77,0,10.263,0.916,0.001,0.31,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"Dist_To_River.te.Latitude+Dist_To_Shore.te.BottomVegCover","Dist_To_River.te.Latitude+Dist_To_Shore.te.BottomVegCover","te(Dist_To_River, Latitude, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2599.73662788189,2720.10667608939,0.01275,NA,12.73,0,10.293,57.943,0.001,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"BottomVegCover.te.Latitude+Dist_To_Shore+Mud","BottomVegCover.te.Latitude+Dist_To_Shore+Mud","s(Dist_To_Shore, k = 4, bs = ""ts"") + te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts"")) + Mud",2599.74459783728,2689.6431560333,0.01321,NA,10.41,0,10.301,27.48,0.001,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"Depth.te.BottomVegCover+Latitude.by.Mud+Mud","Depth.te.BottomVegCover+Latitude.by.Mud+Mud","s(Latitude, by = Mud, k = 4, bs = ""ts"") + te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Mud",2599.84982421331,2719.08628121227,0.01402,NA,13.2,0,10.406,56.923,0.001,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"BottomVegCover+Dist_To_Shore.te.Dist_To_River+Latitude","BottomVegCover+Dist_To_Shore.te.Dist_To_River+Latitude","s(BottomVegCover, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + te(Dist_To_Shore, Dist_To_River, k = 4, bs = c(""ts"", ""ts""))",2599.90263723442,2686.00659836121,0.01291,NA,9.53,0,10.459,23.843,0.001,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"BottomVegCover+Dist_To_Shore.by.Mud+Latitude.by.Mud+Mud","BottomVegCover+Dist_To_Shore.by.Mud+Latitude.by.Mud+Mud","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = Mud, k = 4, bs = ""ts"") + s(Latitude, by = Mud, k = 4, bs = ""ts"") + Mud",2599.90743332083,2685.30825196215,0.01308,NA,9.98,0,10.464,23.145,0.001,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"BottomVegCover+Depth+Mud+Temperature.Min.by.Mud","BottomVegCover+Depth+Mud+Temperature.Min.by.Mud","s(BottomVegCover, k = 4, bs = ""ts"") + s(Depth, k = 4, bs = ""ts"") + s(Temperature.Min, by = Mud, k = 4, bs = ""ts"") + Mud",2600.09373143173,2702.39427481313,0.01259,NA,11.67,0,10.65,40.231,0.001,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"BottomVegCover+Dist_To_River.te.Latitude+Dist_To_Shore","BottomVegCover+Dist_To_River.te.Latitude+Dist_To_Shore","s(BottomVegCover, k = 4, bs = ""ts"") + s(Dist_To_Shore, k = 4, bs = ""ts"") + te(Dist_To_River, Latitude, k = 4, bs = c(""ts"", ""ts""))",2600.17591430347,2693.0609247378,0.01262,NA,10.29,0,10.732,30.898,0.001,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore.te.BottomVegCover","Dissolved.oxygen.Min.te.Temperature.Min+Dist_To_Shore.te.BottomVegCover","te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2600.39322224936,2712.90532437648,0.01193,NA,11.96,0,10.949,50.742,0.001,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"BottomVegCover.by.Mud+Depth.by.Mud+Latitude+Mud","BottomVegCover.by.Mud+Depth.by.Mud+Latitude+Mud","s(Latitude, k = 4, bs = ""ts"") + s(BottomVegCover, by = Mud, k = 4, bs = ""ts"") + s(Depth, by = Mud, k = 4, bs = ""ts"") + Mud",2600.55708903494,2692.4263773127,0.01375,NA,11.54,1,11.113,30.263,0.001,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"Dist_To_River.te.BottomVegCover+Dist_To_Shore+Latitude","Dist_To_River.te.BottomVegCover+Dist_To_Shore+Latitude","s(Dist_To_Shore, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + te(Dist_To_River, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2600.62416607851,2704.15638323063,0.01279,NA,11.33,0,11.18,41.993,0.001,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Depth+Dissolved.oxygen.Min.te.BottomVegCover+Temperature.Min","Depth+Dissolved.oxygen.Min.te.BottomVegCover+Temperature.Min","s(Depth, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2600.89182890531,2706.73863974612,0.01244,NA,11.5,0,11.448,44.575,0.001,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Depth.te.Dissolved.oxygen.Min+Temperature.Min","BottomVegCover+Depth.te.Dissolved.oxygen.Min+Temperature.Min","s(BottomVegCover, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"") + te(Depth, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts""))",2601.05291920223,2698.78482945065,0.01246,NA,10.63,0,11.609,36.622,0.001,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Depth+Mud+Temperature.Min.te.BottomVegCover","Depth+Mud+Temperature.Min.te.BottomVegCover","s(Depth, k = 4, bs = ""ts"") + te(Temperature.Min, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Mud",2601.50747055094,2713.01563559454,0.01245,NA,12.78,0,12.064,50.852,0.001,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"BottomVegCover.by.Mud+Dist_To_Shore+Latitude.by.Mud+Mud","BottomVegCover.by.Mud+Dist_To_Shore+Latitude.by.Mud+Mud","s(Dist_To_Shore, k = 4, bs = ""ts"") + s(BottomVegCover, by = Mud, k = 4, bs = ""ts"") + s(Latitude, by = Mud, k = 4, bs = ""ts"") + Mud",2601.5254399101,2688.64950794485,0.01314,NA,9.99,0,12.082,26.486,0.001,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"Dist_To_Shore.te.BottomVegCover+Mud+Temperature.Min","Dist_To_Shore.te.BottomVegCover+Mud+Temperature.Min","s(Temperature.Min, k = 4, bs = ""ts"") + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Mud",2601.90905131496,2696.48631617304,0.01145,NA,10.56,0,12.465,34.323,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"Depth.te.BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min","Depth.te.BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min","te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",2601.91523444885,2729.9433191992,0.01235,NA,13.52,0,12.471,67.78,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"BottomVegCover.by.Mud+Depth+Mud+Temperature.Min.by.Mud","BottomVegCover.by.Mud+Depth+Mud+Temperature.Min.by.Mud","s(Depth, k = 4, bs = ""ts"") + s(BottomVegCover, by = Mud, k = 4, bs = ""ts"") + s(Temperature.Min, by = Mud, k = 4, bs = ""ts"") + Mud",2602.15194385436,2713.19589079772,0.01249,NA,12.61,0,12.708,51.033,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"BottomVegCover+Depth.te.Dist_To_River+Latitude","BottomVegCover+Depth.te.Dist_To_River+Latitude","s(BottomVegCover, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + te(Depth, Dist_To_River, k = 4, bs = c(""ts"", ""ts""))",2602.15610631003,2708.30052112155,0.01339,NA,11.66,0,12.712,46.137,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"BottomVegCover.by.Mud+Dist_To_Shore.by.Mud+Latitude.by.Mud+Mud","BottomVegCover.by.Mud+Dist_To_Shore.by.Mud+Latitude.by.Mud+Mud","s(BottomVegCover, by = Mud, k = 4, bs = ""ts"") + s(Dist_To_Shore, by = Mud, k = 4, bs = ""ts"") + s(Latitude, by = Mud, k = 4, bs = ""ts"") + Mud",2602.28465506836,2697.20212283993,0.01284,NA,10.99,0,12.841,35.039,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"BottomVegCover.te.Latitude+Dist_To_Shore.by.Mud+Mud","BottomVegCover.te.Latitude+Dist_To_Shore.by.Mud+Mud","s(Dist_To_Shore, by = Mud, k = 4, bs = ""ts"") + te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts"")) + Mud",2602.28736118265,2702.49847120774,0.01326,NA,11.42,0,12.844,40.335,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"Depth.te.BottomVegCover+Dissolved.oxygen.Min+Temperature.Min","Depth.te.BottomVegCover+Dissolved.oxygen.Min+Temperature.Min","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + s(Temperature.Min, k = 4, bs = ""ts"") + te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2602.39080282559,2708.93185470661,0.01239,NA,11.74,0,12.947,46.769,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"BottomVegCover+Depth.te.Temperature.Min+Mud","BottomVegCover+Depth.te.Temperature.Min+Mud","s(BottomVegCover, k = 4, bs = ""ts"") + te(Depth, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud",2602.47296386929,2707.88214384554,0.01277,NA,11.56,0,13.029,45.719,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"Dist_To_River.te.BottomVegCover+Dist_To_Shore.te.Latitude","Dist_To_River.te.BottomVegCover+Dist_To_Shore.te.Latitude","te(Dist_To_River, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_Shore, Latitude, k = 4, bs = c(""ts"", ""ts""))",2602.94797680065,2719.90725124142,0.01193,NA,12.7,0,13.504,57.744,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Depth.te.BottomVegCover+Mud+Temperature.Min.by.Mud","Depth.te.BottomVegCover+Mud+Temperature.Min.by.Mud","s(Temperature.Min, by = Mud, k = 4, bs = ""ts"") + te(Depth, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Mud",2603.02203956916,2725.38640507901,0.01268,NA,13.57,0,13.578,63.223,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"Dist_To_Shore.te.BottomVegCover+Latitude","Dist_To_Shore.te.BottomVegCover+Latitude","s(Latitude, k = 4, bs = ""ts"") + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2603.27270412216,2693.69638551843,0.01245,NA,9.76,0,13.829,31.533,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Depth+Dist_To_Shore.te.BottomVegCover+Latitude","Depth+Dist_To_Shore.te.BottomVegCover+Latitude","s(Depth, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2603.32118528436,2694.31783500973,0.01245,NA,10.76,1,13.877,32.155,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Dist_To_Shore.by.Seagrass_PA+Latitude.by.Seagrass_PA+Mud+Seagrass_PA","Dist_To_Shore.by.Seagrass_PA+Latitude.by.Seagrass_PA+Mud+Seagrass_PA","s(Dist_To_Shore, by = Seagrass_PA, k = 4, bs = ""ts"") + s(Latitude, by = Seagrass_PA, k = 4, bs = ""ts"") + Mud + Seagrass_PA",2603.48004579849,2682.94518506951,0.00816,NA,9.47,0,14.036,20.782,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"Dist_To_River+Dist_To_Shore.te.BottomVegCover+Latitude","Dist_To_River+Dist_To_Shore.te.BottomVegCover+Latitude","s(Dist_To_River, k = 4, bs = ""ts"") + s(Latitude, k = 4, bs = ""ts"") + te(Dist_To_Shore, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",2603.53037607703,2696.64679568878,0.01246,NA,10.75,1,14.087,34.484,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
