"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","Dist_To_Shore","Dist_To_River","Primary.productivity.Max","Dissolved.oxygen.Min","Temperature.Min","Salinity.Min","BottomVegCover","Latitude","Sand","Mud","Rocks","Seagrass_PA","TH_PA","SY_PA","HA_PA","ST_Mangroves","ST_Oysters"
"Primary.productivity.Max.te.BottomVegCover","Primary.productivity.Max.te.BottomVegCover","te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts""))",661.421639769293,752.467020317703,0.00566,NA,11.24,0,7.752,56.527,0.005,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mud+Primary.productivity.Max.te.BottomVegCover+Sand","Mud+Primary.productivity.Max.te.BottomVegCover+Sand","te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Mud + Sand",661.755101750779,767.547735319993,0.00558,NA,13.29,0,8.086,71.608,0.004,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"Mud+Primary.productivity.Max.te.BottomVegCover+Rocks","Mud+Primary.productivity.Max.te.BottomVegCover+Rocks","te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Mud + Rocks",661.811326118299,767.631518760805,0.00553,NA,13.29,0,8.142,71.692,0.004,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Dissolved.oxygen.Min.by.Seagrass_PA+Mud+Seagrass_PA+Temperature.Min.by.Seagrass_PA","Dissolved.oxygen.Min.by.Seagrass_PA+Mud+Seagrass_PA+Temperature.Min.by.Seagrass_PA","s(Dissolved.oxygen.Min, by = Seagrass_PA, k = 4, bs = ""ts"") + s(Temperature.Min, by = Seagrass_PA, k = 4, bs = ""ts"") + Mud + Seagrass_PA",662.411963374081,706.895043381099,0.00221,NA,7.05,1,8.743,10.955,0.003,0.001,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
"Dissolved.oxygen.Min.by.Seagrass_PA+Seagrass_PA+ST_Oysters+Temperature.Min.by.Seagrass_PA","Dissolved.oxygen.Min.by.Seagrass_PA+Seagrass_PA+ST_Oysters+Temperature.Min.by.Seagrass_PA","s(Dissolved.oxygen.Min, by = Seagrass_PA, k = 4, bs = ""ts"") + s(Temperature.Min, by = Seagrass_PA, k = 4, bs = ""ts"") + Seagrass_PA + ST_Oysters",662.479130766798,706.933372077469,0.00164,NA,7.05,1,8.81,10.994,0.003,0.001,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
"Dist_To_River.te.Temperature.Min+HA_PA+Mud","Dist_To_River.te.Temperature.Min+HA_PA+Mud","te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA + Mud",662.635257146401,725.838113364161,0.00678,NA,7.74,0,8.966,29.898,0.003,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"Dissolved.oxygen.Min.by.Seagrass_PA+Seagrass_PA+Temperature.Min.by.Seagrass_PA","Dissolved.oxygen.Min.by.Seagrass_PA+Seagrass_PA+Temperature.Min.by.Seagrass_PA","s(Dissolved.oxygen.Min, by = Seagrass_PA, k = 4, bs = ""ts"") + s(Temperature.Min, by = Seagrass_PA, k = 4, bs = ""ts"") + Seagrass_PA",662.653638190053,699.82473823608,0.00209,NA,6.05,1,8.984,3.885,0.003,0.037,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"Primary.productivity.Max.te.BottomVegCover+Rocks+ST_Oysters","Primary.productivity.Max.te.BottomVegCover+Rocks+ST_Oysters","te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Rocks + ST_Oysters",662.952972349928,768.551801799625,0.00176,NA,13.23,0,9.284,72.612,0.002,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"Primary.productivity.Max.te.BottomVegCover+Rocks","Primary.productivity.Max.te.BottomVegCover+Rocks","te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Rocks",663.05023471109,761.423178490293,0.00565,NA,12.24,0,9.381,65.483,0.002,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Primary.productivity.Max.te.BottomVegCover+Sand+ST_Oysters","Primary.productivity.Max.te.BottomVegCover+Sand+ST_Oysters","te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Sand + ST_Oysters",663.225534280615,768.782894432256,0.00175,NA,13.22,0,9.556,72.843,0.002,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"Primary.productivity.Max.te.BottomVegCover+Sand","Primary.productivity.Max.te.BottomVegCover+Sand","te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Sand",663.349240711948,761.681683519709,0.00569,NA,12.24,0,9.68,65.742,0.002,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Depth+Dist_To_River.te.Temperature.Min+Mud","Depth+Dist_To_River.te.Temperature.Min+Mud","s(Depth, k = 4, bs = ""ts"") + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud",663.382642180745,726.48115277772,0.00615,NA,7.77,0,9.713,30.541,0.002,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Dist_To_River.te.Temperature.Min+HA_PA","Dist_To_River.te.Temperature.Min+HA_PA","te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",663.79109122744,719.36606472031,0.00699,NA,6.68,0,10.122,23.426,0.001,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Dist_To_River.te.Temperature.Min+HA_PA+SY_PA","Dist_To_River.te.Temperature.Min+HA_PA+SY_PA","te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA + SY_PA",664.016965944772,725.410015583457,0.00864,NA,7.44,0,10.348,29.47,0.001,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"Dissolved.oxygen.Min+Dist_To_River.te.Temperature.Min+HA_PA","Dissolved.oxygen.Min+Dist_To_River.te.Temperature.Min+HA_PA","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA",664.03214096612,722.511281752515,0.00696,NA,7.68,1,10.363,26.572,0.001,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"Dist_To_River.te.Temperature.Min+HA_PA+ST_Oysters","Dist_To_River.te.Temperature.Min+HA_PA+ST_Oysters","te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA + ST_Oysters",664.325353191901,727.076704692908,0.00138,NA,7.66,0,10.656,31.137,0.001,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"Dissolved.oxygen.Min.by.Seagrass_PA+Rocks+Seagrass_PA+Temperature.Min.by.Seagrass_PA","Dissolved.oxygen.Min.by.Seagrass_PA+Rocks+Seagrass_PA+Temperature.Min.by.Seagrass_PA","s(Dissolved.oxygen.Min, by = Seagrass_PA, k = 4, bs = ""ts"") + s(Temperature.Min, by = Seagrass_PA, k = 4, bs = ""ts"") + Rocks + Seagrass_PA",664.333194808761,708.788055842739,0.00212,NA,7.05,1,10.664,12.848,0.001,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"Depth+Dist_To_River.te.Temperature.Min","Depth+Dist_To_River.te.Temperature.Min","s(Depth, k = 4, bs = ""ts"") + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",664.445707779552,720.210899078814,0.00631,NA,6.73,0,10.776,24.271,0.001,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Depth+Dissolved.oxygen.Min+Dist_To_River.te.Temperature.Min","Depth+Dissolved.oxygen.Min+Dist_To_River.te.Temperature.Min","s(Depth, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",664.447348711895,720.221862693998,0.00631,NA,7.73,1,10.778,24.282,0.001,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Depth.by.ST_Oysters+Dist_To_River.te.Temperature.Min+ST_Oysters","Depth.by.ST_Oysters+Dist_To_River.te.Temperature.Min+ST_Oysters","s(Depth, by = ST_Oysters, k = 4, bs = ""ts"") + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + ST_Oysters",664.590587000578,727.670814038697,0.00122,NA,8.72,1,10.921,31.731,0.001,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Depth+Dist_To_River.te.Temperature.Min+ST_Oysters","Depth+Dist_To_River.te.Temperature.Min+ST_Oysters","s(Depth, k = 4, bs = ""ts"") + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + ST_Oysters",664.590610138114,727.670748612697,0.00122,NA,7.72,0,10.921,31.731,0.001,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Primary.productivity.Max.te.BottomVegCover+Rocks+Sand","Primary.productivity.Max.te.BottomVegCover+Rocks+Sand","te(Primary.productivity.Max, BottomVegCover, k = 4, bs = c(""ts"", ""ts"")) + Rocks + Sand",664.987225349544,770.646637882141,0.00568,NA,13.25,0,11.318,74.707,0.001,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"Depth.te.Dissolved.oxygen.Min+Dist_To_River.te.Temperature.Min","Depth.te.Dissolved.oxygen.Min+Dist_To_River.te.Temperature.Min","te(Depth, Dissolved.oxygen.Min, k = 4, bs = c(""ts"", ""ts"")) + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",665.006980049612,740.577091932894,0.00679,NA,8.41,0,11.338,44.637,0.001,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Dist_To_River.te.Temperature.Min+HA_PA+Rocks","Dist_To_River.te.Temperature.Min+HA_PA+Rocks","te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA + Rocks",665.271165649317,728.214987568863,0.00706,NA,7.69,0,11.602,32.275,0.001,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min+Mud","BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min+Mud","s(BottomVegCover, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud",665.307950841075,731.81644431807,0.01259,NA,7.87,0,11.638,35.877,0.001,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
"Dist_To_River.te.Temperature.Min+Mud+SY_PA","Dist_To_River.te.Temperature.Min+Mud+SY_PA","te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud + SY_PA",665.360199396115,727.024972996014,0.00816,NA,7.48,0,11.691,31.085,0.001,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"Dist_To_River.te.Temperature.Min+Mud","Dist_To_River.te.Temperature.Min+Mud","te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud",665.400154277213,721.153308962629,0.00634,NA,6.72,0,11.731,25.214,0.001,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Dissolved.oxygen.Min.by.Mud+Dist_To_River.te.Temperature.Min+Mud","Dissolved.oxygen.Min.by.Mud+Dist_To_River.te.Temperature.Min+Mud","s(Dissolved.oxygen.Min, by = Mud, k = 4, bs = ""ts"") + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud",665.401391403995,721.161234080621,0.00634,NA,8.72,2,11.732,25.221,0.001,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"Depth.by.Mud+Dist_To_River.te.Temperature.Min+Mud","Depth.by.Mud+Dist_To_River.te.Temperature.Min+Mud","s(Depth, by = Mud, k = 4, bs = ""ts"") + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud",665.41591771418,731.52916139027,0.00624,NA,8.75,0,11.746,35.589,0.001,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Depth.by.Rocks+Dist_To_River.te.Temperature.Min+Rocks","Depth.by.Rocks+Dist_To_River.te.Temperature.Min+Rocks","s(Depth, by = Rocks, k = 4, bs = ""ts"") + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Rocks",665.493285487353,728.676922530558,0.0064,NA,8.73,1,11.824,32.737,0.001,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"BottomVegCover.by.Mud+Dissolved.oxygen.Min.te.Temperature.Min+Mud","BottomVegCover.by.Mud+Dissolved.oxygen.Min.te.Temperature.Min+Mud","s(BottomVegCover, by = Mud, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud",665.531201945598,738.423586031735,0.01243,NA,8.93,0,11.862,42.484,0.001,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
"Dissolved.oxygen.Min+Dist_To_River.te.Temperature.Min+Mud","Dissolved.oxygen.Min+Dist_To_River.te.Temperature.Min+Mud","s(Dissolved.oxygen.Min, k = 4, bs = ""ts"") + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud",665.610326964263,724.602758703008,0.00629,NA,7.72,0,11.941,28.663,0.001,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"Dist_To_River.te.Temperature.Min+HA_PA+TH_PA","Dist_To_River.te.Temperature.Min+HA_PA+TH_PA","te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA + TH_PA",665.630051776154,728.172791295725,0.01004,NA,7.61,0,11.961,32.233,0.001,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"Dist_To_River.te.Temperature.Min+HA_PA+Sand","Dist_To_River.te.Temperature.Min+HA_PA+Sand","te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + HA_PA + Sand",665.784630970961,728.572406170555,0.00703,NA,7.67,0,12.115,32.633,0.001,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"Depth+Dist_To_River.te.Temperature.Min+SY_PA","Depth+Dist_To_River.te.Temperature.Min+SY_PA","s(Depth, k = 4, bs = ""ts"") + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + SY_PA",665.938040451873,727.644854296022,0.00771,NA,7.53,0,12.269,31.705,0.001,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Depth+Dist_To_River.te.Temperature.Min+Rocks","Depth+Dist_To_River.te.Temperature.Min+Rocks","s(Depth, k = 4, bs = ""ts"") + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Rocks",665.970346461997,729.05447320377,0.0064,NA,7.73,0,12.301,33.115,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Dist_To_River.te.Temperature.Min+Mud+ST_Oysters","Dist_To_River.te.Temperature.Min+Mud+ST_Oysters","te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud + ST_Oysters",665.973154091956,728.926967738795,0.00157,NA,7.7,0,12.304,32.987,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"BottomVegCover.te.Latitude","BottomVegCover.te.Latitude","te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts""))",666.019183128996,747.728547992952,0.00972,NA,9.58,0,12.35,51.789,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"BottomVegCover.te.Latitude+ST_Oysters","BottomVegCover.te.Latitude+ST_Oysters","te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts"")) + ST_Oysters",666.313815571341,755.208854640889,0.00135,NA,10.57,0,12.644,59.269,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"Depth+Dist_To_River.te.Temperature.Min+Sand","Depth+Dist_To_River.te.Temperature.Min+Sand","s(Depth, k = 4, bs = ""ts"") + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Sand",666.432310023878,729.347718203939,0.0064,NA,7.71,0,12.763,33.408,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Dissolved.oxygen.Min.by.Seagrass_PA+Seagrass_PA+ST_Oysters+Temperature.Min","Dissolved.oxygen.Min.by.Seagrass_PA+Seagrass_PA+ST_Oysters+Temperature.Min","s(Temperature.Min, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, by = Seagrass_PA, k = 4, bs = ""ts"") + Seagrass_PA + ST_Oysters",666.519811687911,703.039139006172,0.00155,NA,6.06,1,12.85,7.099,0,0.007,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
"Dissolved.oxygen.Min.by.Seagrass_PA+Seagrass_PA+ST_Oysters+Temperature.Min.by.ST_Oysters","Dissolved.oxygen.Min.by.Seagrass_PA+Seagrass_PA+ST_Oysters+Temperature.Min.by.ST_Oysters","s(Dissolved.oxygen.Min, by = Seagrass_PA, k = 4, bs = ""ts"") + s(Temperature.Min, by = ST_Oysters, k = 4, bs = ""ts"") + Seagrass_PA + ST_Oysters",666.519820141893,703.03917850589,0.00156,NA,7.06,2,12.85,7.099,0,0.007,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
"Dissolved.oxygen.Min.by.Seagrass_PA+Mud+Seagrass_PA+Temperature.Min","Dissolved.oxygen.Min.by.Seagrass_PA+Mud+Seagrass_PA+Temperature.Min","s(Temperature.Min, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, by = Seagrass_PA, k = 4, bs = ""ts"") + Mud + Seagrass_PA",666.568697212536,702.712572599976,0.00485,NA,6.06,1,12.899,6.773,0,0.009,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
"BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min","BottomVegCover+Dissolved.oxygen.Min.te.Temperature.Min","s(BottomVegCover, k = 4, bs = ""ts"") + te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts""))",666.57283465104,727.659140770086,0.0121,NA,7.1,0,12.903,31.719,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Dissolved.oxygen.Min.by.Seagrass_PA+Rocks+Seagrass_PA+Temperature.Min.by.Rocks","Dissolved.oxygen.Min.by.Seagrass_PA+Rocks+Seagrass_PA+Temperature.Min.by.Rocks","s(Dissolved.oxygen.Min, by = Seagrass_PA, k = 4, bs = ""ts"") + s(Temperature.Min, by = Rocks, k = 4, bs = ""ts"") + Rocks + Seagrass_PA",666.608516432676,709.762758134081,0.00397,NA,7.05,1,12.939,13.823,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"Dist_To_River.te.Temperature.Min+Mud+TH_PA","Dist_To_River.te.Temperature.Min+Mud+TH_PA","te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud + TH_PA",666.615362695127,728.092684341518,0.00778,NA,7.46,0,12.946,32.153,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"BottomVegCover.te.Latitude+Mud","BottomVegCover.te.Latitude+Mud","te(BottomVegCover, Latitude, k = 4, bs = c(""ts"", ""ts"")) + Mud",666.723294048446,755.853866816144,0.00978,NA,10.59,0,13.054,59.914,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"Dissolved.oxygen.Min.te.Temperature.Min+Mud+Seagrass_PA","Dissolved.oxygen.Min.te.Temperature.Min+Mud+Seagrass_PA","te(Dissolved.oxygen.Min, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + Mud + Seagrass_PA",666.802058675037,732.395990931851,0.01232,NA,7.9,0,13.133,36.456,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
"Depth.by.SY_PA+Dist_To_River.te.Temperature.Min+SY_PA","Depth.by.SY_PA+Dist_To_River.te.Temperature.Min+SY_PA","s(Depth, by = SY_PA, k = 4, bs = ""ts"") + te(Dist_To_River, Temperature.Min, k = 4, bs = c(""ts"", ""ts"")) + SY_PA",666.832805001272,728.017600475094,0.00795,NA,8.49,1,13.163,32.078,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Dissolved.oxygen.Min.by.Seagrass_PA+Seagrass_PA+Temperature.Min","Dissolved.oxygen.Min.by.Seagrass_PA+Seagrass_PA+Temperature.Min","s(Temperature.Min, k = 4, bs = ""ts"") + s(Dissolved.oxygen.Min, by = Seagrass_PA, k = 4, bs = ""ts"") + Seagrass_PA",666.968919267421,695.939746621517,0.00421,NA,5.06,1,13.299,0,0,0.26,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
