"","Region","Site","Cover_Level","SAV_Cover","Secchi_m","Depth_m","Thalassia.testudinum","Syringodium.filiforme","Halodule.wrightii","Seagrass_Spp","Algal_Spp","Latitude","Longitude","Salinity.Min","Nitrate.Mean","Light.bottom.Min","Par.Mean","Dist_To_River","Dist_To_Shore","Seagrass_Biomass_gDW","Macro_Algae_Biomass_gDW","Thalassia_testudinum_gDW","Syringodium_filiforme_gDW","Halodule_wrightii_gDW"
"11","Saint Joe Bay","SJBB","No cover",0,0.5,0.5,0,0,0,0,0,29.7986,-85.303,31.8869075775146,6.71570014953613,10.5671377182007,39.7611236572266,83.7025299072266,0.241701394319534,NA,NA,NA,NA,NA
"12","Saint Joe Bay","SJBC","none",0,1.05,1.05,0,0,0,0,0,29.8256,-85.4084,32.943058013916,6.31030941009521,9.55621910095215,39.7932815551758,92.9473495483398,0.122559040784836,NA,NA,NA,NA,NA
"13","Saint Marks","SMAR01","high",60.5,NA,NA,67,30.5,1.5,99,2,30.06016,-84.17051,31.4691619873047,5.52877759933472,11.1792936325073,39.9450759887695,11.0536994934082,1.31557023525238,7.55005,2.8217,5.8284,1.72165,0
"14","Saint Marks","SMAR03","High",89.5,1.5,1.5,66,2,0,68,32,30.0643,-84.1365,31.4712238311768,5.51446342468262,11.7935638427734,40.0311546325684,12.2821617126465,1.86322629451752,5.98822857142857,1.37313333333333,5.30662857142857,0.6816,0
"15","Saint Marks","SMAR04","high",95.9,1.55,1.55,92.4,0,0,92.4,7.6,30.0651,-84.1198,31.4704532623291,5.50862979888916,12.0440225601196,40.0746841430664,12.6127510070801,2.44860410690308,10.51384,0.2177,10.03184,0,0
"16","Saint Marks","SMAR12","high",93,1.5,1.5,88.3,3.8,0,92.3,7.7,30.0785,-84.0692,31.4949531555176,5.44439792633057,12.9714450836182,40.3106422424316,7.56289291381836,2.00745797157288,11.02339,0.28325,10.49934,0.52405,0
"17","Saint Marks","SMAR14","high",91.8,0.9,0.9,65.3,1,0,66.3,33.7,30.0747,-84.1056,31.4893836975098,5.47537231445312,12.3540172576904,40.1379203796387,11.1267604827881,1.84757256507874,6.01971428571429,2.23581666666667,6.01971428571429,0,0
"18","Saint Marks","SMAR23","Hugh",85,1.1,1.1,76,0.5,0,76.5,23.5,30.07869,-84.05362,31.4936485290527,5.43648481369019,13.2128419876099,40.3769874572754,6.12065887451172,2.49939489364624,13.8878733333333,1.42118333333333,13.4107733333333,0.3177,0.0194
"19","Saint Marks","SMAR24","low sg , high overall cover because of algae",68.3333333333333,1.25,1.25,43.7037037033333,27.0370370366667,0,70.74074074,29.2592592588889,30.0701,-84.0508,31.4780044555664,5.45751762390137,13.2648115158081,40.3157196044922,5.96092367172241,3.37391138076782,10.7838833333333,0.5245,9.1696,1.27563333333333,0.27145
"20","Saint Marks","SMAR25","High cover, low seagrass",92.5,1.6,1.6,7.5,24.1,0,37.5,61.1,30.0704,-84.0716,31.4789962768555,5.46868658065796,12.9094552993774,40.2443733215332,7.92356729507446,2.70405650138855,8.4322,1.62495,5.63455,2.26265,0.4238
"21","Saint Marks","SMARA","None",0,1.25,1.5,0,0,0,0,0,30.0712,-84.19833,31.5003356933594,5.49681329727173,11.3722534179688,39.8785171508789,9.17609691619873,1.65787446498871,NA,NA,NA,NA,NA
"22","Saint Marks","SMARB","Low",7,1.6,1.6,0,24,0,24,6,30.0584,-84.17513,31.4663829803467,5.53417921066284,11.0276679992676,39.9322738647461,11.0581502914429,1.48023653030396,NA,NA,NA,NA,NA
"23","Saint Marks","SMARC","none",0,1.25,2.25,0,0,0,0,0,30.0697,-84.0906,31.4782161712646,5.48127555847168,12.5785045623779,40.1751289367676,9.76078128814697,2.59780550003052,NA,NA,NA,NA,NA
"24","Steinhatchee","STCH01","",33.5,0.75,1.25,0,15,26,73.5,8,29.675,-83.44167,31.4665870666504,4.99675226211548,13.5533990859985,41.8007507324219,1.32303059101105,0.277118742465973,NA,NA,NA,NA,NA
"25","Steinhatchee","STCH02","",73.5,1.1,1.1,79.4,1,9.5,89.9,0.1,29.675,-83.475,31.5288333892822,4.99537515640259,13.5978021621704,41.579948425293,4.53727388381958,1.09321546554565,14.5004,0,14.5004,0,0
"26","Steinhatchee","STCH04","low",1.5,0.5,1.2,0,0,0,10,0,29.65833,-83.425,31.5022830963135,5.00815105438232,12.9073295593262,41.5650329589844,1.40355467796326,1.29321837425232,NA,NA,NA,NA,NA
"27","Steinhatchee","STCH05","low",71.5,0.5,1.25,0,0,0,31.4,62,29.64167,-83.40833,31.517541885376,5.01302337646484,12.6311635971069,41.4642715454102,2.56069707870483,0.413902401924133,6.4387,6.69698333333333,0,4.0481,0.2863
"28","Steinhatchee","STCH06","high",68.5,0.6,1.2,5.5,78.8,0,88.1,11.9,29.6414,-83.4146,31.5248260498047,5.01534986495972,12.4993104934692,41.4161643981934,2.86228513717651,1.04900932312012,3.83463333333333,2.63145,0.2523,2.67155,0.26045
"29","Steinhatchee","STCH12","low",67,1.3,1.3,67.2,24.2,0,91.4,10.1,29.60833,-83.40833,31.6075553894043,4.90284967422485,14.1692638397217,40.3754577636719,6.20895147323608,0.645751416683197,NA,NA,NA,NA,NA
"30","Steinhatchee","STCH20","high",52.7272727272727,1.2,1.2,93.6363636363636,0,0,100,0,29.55833,-83.425,31.6264743804932,4.91951656341553,12.5625,40.3063011169434,11.9343404769897,2.06901574134827,5.04363333333333,0,4.81823333333333,0,0
"31","Steinhatchee","STCH21","high",84,1.1,1.1,97.5,0,0,97.5,2.5,29.5462,-83.4152,31.6239490509033,4.89585208892822,13.1995315551758,40.2403984069824,13.1766920089722,1.16423463821411,NA,NA,NA,NA,NA
"32","Steinhatchee","STCHA","low",17.5,1.4,1.4,38,0,0,38,42.1,29.61464,-83.40597,31.606029510498,4.90050983428955,14.3184862136841,40.3775482177734,5.54983329772949,0.36800029873848,NA,NA,NA,NA,NA
"33","Steinhatchee","STCHB","No cover",0,0.9,0.9,0,0,0,0,0,29.63317,-83.40769,31.5276489257812,5.01625108718872,12.4482307434082,41.3975257873535,3.46331024169922,0.413934767246246,NA,NA,NA,NA,NA
"34","Steinhatchee","STCHC","No cover",0,1.25,1.25,0,0,0,0,0,29.6012,-83.42204,31.613842010498,4.93503952026367,13.1101903915405,40.4458923339844,7.29004049301147,1.49931180477142,NA,NA,NA,NA,NA
