"","Site","Quadrat","Compaction_Ratio","Core_Length_Corrected_cm","Bagged_Slice_Number","Slice_Number","Analysis","Rhyzome_Removed","Slice_Height_Corrected_cm","Slice_Volume","Sample_Density_g_per_ml","Sediment_Density_g_per_ml","Rhizome_Density_g_per_ml","Factor","Percent_Shell","Percent_Gravel","Percent_Coarse","Percent_Medium","Percent_Fine","Percent_Silt","Percent_Sands"
"25","SJB07",3,0.630952381,41.9999999968302,5,9,"grainsize","N",3.16981132051549,64.2466841373245,0.840410687726561,0.840410687726561,0,"Seagrass",0.92,1.35,3.81,72.18,21.63,0.02,97.62
"26","SJB10",3,0.738,50,17,4,"grainsize ","Y",2.710027100271,54.9276400105689,0.811527675163598,0.807841006667354,0.00379590311835501,"Seagrass",0.33,2.54,9.62,40.05,46.15,0.21,95.82
"27","SJB10",3,0.738,50,12,9,"grainsize ","N",2.710027100271,54.9276400105689,0.729856589365322,0.729856589365322,0,"Seagrass",1.91,2.49,12.33,53.35,29.14,0.12,94.82
"28","SJB10",3,0.738,50,7,14,"grainsize ","N",2.710027100271,54.9276400105689,0.819110378515133,0.819110378515133,0,"Seagrass",2.99,1.93,9.28,45.48,39.79,0.09,94.55
"29","SJB10",3,0.738,50,2,19,"grainsize ","N",2.710027100271,54.9276400105689,0.986246632653005,0.986246632653005,0,"Seagrass",0.38,1.24,13.35,36.72,43.04,0.14,93.11
"30","SJB13",3,0.793333333,45.0000000189076,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"31","SJB14",3,0.677083333,48.0000000236308,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"32","SJB16",3,0.719602978,40.2999999813786,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"33","SJB17",3,0.696,50,14,4,"grainsize","Y",2.8735632183908,58.2422389767239,0.635562791718798,0.630834264710932,0.00427353076346312,"Seagrass",0.09,0.51,4.69,19.36,73.98,0.24,98.03
"34","SJB17",3,0.696,50,9,9,"grainsize","N",2.8735632183908,58.2422389767239,0.668550877921456,0.668550877921456,0,"Seagrass",3.53,1.99,8.42,22.65,62.74,0.14,93.81
"35","SJB17",3,0.696,50,4,14,"grainsize","N",2.8735632183908,58.2422389767239,0.754716864809522,0.754716864809522,0,"Seagrass",0,0.82,8.37,21.7,67.66,0.86,97.73
"36","SJB24",3,0.940298507,33.5000000164841,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"37","SJBA",3,0.85,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"38","SJBB",3,0.918918919,36.9999999967353,13,4,"grainsize ","Y",2.17647058804325,44.1133569998898,1.38576848731219,1.38576848731219,0,"Control",1.15,1.03,1.92,51.92,43.99,0,97.83
"39","SJBB",3,0.918918919,36.9999999967353,8,9,"grainsize ","N",2.17647058804325,44.1133569998898,1.21652949695336,1.21652949695336,0,"Control",0,0.82,3.18,53.06,42.8,0.01,99.04
"40","SJBB",3,0.918918919,36.9999999967353,3,14,"grainsize ","N",2.17647058804325,44.1133569998898,1.3223137835587,1.3223137835587,0,"Control",0,0.86,3.72,41.23,53.98,0,98.93
"41","SJBC",3,0.935162095,40.0999999898413,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"42","SMAR03",3,0.822,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"43","SMAR04",3,0.854,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"44","SMAR14",3,0.53,50,4,9,"grainsize ","N",3.77358490566038,76.4841477883015,0.602974620671055,0.602833414940033,0.000141205731021453,"Seagrass",0,0.06,25.86,43.24,29.34,1.18,98.44
"45","SMAR14",3,0.53,50,9,4,"grainsize ","Y",3.77358490566038,76.4841477883015,0.442517841653676,0.440291236469144,0.00222660518453273,"Seagrass",1.68,0.05,20.99,41.04,34.13,1.58,96.16
"46","SMAR23",3,0.987878788,32.9999999959509,3,9,"grainsize ","N",2.0245398770522,41.0339798973392,0.987878828751596,0.987523513472979,0.000355315278617306,"Seagrass",0,0.26,16.41,40.47,39.57,2.25,96.45
"47","SMAR23",3,0.987878788,32.9999999959509,8,4,"grainsize ","Y",2.0245398770522,41.0339798973392,1.05745287463119,1.05715556006335,0.000297314567841641,"Seagrass",0.13,0.48,14.62,39.91,42.74,1.88,97.27
"48","SMAR23",3,0.987878788,32.9999999959509,13,14,"grainsize ","N",2.0245398770522,41.0339798973392,0.838207750894529,0.827889960588562,0.0103177903059667,"Seagrass",0.3,0.93,11.53,34.38,49.67,1.65,95.58
"49","SMAR24",3,0.874,50,17,4,"grain size","Y",2.2883295194508,46.3805472858121,0.883980513367978,0.879965899248559,0.00317374435219372,"Seagrass",0,0.64,19.11,42.62,36.48,0.2,98.21
"50","SMAR24",3,0.874,50,12,9,"grainsize","N",2.2883295194508,46.3805472858121,1.02471408340924,1.02471408340924,0,"Seagrass",0.21,1.92,23.9,45.7,27.49,0.08,97.09
"51","SMAR24",3,0.874,50,7,14,"grainsize","N",2.2883295194508,46.3805472858121,1.09269301389859,1.09269301389859,0,"Seagrass",0.31,1.51,29.96,47.41,20.18,0.16,97.55
"52","SMAR24",3,0.874,50,2,19,"grainsize","N",2.2883295194508,46.3805472858121,0.979718926557387,0.979718926557387,0,"Seagrass",0,1.71,35.31,42.97,19.28,0.12,97.56
"53","SMAR25",3,0.656,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"54","SMARA",3,0.58,50,6,9,"grainsize ","N",3.44827586206897,69.8906867720686,0.655960073042548,0.655960073042548,0,"Control",0,0.08,16.67,22.54,57.89,1.63,97.1
"55","SMARA",3,0.58,50,11,4,"grainsize ","Y",3.44827586206897,69.8906867720686,0.664673680364595,0.664673680364595,0,"Control",0,0.05,7.9,27.71,62.63,1.03,98.24
"56","SMARB",3,0.824,50,6,14,"grainsize ","N",2.42718446601942,49.1949008832522,0.928687713151862,0.928687713151862,0,"Control",0,0.26,18.87,30,49.12,1.53,97.99
"57","SMARB",3,0.824,50,11,9,"grainsize ","N",2.42718446601942,49.1949008832522,0.897530012404835,0.897530012404835,0,"Control",0,0.07,12.8,34.5,51.06,1.36,98.36
"58","SMARB",3,0.824,50,16,4,"grainsize ","Y",2.42718446601942,49.1949008832522,0.88639674472533,0.88639674472533,0,"Control",0.72,0.33,7.05,25.02,64.86,1.83,96.93
"59","SMARC",3,0.907738095,33.6000000088131,11,4,"grain size","Y",2.2032786891025,44.6567116121747,1.0655643526387,1.0655643526387,0,"Control",0.51,0.63,37.02,50.78,10.43,0.19,98.23
"60","SMARC",3,0.907738095,33.6000000088131,6,9,"grainsize","N",2.2032786891025,44.6567116121747,1.10341532596337,1.10341532596337,0,"Control",0.22,1.04,36.09,44.78,17.1,0.4,97.97
"61","STCH01",3,0.64,50,12,4,"grain size","Y",3.125,63.3384348871872,0.675657680462468,0.675657680462468,0,"Seagrass",0.07,1.02,11.74,28.52,57.32,0.95,97.58
"62","STCH01",3,0.64,50,7,9,"grainsize","N",3.125,63.3384348871872,0.775424907285408,0.775424907285408,0,"Seagrass",0,0.05,8.45,34.58,55.71,0.91,98.74
"63","STCH01",3,0.64,50,2,14,"grainsize","N",3.125,63.3384348871872,0.738185275390476,0.738185275390476,0,"Seagrass",0,0.32,12.72,35.76,50.08,0.65,98.56
"64","STCH02",3,0.57,50,11,4,"grainsize","Y",3.50877192982456,71.1168391715786,0.423650718324398,0.418636434729206,0.00525473297679049,"Seagrass",2.67,1.92,11.08,22.38,59.01,1.38,92.47
"65","STCH02",3,0.57,50,6,9,"grainsize","N",3.50877192982456,71.1168391715786,0.344968931209256,0.344968931209256,0,"Seagrass",0.63,3.59,27.85,26.33,38.92,1.93,93.1
"66","STCH04",3,0.88,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"67","STCH05",3,0.94,50,5,19,"grainsize ","N",2.12765957446809,43.1240407742551,0.965150743129055,0.965150743129055,0,"Seagrass",0,0.16,5.54,46.54,47.12,0.34,99.2
"68","STCH05",3,0.94,50,10,14,"grainsize ","N",2.12765957446809,43.1240407742551,1.283265645019,1.283265645019,0,"Seagrass",0,0.7,9.2,35.29,53.83,0.63,98.32
"69","STCH05",3,0.94,50,15,9,"grainsize ","N",2.12765957446809,43.1240407742551,1.13546177771987,1.13546177771987,0,"Seagrass",0.19,0.31,6,39.12,53.78,0.36,98.9
"70","STCH05",3,0.94,50,20,4,"grainsize ","Y",2.12765957446809,43.1240407742551,0.80883190382343,0.80861160906836,0.000220294755070157,"Seagrass",0,0.46,4.77,32.1,61.88,0.52,98.75
"71","STCH05",3,0.94,50,5,19,"grainsize ","N",2.12765957446809,43.1240407742551,0.965150743129055,0.965150743129055,0,"Seagrass",0,0.16,5.54,46.54,47.12,0.34,99.2
"72","STCH05",3,0.94,50,10,14,"grainsize ","N",2.12765957446809,43.1240407742551,1.283265645019,1.283265645019,0,"Seagrass",0,0.7,9.2,35.29,53.83,0.63,98.32
"73","STCH05",3,0.94,50,15,9,"grainsize ","N",2.12765957446809,43.1240407742551,1.13546177771987,1.13546177771987,0,"Seagrass",0.19,0.31,6,39.12,53.78,0.36,98.9
"74","STCH05",3,0.94,50,20,4,"grainsize ","Y",2.12765957446809,43.1240407742551,0.80883190382343,0.80861160906836,0.000220294755070157,"Seagrass",0,0.46,4.77,32.1,61.88,0.52,98.75
"75","STCH12",3,0.837920489,32.7000000115763,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"76","STCH20",3,0.901639344,30.5000000088727,4,9,"grain size","N",2.21818181882711,44.9587727039114,0.613453133643938,0.613453133643938,0,"Seagrass",0.09,1.14,13,27.2,55.79,1.8,95.99
"77","STCH20",3,0.901639344,30.5000000088727,9,4,"grain size","Y",2.21818181882711,44.9587727039114,0.758799627931836,0.758679517891565,0.000120110040270966,"Seagrass",0.68,0.85,10.65,25.2,60.6,1.44,96.45
"78","STCH21",3,0.683333333,42.0000000204878,10,4,"grain size","Y",2.9268292697204,59.3218512403518,0.458342068419892,0.455896089459928,0.00220154963591499,"Seagrass",3.02,3.32,20.81,31.36,39.45,0.99,91.62
"79","STCH21",3,0.683333333,42.0000000204878,5,9,"grainsize","N",2.9268292697204,59.3218512403518,0.613048973347992,0.613048973347992,0,"Seagrass",0.25,0.1,10.2,32.78,55.06,1.12,98.04
"80","STCHA",3,0.636363636,16.5000000094286,2,4,"grain size","Y",3.14285714465306,63.7003688372285,0.788315686653484,0.788315686653484,0,"Control",2.08,6.62,38.35,37.78,14.78,0.11,90.91
"81","STCHB",3,0.88,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"82","STCHC",3,0.75,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"83","SJB02",2,0.84,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"84","SJB06",2,0.85952381,41.9999999767313,15,4,"grain size","Y",2.32686980480506,47.1616933192343,1.11522925277472,1.11289049026987,0.00185319893856218,"Seagrass",0,0.58,2.08,76.66,20.45,0,99.19
"85","SJB06",2,0.85952381,41.9999999767313,10,9,"grainsize","N",2.32686980480506,47.1616933192343,1.13716018712431,1.13716018712431,0,"Seagrass",0,0.76,3.6,62.24,33.44,0,99.28
"86","SJB06",2,0.85952381,41.9999999767313,5,14,"grainsize","N",2.32686980480506,47.1616933192343,1.05138930581564,1.05138930581564,0,"Seagrass",3.6,1.41,2.94,73.14,18.86,0.02,94.94
"87","SJB07",2,0.828947368,38.0000000193016,11,4,"grainsize ","Y",2.41269841392391,48.9012932456766,1.01847204223793,1.00533946521642,0.00949259148767073,"Seagrass",0.56,0.83,3.4,13.76,79.88,0.01,97.04
"88","SJB07",2,0.828947368,38.0000000193016,6,9,"grainsize ","N",2.41269841392391,48.9012932456766,1.09133514592108,1.09133514592108,0,"Seagrass",0.05,0.7,2.43,29.83,66.58,0.02,98.84
"89","SJB10",2,0.922222222,36.0000000086747,13,4,"grain size","Y",2.16867469931775,43.9553475949529,0.987725097753183,0.987051687084867,0.000275279361034773,"Seagrass",0.86,0.54,5.43,63.13,29.56,0.14,98.12
"90","SJB10",2,0.922222222,36.0000000086747,8,9,"grainsize","N",2.16867469931775,43.9553475949529,0.995021138338626,0.995021138338626,0,"Seagrass",0,0.43,8.49,46.87,43.54,0.24,98.9
"91","SJB10",2,0.922222222,36.0000000086747,3,14,"grainsize","N",2.16867469931775,43.9553475949529,0.967720705839309,0.967720705839309,0,"Seagrass",2.9,3.51,11.18,46.08,35.83,0.15,93.09
"92","SJB13",2,0.941463415,40.9999999840674,6,14,"grainsize","N",2.12435233078069,43.0570085697911,1.50638426018073,1.50638426018073,0,"Seagrass",0,0.14,1.48,13.45,84.72,0.05,99.65
"93","SJB13",2,0.941463415,40.9999999840674,11,9,"grainsize","N",2.12435233078069,43.0570085697911,1.17596418520177,1.17596418520177,0,"Seagrass",0.05,0.08,1.27,18.16,80.12,0.04,99.55
"94","SJB13",2,0.941463415,40.9999999840674,16,4,"grainsize","Y",2.12435233078069,43.0570085697911,1.41614111210643,1.41304289408267,0.00309821802375731,"Seagrass",0.05,0.06,1.16,10.94,87.36,0.1,99.46
"95","SJB14",2,0.78,50,15,4,"grainsize","Y",2.56410256410256,51.9699978561536,0.977862268546979,0.967363903672881,0.0104983648740982,"Seagrass",1.07,1.25,4.88,67.56,25.22,0.02,97.66
"96","SJB14",2,0.78,50,10,9,"grainsize","N",2.56410256410256,51.9699978561536,1.03619977335873,1.03619977335873,0,"Seagrass",1.14,1,5.26,65.93,26.44,0.02,97.63
"97","SJB14",2,0.78,50,5,15,"grainsize","N",2.56410256410256,51.9699978561536,0.94331156479344,0.94331156479344,0,"Seagrass",0,0.62,4.9,78.75,15.66,0.01,99.31
"98","SJB16",2,0.841191067,40.2999999998811,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"99","SJB17",2,0.676,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"100","SJB24",2,0.826666667,37.499999984879,2,14,"grainsize","N",2.41935483773413,49.0362076348239,1.10548924182103,1.10548924182103,0,"Seagrass",0,0.15,2.77,44.48,52.57,0.04,99.82
"101","SJB24",2,0.826666667,37.499999984879,7,9,"grainsize","N",2.41935483773413,49.0362076348239,1.1077386001079,1.1077386001079,0,"Seagrass",0,0.41,3.06,44.75,51.56,0.04,99.37
"102","SJB24",2,0.826666667,37.499999984879,12,4,"grainsize","Y",2.41935483773413,49.0362076348239,0.671014370545096,0.64564944001738,0.0254974856398169,"Seagrass",0,0.07,2.31,38.94,54.73,0.02,95.98
"103","SJBA",2,0.726315789,38.0000000247826,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"104","SJBB",2,0.805,40,13,4,"grainsize ","Y",2.48447204968944,50.3560227674532,1.11941525366919,1.11941525366919,0,"Control",0.16,0.49,2.52,52.54,44.14,0,99.2
"105","SJBB",2,0.805,40,8,9,"grainsize ","N",2.48447204968944,50.3560227674532,1.02579785219627,1.02579785219627,0,"Control",0.17,0.17,3.08,48.27,48.25,0,99.6
"106","SJBB",2,0.805,40,3,14,"grainsize ","N",2.48447204968944,50.3560227674532,1.0247969788701,1.0247969788701,0,"Control",1.4,1.35,3.62,45.14,48.36,0.01,97.12
"107","SJBC",2,0.816666667,29.9999999877551,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"108","SMAR03",2,0.822,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"109","SMAR04",2,0.762962963,26.9999999986893,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"110","SMAR12",2,0.472,50,2,9,"grainsize ","N",4.23728813559322,85.8826235758471,0.611621976750748,0.611538141398494,8.38353522542466e-05,"Seagrass",0,0,16.07,48.47,33.95,0.92,98.49
"111","SMAR12",2,0.472,50,7,4,"grainsize ","Y",4.23728813559322,85.8826235758471,0.436156913242395,0.433294867466826,0.00286204577556858,"Seagrass",0.49,0.26,17.15,41.64,37.26,2.73,96.05
"112","SMAR14",2,0.91,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"113","SMAR23",2,0.85,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"114","SMAR24",2,0.996875,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"115","SMAR25",2,0.75,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"116","SMARA",2,0.584,50,5,9,"grainsize ","N",3.42465753424658,69.4119834380134,0.69666933006149,0.69666933006149,0,"Control",0,0.09,13.11,29.32,53.95,2.5,96.38
"117","SMARA",2,0.584,50,10,4,"grainsize ","Y",3.42465753424658,69.4119834380134,0.752231782090311,0.752231782090311,0,"Control",0,0.19,5.89,26.92,64.86,1.66,97.67
"118","SMARB",2,0.87,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"119","SMARC",2,0.974193548,31.0000000123179,12,4,"grainsize ","Y",2.05298013326608,41.6104155185801,1.12934464639068,1.12934464639068,0,"Control",0.4,1.29,36.35,52.92,8.3,0.12,97.57
"120","SMARC",2,0.974193548,31.0000000123179,7,9,"grainsize ","N",2.05298013326608,41.6104155185801,1.1586546156568,1.1586546156568,0,"Control",0.14,2.02,37.17,48.81,11.38,0.14,97.36
"121","SMARC",2,0.974193548,31.0000000123179,2,14,"grainsize ","N",2.05298013326608,41.6104155185801,1.21835120770094,1.21835120770094,0,"Control",0,1.2,41.1,42.34,14.61,0.38,98.05
"122","STCH01",2,0.803571429,27.9999999850667,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"123","STCH02",2,0.4,50,7,4,"grainsize ","Y",5,101.3414958195,0.291686043914819,0.288493866836871,0.00306488469987865,"Seagrass",2.53,3.59,14.25,26.7,50.85,0.34,91.8
"124","STCH02",2,0.4,50,2,9,"grainsize ","N",5,101.3414958195,0.233675256206781,0.233675256206781,0,"Seagrass",0.26,2.48,22.76,31.3,41.79,0.39,95.85
"125","STCH04",2,0.86,50,16,4,"grainsize ","Y",2.32558139534884,47.13557945093,1.05084101175768,1.0498884404618,0.000167601631125044,"Seagrass",0.66,0.72,11.8,32.09,53.81,0.5,97.7
"126","STCH04",2,0.86,50,11,9,"grainsize ","N",2.32558139534884,47.13557945093,1.19413828482996,1.19413828482996,0,"Seagrass",0.17,0.79,12.73,32.5,52.67,0.81,97.9
"127","STCH04",2,0.86,50,6,14,"grainsize ","N",2.32558139534884,47.13557945093,0.935170427805789,0.935170427805789,0,"Seagrass",0,0.38,9.29,29.65,59.29,0.99,98.23
"128","STCH05",2,0.5,50,4,9,"grainsize","N",4,81.0731966555996,0.340520679322359,0.340520679322359,0,"Seagrass",0.3,0.77,9.27,20.67,68.18,0.42,98.12
"129","STCH05",2,0.5,50,9,4,"grainsize","Y",4,81.0731966555996,0.585758326537134,0.585758326537134,0,"Seagrass",0,0.03,4.83,24.48,69.74,0.81,99.05
"130","STCH12",2,0.887892377,22.2999999920035,7,4,"grain size","Y",2.25252525171753,45.6548556760498,0.74574762083545,0.745515443998112,0.000232176837338261,"Seagrass",0.41,1.98,14.42,26.47,54.71,1.85,95.6
"131","STCH12",2,0.887892377,22.2999999920035,2,9,"grainsize","N",2.25252525171753,45.6548556760498,0.760663887460672,0.760663887460672,0,"Seagrass",0.24,0.49,10.72,24.99,62.24,1.03,97.95
"132","STCH21",2,0.705882353,42.4999999964583,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"133","STCHA",2,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"134","STCHB",2,0.4,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"135","STCHC",2,0.738709677,31.0000000175982,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"136","SJB02",1,0.85,50,3,19,"grainsize ","N",2.35294117647059,47.6901156797645,0.994849757098226,0.994849757098226,0,"Seagrass",0.61,0.41,6,57.46,34.74,0.17,98.2
"137","SJB02",1,0.85,50,8,14,"grainsize ","N",2.35294117647059,47.6901156797645,0.780362963468152,0.780362963468152,0,"Seagrass",0.74,0.99,5,71.2,21.42,0.03,97.62
"138","SJB02",1,0.85,50,13,9,"grainsize ","N",2.35294117647059,47.6901156797645,0.757247062315751,0.757247062315751,0,"Seagrass",1.44,0.98,16.69,66.54,13.73,0.01,96.96
"139","SJB02",1,0.85,50,18,4,"grainsize ","Y",2.35294117647059,47.6901156797645,0.651640272979801,0.6476457345459,0.00423987229047121,"Seagrass",0.87,0.97,16.27,65.64,14.84,0.02,96.75
"140","SJB06",1,0.857142857,42.000000007,14,4,"grainsize ","Y",2.33333333372222,47.2926980569819,1.16887812011476,1.16359400628182,0.00506632122598105,"Seagrass",0,0,1.78,21.02,76.36,0.02,99.16
"141","SJB06",1,0.857142857,42.000000007,9,9,"grainsize ","N",2.33333333372222,47.2926980569819,1.29478127735958,1.29478127735958,0,"Seagrass",0,0.2,2.19,30.93,66.33,0,99.45
"142","SJB06",1,0.857142857,42.000000007,4,14,"grainsize ","N",2.33333333372222,47.2926980569819,1.22725711123668,1.22725711123668,0,"Seagrass",0,0.7,2.42,38.42,53.69,0.01,94.53
"143","SJB07",1,0.827027027,37.0000000012092,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
