"","Site","Quadrat","Compaction_Ratio","Core_Length_Corrected_cm","Bagged_Slice_Number","Slice_Number","Analysis","Rhizome_Removed","Slice_Height_cm","Slice_Height_Corrected_cm","Slice_Volume","Sample_Density_g_per_ml","Sediment_Density_g_per_ml","Rhizome_Density_g_per_ml","Factor","Percent_Shell","Percent_Gravel","Percent_Coarse","Percent_Medium","Percent_Fine","Percent_Silt","Percent_Sands"
"38","SMAR04",3,0.854,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"39","SMAR14",3,0.53,50,4,9,"grainsize ","N",2,3.77358490566038,76.4841477883015,0.602974620671055,0.602833414940033,0.000141205731021453,"Seagrass",0,0.06,25.86,43.24,29.34,1.18,98.44
"40","SMAR14",3,0.53,50,9,4,"grainsize ","Y",2,3.77358490566038,76.4841477883015,0.442517841653676,0.440291236469144,0.00222660518453273,"Seagrass",1.68,0.05,20.99,41.04,34.13,1.58,96.16
"41","SMAR23",3,0.987878788,32.9999999959509,3,9,"grainsize ","N",2,2.0245398770522,41.0339798973392,0.987878828751596,0.987523513472979,0.000355315278617306,"Seagrass",0,0.26,16.41,40.47,39.57,2.25,96.45
"42","SMAR23",3,0.987878788,32.9999999959509,8,4,"grainsize ","Y",2,2.0245398770522,41.0339798973392,1.05745287463119,1.05715556006335,0.000297314567841641,"Seagrass",0.13,0.48,14.62,39.91,42.74,1.88,97.27
"43","SMAR23",3,0.987878788,32.9999999959509,13,14,"grainsize ","N",2,2.0245398770522,41.0339798973392,0.838207750894529,0.827889960588562,0.0103177903059667,"Seagrass",0.3,0.93,11.53,34.38,49.67,1.65,95.58
"44","SMAR24",3,0.874,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"45","SMAR25",3,0.656,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"46","SMARA",3,0.58,50,6,9,"grainsize ","N",2,3.44827586206897,69.8906867720686,0.655960073042548,0.655960073042548,0,"Control",0,0.08,16.67,22.54,57.89,1.63,97.1
"47","SMARA",3,0.58,50,11,4,"grainsize ","Y",2,3.44827586206897,69.8906867720686,0.664673680364595,0.664673680364595,0,"Control",0,0.05,7.9,27.71,62.63,1.03,98.24
"48","SMARB",3,0.824,50,6,14,"grainsize ","N",2,2.42718446601942,49.1949008832522,0.928687713151862,0.928687713151862,0,"Control",0,0.26,18.87,30,49.12,1.53,97.99
"49","SMARB",3,0.824,50,11,9,"grainsize ","N",2,2.42718446601942,49.1949008832522,0.897530012404835,0.897530012404835,0,"Control",0,0.07,12.8,34.5,51.06,1.36,98.36
"50","SMARB",3,0.824,50,16,4,"grainsize ","Y",2,2.42718446601942,49.1949008832522,0.88639674472533,0.88639674472533,0,"Control",0.72,0.33,7.05,25.02,64.86,1.83,96.93
"51","SMARC",3,0.907738095,33.6000000088131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"52","STCH01",3,0.64,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"53","STCH02",3,0.57,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"54","STCH04",3,0.88,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"55","STCH05",3,0.94,50,5,19,"grainsize ","N",2,2.12765957446809,43.1240407742551,0.965150743129055,0.965150743129055,0,"Seagrass",0,0.16,5.54,46.54,47.12,0.34,99.2
"56","STCH05",3,0.94,50,10,14,"grainsize ","N",2,2.12765957446809,43.1240407742551,1.283265645019,1.283265645019,0,"Seagrass",0,0.7,9.2,35.29,53.83,0.63,98.32
"57","STCH05",3,0.94,50,15,9,"grainsize ","N",2,2.12765957446809,43.1240407742551,1.13546177771987,1.13546177771987,0,"Seagrass",0.19,0.31,6,39.12,53.78,0.36,98.9
"58","STCH05",3,0.94,50,20,4,"grainsize ","Y",2,2.12765957446809,43.1240407742551,0.80883190382343,0.80861160906836,0.000220294755070157,"Seagrass",0,0.46,4.77,32.1,61.88,0.52,98.75
"59","STCH05",3,0.94,50,5,19,"grainsize ","N",2,2.12765957446809,43.1240407742551,0.965150743129055,0.965150743129055,0,"Seagrass",0,0.16,5.54,46.54,47.12,0.34,99.2
"60","STCH05",3,0.94,50,10,14,"grainsize ","N",2,2.12765957446809,43.1240407742551,1.283265645019,1.283265645019,0,"Seagrass",0,0.7,9.2,35.29,53.83,0.63,98.32
"61","STCH05",3,0.94,50,15,9,"grainsize ","N",2,2.12765957446809,43.1240407742551,1.13546177771987,1.13546177771987,0,"Seagrass",0.19,0.31,6,39.12,53.78,0.36,98.9
"62","STCH05",3,0.94,50,20,4,"grainsize ","Y",2,2.12765957446809,43.1240407742551,0.80883190382343,0.80861160906836,0.000220294755070157,"Seagrass",0,0.46,4.77,32.1,61.88,0.52,98.75
"63","STCH12",3,0.837920489,32.7000000115763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"64","STCH20",3,0.901639344,30.5000000088727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"65","STCH21",3,0.683333333,42.0000000204878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"66","STCHA",3,0.636363636,16.5000000094286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"67","STCHB",3,0.88,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"68","STCHC",3,0.75,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"69","SJB02",2,0.84,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"70","SJB06",2,0.85952381,41.9999999767313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"71","SJB07",2,0.828947368,38.0000000193016,11,4,"grainsize ","Y",2,2.41269841392391,48.9012932456766,1.01847204223793,1.00533946521642,0.00949259148767073,"Seagrass",0.56,0.83,3.4,13.76,79.88,0.01,97.04
"72","SJB07",2,0.828947368,38.0000000193016,6,9,"grainsize ","N",2,2.41269841392391,48.9012932456766,1.09133514592108,1.09133514592108,0,"Seagrass",0.05,0.7,2.43,29.83,66.58,0.02,98.84
"73","SJB10",2,0.922222222,36.0000000086747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"74","SJB13",2,0.941463415,40.9999999840674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"75","SJB14",2,0.78,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"76","SJB16",2,0.841191067,40.2999999998811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"77","SJB17",2,0.676,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"78","SJB24",2,0.826666667,37.499999984879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"79","SJBA",2,0.726315789,38.0000000247826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"80","SJBB",2,0.805,40,13,4,"grainsize ","Y",2,2.48447204968944,50.3560227674532,1.11941525366919,1.11941525366919,0,"Control",0.16,0.49,2.52,52.54,44.14,0,99.2
"81","SJBB",2,0.805,40,8,9,"grainsize ","N",2,2.48447204968944,50.3560227674532,1.02579785219627,1.02579785219627,0,"Control",0.17,0.17,3.08,48.27,48.25,0,99.6
"82","SJBB",2,0.805,40,3,14,"grainsize ","N",2,2.48447204968944,50.3560227674532,1.0247969788701,1.0247969788701,0,"Control",1.4,1.35,3.62,45.14,48.36,0.01,97.12
"83","SJBC",2,0.816666667,29.9999999877551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"84","SMAR03",2,0.822,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"85","SMAR04",2,0.762962963,26.9999999986893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"86","SMAR12",2,0.472,50,2,9,"grainsize ","N",2,4.23728813559322,85.8826235758471,0.611621976750748,0.611538141398494,8.38353522542466e-05,"Seagrass",0,0,16.07,48.47,33.95,0.92,98.49
"87","SMAR12",2,0.472,50,7,4,"grainsize ","Y",2,4.23728813559322,85.8826235758471,0.436156913242395,0.433294867466826,0.00286204577556858,"Seagrass",0.49,0.26,17.15,41.64,37.26,2.73,96.05
"88","SMAR14",2,0.91,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"89","SMAR23",2,0.85,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"90","SMAR24",2,0.996875,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"91","SMAR25",2,0.75,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"92","SMARA",2,0.584,50,5,9,"grainsize ","N",2,3.42465753424658,69.4119834380134,0.69666933006149,0.69666933006149,0,"Control",0,0.09,13.11,29.32,53.95,2.5,96.38
"93","SMARA",2,0.584,50,10,4,"grainsize ","Y",2,3.42465753424658,69.4119834380134,0.752231782090311,0.752231782090311,0,"Control",0,0.19,5.89,26.92,64.86,1.66,97.67
"94","SMARB",2,0.87,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"95","SMARC",2,0.974193548,31.0000000123179,12,4,"grainsize ","Y",2,2.05298013326608,41.6104155185801,1.12934464639068,1.12934464639068,0,"Control",0.4,1.29,36.35,52.92,8.3,0.12,97.57
"96","SMARC",2,0.974193548,31.0000000123179,7,9,"grainsize ","N",2,2.05298013326608,41.6104155185801,1.1586546156568,1.1586546156568,0,"Control",0.14,2.02,37.17,48.81,11.38,0.14,97.36
"97","SMARC",2,0.974193548,31.0000000123179,2,14,"grainsize ","N",2,2.05298013326608,41.6104155185801,1.21835120770094,1.21835120770094,0,"Control",0,1.2,41.1,42.34,14.61,0.38,98.05
"98","STCH01",2,0.803571429,27.9999999850667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"99","STCH02",2,0.4,50,7,4,"grainsize ","Y",2,5,101.3414958195,0.291686043914819,0.288493866836871,0.00306488469987865,"Seagrass",2.53,3.59,14.25,26.7,50.85,0.34,91.8
"100","STCH02",2,0.4,50,2,9,"grainsize ","N",2,5,101.3414958195,0.233675256206781,0.233675256206781,0,"Seagrass",0.26,2.48,22.76,31.3,41.79,0.39,95.85
"101","STCH04",2,0.86,50,16,4,"grainsize ","Y",2,2.32558139534884,47.13557945093,1.05084101175768,1.0498884404618,0.000167601631125044,"Seagrass",0.66,0.72,11.8,32.09,53.81,0.5,97.7
"102","STCH04",2,0.86,50,11,9,"grainsize ","N",2,2.32558139534884,47.13557945093,1.19413828482996,1.19413828482996,0,"Seagrass",0.17,0.79,12.73,32.5,52.67,0.81,97.9
"103","STCH04",2,0.86,50,6,14,"grainsize ","N",2,2.32558139534884,47.13557945093,0.935170427805789,0.935170427805789,0,"Seagrass",0,0.38,9.29,29.65,59.29,0.99,98.23
"104","STCH05",2,0.5,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"105","STCH12",2,0.887892377,22.2999999920035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"106","STCH21",2,0.705882353,42.4999999964583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"107","STCHA",2,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"108","STCHB",2,0.4,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"109","STCHC",2,0.738709677,31.0000000175982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"110","SJB02",1,0.85,50,3,19,"grainsize ","N",2,2.35294117647059,47.6901156797645,0.994849757098226,0.994849757098226,0,"Seagrass",0.61,0.41,6,57.46,34.74,0.17,98.2
"111","SJB02",1,0.85,50,8,14,"grainsize ","N",2,2.35294117647059,47.6901156797645,0.780362963468152,0.780362963468152,0,"Seagrass",0.74,0.99,5,71.2,21.42,0.03,97.62
"112","SJB02",1,0.85,50,13,9,"grainsize ","N",2,2.35294117647059,47.6901156797645,0.757247062315751,0.757247062315751,0,"Seagrass",1.44,0.98,16.69,66.54,13.73,0.01,96.96
"113","SJB02",1,0.85,50,18,4,"grainsize ","Y",2,2.35294117647059,47.6901156797645,0.651640272979801,0.6476457345459,0.00423987229047121,"Seagrass",0.87,0.97,16.27,65.64,14.84,0.02,96.75
"114","SJB06",1,0.857142857,42.000000007,14,4,"grainsize ","Y",2,2.33333333372222,47.2926980569819,1.16887812011476,1.16359400628182,0.00506632122598105,"Seagrass",0,0,1.78,21.02,76.36,0.02,99.16
"115","SJB06",1,0.857142857,42.000000007,9,9,"grainsize ","N",2,2.33333333372222,47.2926980569819,1.29478127735958,1.29478127735958,0,"Seagrass",0,0.2,2.19,30.93,66.33,0,99.45
"116","SJB06",1,0.857142857,42.000000007,4,14,"grainsize ","N",2,2.33333333372222,47.2926980569819,1.22725711123668,1.22725711123668,0,"Seagrass",0,0.7,2.42,38.42,53.69,0.01,94.53
"117","SJB07",1,0.827027027,37.0000000012092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"118","SJB10",1,0.774,50,16,4,"grainsize ","Y",2,2.58397932816537,52.3728660565889,0.817285805091337,0.81321690422634,0.00400016298083888,"Seagrass",1.15,2.65,11.67,52.14,31.31,0.05,95.12
"119","SJB10",1,0.774,50,11,9,"grainsize ","N",2,2.58397932816537,52.3728660565889,0.903924179914995,0.903924179914995,0,"Seagrass",0,1.24,11.26,29.74,57.26,0.17,98.26
"120","SJB10",1,0.774,50,6,14,"grainsize ","N",2,2.58397932816537,52.3728660565889,1.02136858315529,1.02136858315529,0,"Seagrass",5.32,4.89,12.66,37.66,46.64,0.07,96.96
"121","SJB13",1,1,40.4,6,14,"grainsize ","N",2,2,40.5365983277998,1.30261546795325,1.30261546795325,0,"Seagrass",0.17,0.26,1.4,44.19,53.7,0.01,99.29
"122","SJB13",1,1,40.4,11,9,"grainsize ","N",2,2,40.5365983277998,1.30105638301255,1.30105638301255,0,"Seagrass",0.37,0.5,1.96,40.7,56.21,0.01,98.87
"123","SJB13",1,1,40.4,16,4,"grainsize ","Y",2,2,40.5365983277998,1.45597811446167,1.45037083586957,0.0056072785920993,"Seagrass",0,0.19,4,54.25,40.98,0,99.23
"124","SJB14",1,0.74,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"125","SJB16",1,0.8475,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"126","SJB17",1,0.722,50,5,14,"grainsize ","N",2,2.77008310249307,56.1448730301937,0.717440397065959,0.717440397065959,0,"Seagrass",2.37,2.59,13.57,39.92,39.96,0.12,93.45
"127","SJB17",1,0.722,50,10,9,"grainsize ","N",2,2.77008310249307,56.1448730301937,0.758735351972227,0.758735351972227,0,"Seagrass",0.97,0.77,4.94,37.55,55.27,0.14,97.76
"128","SJB17",1,0.722,50,15,4,"grainsize ","Y",2,2.77008310249307,56.1448730301937,0.631858228282427,0.630778877725033,0.00124677457124812,"Seagrass",0,0.73,2.76,27.15,68.61,0.21,98.52
"129","SJB24",1,0.915254237,29.500000009287,6,9,"grainsize ","N",2,2.18518518587311,44.2899870757985,0.899774477960412,0.899774477960412,0,"Seagrass",1.81,0.92,2.07,36.99,57.62,0.09,96.68
"130","SJB24",1,0.915254237,29.500000009287,11,4,"grainsize ","Y",2,2.18518518587311,44.2899870757985,0.996640615958098,0.987830498237083,0.00895687775480905,"Seagrass",0,0.16,2.29,68.37,27.23,0.09,97.89
"131","SJBA",1,0.928205128,39.0000000086188,15,4,"grainsize ","Y",2,2.15469613307286,43.672025832419,1.16973964514552,1.16973964514552,0,"Control",0,0,1.53,43.54,54.6,0,99.67
"132","SJBA",1,0.928205128,39.0000000086188,10,9,"grainsize ","N",2,2.15469613307286,43.672025832419,1.32235679246028,1.32235679246028,0,"Control",0,0.54,3.72,74.17,21.46,0,99.35
"133","SJBA",1,0.928205128,39.0000000086188,5,14,"grainsize ","N",2,2.15469613307286,43.672025832419,1.22691354428135,1.22691354428135,0,"Control",0,0.34,2.29,48.96,48.24,0,99.49
"134","SJBB",1,0.847222222,36.0000000094426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"135","SJBC",1,0.7475,40,11,4,"grainsize ","Y",2,2.67558528428094,54.2295629803342,1.08258663307484,1.08258663307484,0,"Control",0,0.3,2.62,75.5,21.68,0,99.8
"136","SJBC",1,0.7475,40,6,9,"grainsize ","N",2,2.67558528428094,54.2295629803342,1.08992764742423,1.08992764742423,0,"Control",0.05,0.26,1.82,71.48,26.4,0,99.7
"137","SMAR03",1,0.94,50,4,14,"grainsize ","N",2,2.12765957446809,43.1240407742551,1.05219731697983,1.05219731697983,0,"Seagrass",0,0.11,15.95,31.48,50.2,1.97,97.63
"138","SMAR03",1,0.94,50,14,9,"grainsize ","N",2,2.12765957446809,43.1240407742551,1.09004163700872,1.09004163700872,0,"Seagrass",0,0.1,8.83,30.61,58.62,1.49,98.06
"139","SMAR03",1,0.94,50,19,4,"grainsize ","Y",2,2.12765957446809,43.1240407742551,0.948941686940209,0.948941686940209,0,"Seagrass",0.58,0.16,6.67,33.36,57.1,1.71,97.13
"140","SMAR04",1,0.656,50,2,14,"grainsize ","N",2,3.04878048780488,61.79359501189,0.748420608820401,0.748420608820401,0,"Seagrass",0,0.13,28.44,41.6,28.81,0.64,98.85
"141","SMAR04",1,0.656,50,7,9,"grainsize ","N",2,3.04878048780488,61.79359501189,0.758724265694184,0.758135207880134,0.000415900709370525,"Seagrass",0,0.36,21.11,44.69,32.97,0.58,98.77
"142","SMAR04",1,0.656,50,12,4,"grainsize ","Y",2,3.04878048780488,61.79359501189,0.405841414392132,0.405687676775827,0.000281582581441523,"Seagrass",0.11,1.05,21.72,42.42,32.94,1.01,97.08
"143","SMAR12",1,0.826,50,6,14,"grainsize ","N",2,2.42130750605327,49.075784900484,1.06023367951241,1.06023367951241,0,"Seagrass",0,0.04,22.05,48.76,27.65,0.76,98.46
"144","SMAR12",1,0.826,50,11,9,"grainsize ","N",2,2.42130750605327,49.075784900484,1.06210425580959,1.0611159883759,0.000988267433691552,"Seagrass",0,0.03,21.22,46.56,31.33,0.97,99.11
"145","SMAR12",1,0.826,50,16,4,"grainsize ","Y",2,2.42130750605327,49.075784900484,0.923832397014863,0.921059135206092,0.00277326180877155,"Seagrass",0.02,0.11,16.15,45.59,35.99,1.66,97.73
"146","SMAR14",1,0.564,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
