"","Site","Quadrat","Compaction_Ratio","Core_Length_Corrected_cm","Bagged_Slice_Number","Slice_Number","Analysis","Rhyzome_Removed","Slice_Height_Corrected_cm","Slice_Area_cm2","Slice_Volume_cm3","Sediment_Depth_cm","Sample_Density_g_per_ml","Sediment_Density_g_per_ml","Frac_Rhizome","Rhizome_Density_g_per_ml","Factor","Percent_Shell","Percent_Gravel","Percent_Coarse","Percent_Medium","Percent_Fine","Percent_Silt"
"17","STCH06",2,0.91,41.405,18,4,"grainsize","Y",1.82,20.2682991638999,36.8883044782978,7.28,0.871620435114226,0.87049270640486,0.00111655045004137,0.000973208189092039,"Seagrass",0,1.96,10.58,25.04,60.07,1.74
"18","STCH06",2,0.91,41.405,3,19,"grainsize","N",1.82,20.2682991638999,36.8883044782978,34.58,1.23688254706429,1.23688254706429,0,0,"Seagrass",0,0.12,13.08,32.42,50.44,2.89
"19","STCH06",3,0.555,12.321,3,9,"grainsize ","N",1.11,20.2682991638999,22.4978120719289,9.99,1.78045757836067,1.78045757836067,0,0,"Seagrass",0.4,0.94,10.27,28.48,58.1,1.18
"20","STCH06",3,0.555,12.321,8,4,"grainsize ","Y",1.11,20.2682991638999,22.4978120719289,4.44,1.32229747074465,1.32063508687014,0.00105550475985586,0.00139569127431634,"Seagrass",0,1.11,9.32,22.74,64.3,1.87
"21","SMAR12",3,0.878,38.5442,7,14,"grainsize ","N",1.756,20.2682991638999,35.5911333318082,24.584,1.41534408388677,1.41521764790177,8.93323301643516e-05,0.000126435984997935,"Seagrass",0,0,29.81,46.23,23.52,0.74
"22","SMAR12",3,0.878,38.5442,2,19,"grainsize ","N",1.756,20.2682991638999,35.5911333318082,33.364,1.3637272954335,1.3637272954335,0,0,"Seagrass",0,0.07,28.77,45.1,25.19,0.93
"23","SMAR12",3,0.878,38.5442,12,9,"grainsize ","N",1.756,20.2682991638999,35.5911333318082,15.804,1.20498270173576,1.20481973979954,0.000135240062770043,0.00016296193621956,"Seagrass",0,0,19.22,43.72,34.23,2.18
"24","SMAR12",3,0.878,38.5442,17,4,"grainsize ","Y",1.756,20.2682991638999,35.5911333318082,7.024,1.06912021163409,1.06658868224558,0.00236786224875957,0.0025315293885142,"Seagrass",0.06,0.11,21.32,42.18,34.16,1.33
"25","STCH20",2,0.862068966,21.55172415,4,9,"grainsize ","N",1.724137932,20.2682991638999,34.9453434056037,15.517241388,0.977861330574887,0.977861330574887,0,0,"Seagrass",0,0.48,6.2,19.72,70.71,2.44
"26","STCH20",2,0.862068966,21.55172415,9,4,"grainsize ","Y",1.724137932,20.2682991638999,34.9453434056037,6.896551728,0.943997018919268,0.939510011932956,0.00515637362337556,0.00486760132890047,"Seagrass",0.52,2.8,13.92,20.63,59,2.13
"27","SJB02",3,0.603333333,21.8406666546,10,9,"grainsize ","N",1.206666666,20.2682991638999,24.4570809775937,10.859999994,2.38860884720952,2.38860884720952,0,0,"Seagrass",0.97,0.46,4.39,54.47,39.03,0.18
"28","SJB02",3,0.603333333,21.8406666546,5,14,"grainsize ","N",1.206666666,20.2682991638999,24.4570809775937,16.893333324,1.85213435902263,1.85213435902263,0,0,"Seagrass",0.1,0.22,5.06,53.84,40.14,0.1
"29","SJB02",3,0.603333333,21.8406666546,15,4,"grainsize ","Y",1.206666666,20.2682991638999,24.4570809775937,4.826666664,1.82576162874501,1.81875752223872,0.00367278199799341,0.00670562444268179,"Seagrass",3.07,0.69,4.91,48.9,41.16,0.28
"30","SJB06",3,0.902777778,29.340277785,9,9,"grainsize","N",1.805555556,20.2682991638999,36.5955401660496,16.250000004,1.46948780523507,1.46948780523507,0,0,"Seagrass",0,0.12,1.87,22.85,75.16,0.01
"31","SJB06",3,0.902777778,29.340277785,4,14,"grainsize","N",1.805555556,20.2682991638999,36.5955401660496,25.277777784,1.21765383972498,1.21765383972498,0,0,"Seagrass",0,0.46,2.99,17.75,78.68,0.02
"32","SJB06",3,0.902777778,29.340277785,14,4,"grain size","Y",1.805555556,20.2682991638999,36.5955401660496,7.222222224,1.37461558899652,1.36896462718364,0.00411093971151858,0.00565096181287829,"Seagrass",0,0.11,1.85,14.64,82.46,0.17
"33","SJB07",3,0.630952381,16.7202380965,5,9,"grainsize","N",1.261904762,20.2682991638999,25.5766632325659,11.357142858,2.11104941676879,2.11104941676879,0,0,"Seagrass",0.92,1.35,3.81,72.18,21.63,0.02
"34","SJB07",3,0.630952381,16.7202380965,10,4,"grain size","Y",1.261904762,20.2682991638999,25.5766632325659,5.047619048,1.82079654318254,1.81758267594534,0.00167704890927402,0.00305356485675418,"Seagrass",1.04,3.02,10.5,62.92,22.16,0.03
"35","SJB10",3,0.738,27.2322,7,14,"grainsize ","N",1.476,20.2682991638999,29.9160095659163,20.664,1.50393721130708,1.50393721130708,0,0,"Seagrass",2.99,1.93,9.28,45.48,39.79,0.09
"36","SJB10",3,0.738,27.2322,12,9,"grainsize ","N",1.476,20.2682991638999,29.9160095659163,13.284,1.34006174559037,1.34006174559037,0,0,"Seagrass",1.91,2.49,12.33,53.35,29.14,0.12
"37","SJB10",3,0.738,27.2322,17,4,"grainsize ","Y",1.476,20.2682991638999,29.9160095659163,5.904,1.49001489994124,1.48324594903709,0.0046774783344139,0.00696951241242906,"Seagrass",0.33,2.54,9.62,40.05,46.15,0.21
"38","SJB10",3,0.738,27.2322,2,19,"grainsize ","N",1.476,20.2682991638999,29.9160095659163,28.044,1.81080968972945,1.81080968972945,0,0,"Seagrass",0.38,1.24,13.35,36.72,43.04,0.14
"39","SJB13",3,0.793333333,28.3219999881,5,14,"grain size","N",1.586666666,20.2682991638999,32.1590346598757,22.213333324,1.7054958452603,1.7054958452603,0,0,"Seagrass",0,0.28,2.49,32.78,64.5,0.04
"40","SJB13",3,0.793333333,28.3219999881,10,9,"grain size","N",1.586666666,20.2682991638999,32.1590346598757,14.279999994,1.39929573371634,1.4022529120336,0,0,"Seagrass",0,0.2,1.77,31.65,66.42,0
"41","SJB13",3,0.793333333,28.3219999881,15,4,"grain size","Y",1.586666666,20.2682991638999,32.1590346598757,6.346666664,1.62858122309703,1.62356552527817,0.00360296027005972,0.00586771344338386,"Seagrass",0,0.08,2.76,44.73,52.11,0
"42","SJB14",3,0.677083333,22.0052083225,14,4,"grain size","Y",1.354166666,20.2682991638999,27.4466551042689,5.416666664,1.66255960249607,1.63309517424688,0.0174067588978714,0.02893977415399,"Seagrass",NA,NA,NA,NA,NA,NA
"43","SJB14",3,0.677083333,22.0052083225,4,14,"grainsize","N",1.354166666,20.2682991638999,27.4466551042689,18.958333324,1.76148604689102,1.76148604689102,0,0,"Seagrass",1.41,0.72,3.03,39.09,55.63,0.01
"44","SJB14",3,0.677083333,22.0052083225,9,9,"grainsize","N",1.354166666,20.2682991638999,27.4466551042689,12.187499994,1.86322886361646,1.86322886361646,0,0,"Seagrass",0,1.18,2.62,22.26,73.75,0.03
"45","SJB16",3,0.719602978,20.868486362,10,4,"grain size","Y",1.439205956,20.2682991638999,29.1702568746746,5.756823824,2.09055752446748,2.07235062274968,0.00876322724209235,0.0183200306495745,"Seagrass",NA,NA,NA,NA,NA,NA
"46","SJB16",3,0.719602978,20.868486362,5,9,"grainsize","N",1.439205956,20.2682991638999,29.1702568746746,12.952853604,1.36634038470203,1.36634038470203,0,0,"Seagrass",0.44,1.21,5.98,45.42,46.76,0.03
"47","SJB17",3,0.696,24.2208,9,9,"grainsize","N",1.392,20.2682991638999,28.2134724361487,12.528,1.38011725030027,1.38011725030027,0,0,"Seagrass",3.53,1.99,8.42,22.65,62.74,0.14
"48","SJB17",3,0.696,24.2208,4,14,"grainsize","N",1.392,20.2682991638999,28.2134724361487,19.488,1.55799326366083,1.55799326366083,0,0,"Seagrass",0,0.82,8.37,21.7,67.66,0.86
"49","SJB17",3,0.696,24.2208,14,4,"grainsize","Y",1.392,20.2682991638999,28.2134724361487,5.568,1.31201857849204,1.30225728446404,0.00672401030888845,0.00882202644723361,"Seagrass",0.09,0.51,4.69,19.36,73.98,0.24
"50","SJB24",3,0.940298507,29.6194029705,2,14,"grainsize","N",1.880597014,20.2682991638999,38.1165028864889,26.328358196,1.44737045169891,1.44737045169891,0,0,"Seagrass",0.07,0.24,1.94,43.01,54.75,0.01
"51","SJB24",3,0.940298507,29.6194029705,7,9,"grainsize","N",1.880597014,20.2682991638999,38.1165028864889,16.925373126,1.15313569376744,1.15313569376744,0,0,"Seagrass",0,0.2,2.2,55.42,41.96,0.02
"52","SJB24",3,0.940298507,29.6194029705,12,4,"grainsize","Y",1.880597014,20.2682991638999,38.1165028864889,7.522388056,1.01868212085541,0.987488283279579,0.0297229361862133,0.0302782236722219,"Seagrass",0.14,0.85,3.48,55.45,36.83,0.01
"53","SJBA",3,0.85,26.01,6,9,"grainsize","N",1.7,20.2682991638999,34.4561085786298,15.3,1.66305779624632,1.66305779624632,0,0,"Control",0,0.02,0.95,32.16,66.91,0
"54","SJBA",3,0.85,26.01,11,4,"grain size","Y",1.7,20.2682991638999,34.4561085786298,6.8,1.71238722055206,1.71238722055206,0,0,"Control",0,0.06,1.89,37.87,60.13,0.01
"55","SJBB",3,0.918918919,31.243243246,13,4,"grainsize ","Y",1.837837838,20.2682991638999,37.249847115319,7.351351352,1.64110472214153,1.64110472214153,0,0,"Control",1.15,1.03,1.92,51.92,43.99,0
"56","SJBB",3,0.918918919,31.243243246,8,9,"grainsize ","N",1.837837838,20.2682991638999,37.249847115319,16.540540542,1.44068242304088,1.44068242304088,0,0,"Control",0,0.82,3.18,53.06,42.8,0.01
"57","SJBB",3,0.918918919,31.243243246,3,14,"grainsize ","N",1.837837838,20.2682991638999,37.249847115319,25.729729732,1.56595810499343,1.56595810499343,0,0,"Control",0,0.86,3.72,41.23,53.98,0
"58","SJBC",3,0.935162095,35.0685785625,16,4,"grain size","Y",1.87032419,20.2682991638999,37.9082902163988,7.48129676,1.51677640093424,1.51677640093424,0,0,"Control",0,0.01,2.28,49.37,48.25,0
"59","SJBC",3,0.935162095,35.0685785625,6,14,"grainsize","N",1.87032419,20.2682991638999,37.9082902163988,26.18453866,1.32711867807314,1.32711867807314,0,0,"Control",0,0,1.72,46.51,51.58,0
"60","SJBC",3,0.935162095,35.0685785625,11,9,"grainsize","N",1.87032419,20.2682991638999,37.9082902163988,16.83291771,1.37395539874465,1.37395539874465,0,0,"Control",0,0.08,2.42,52.62,44.62,0
"61","SMAR03",3,0.822,33.7842,5,14,"grainsize","N",1.644,20.2682991638999,33.3210838254514,23.016,1.13487004798793,1.13487004798793,0,0,"Seagrass",0,0.13,18.1,35.72,44.5,1.17
"62","SMAR03",3,0.822,33.7842,10,9,"grainsize","N",1.644,20.2682991638999,33.3210838254514,14.796,1.32648446345671,1.32648446345671,0,0,"Seagrass",0,0.68,17.9,37.18,42.63,1.08
"63","SMAR03",3,0.822,33.7842,15,4,"grainsize","Y",1.644,20.2682991638999,33.3210838254514,6.576,1.21112507058294,1.207496737224,0.00299583705025275,0.00362833335894235,"Seagrass",0,0.03,16.5,42.33,39.52,0.85
"64","SMAR04",3,0.854,36.4658,3,19,"grain size","N",1.708,20.2682991638999,34.618254971941,32.452,1.58629890629987,1.58629890629987,0,0,"Seagrass",0,0.79,40.88,40.14,17.25,0.53
"65","SMAR04",3,0.854,36.4658,8,14,"grain size","N",1.708,20.2682991638999,34.618254971941,23.912,1.44759174142711,1.44759174142711,0,0,"Seagrass",0.1,0.71,26.29,44.56,27.16,0.78
"66","SMAR04",3,0.854,36.4658,13,9,"grain size","N",1.708,20.2682991638999,34.618254971941,15.372,1.11624921681699,1.11624921681699,0,0,"Seagrass",0.1,0.25,20.19,46.02,31.85,0.96
"67","SMAR04",3,0.854,36.4658,18,4,"grain size","Y",1.708,20.2682991638999,34.618254971941,6.832,0.825243791842064,0.816187876104714,0.011155643453454,0.00920612550396646,"Seagrass",0.53,0.45,21.05,45.43,29.63,1.08
"68","SMAR14",3,0.53,14.045,4,9,"grainsize ","N",1.06,20.2682991638999,21.4843971137339,9.54,2.1465810632647,2.14607837287303,0.000234181881261113,0.000502690391674808,"Seagrass",0,0.06,25.86,43.24,29.34,1.18
"69","SMAR14",3,0.53,14.045,9,4,"grainsize ","Y",1.06,20.2682991638999,21.4843971137339,4.24,1.57535721485823,1.56743053210802,0.0050316732455622,0.00792668275020553,"Seagrass",1.68,0.05,20.99,41.04,34.13,1.58
"70","SMAR23",3,0.987878788,32.2048484888,8,9,"grainsize ","N",1.975757576,20.2682991638999,40.0452456257097,17.781818184,1.0835618391648,1.08325718377289,0.000281161056889022,0.000304655391904187,"Seagrass",0.13,0.48,14.62,39.91,42.74,1.88
"71","SMAR23",3,0.987878788,32.2048484888,3,14,"grainsize ","N",1.975757576,20.2682991638999,40.0452456257097,27.660606064,1.01226998028387,1.01190589211879,0.000359674960406151,0.000364088165078938,"Seagrass",0,0.26,16.41,40.47,39.57,2.25
"72","SMAR23",3,0.987878788,32.2048484888,13,4,"grainsize ","Y",1.975757576,20.2682991638999,40.0452456257097,7.903030304,0.858903459388893,0.84833091841968,0.0123093472888501,0.0105725409692127,"Seagrass",0.3,0.93,11.53,34.38,49.67,1.65
"73","SMAR24",3,0.874,38.1938,7,14,"grainsize","N",1.748,20.2682991638999,35.428986938497,24.472,1.43045862666007,1.43045862666007,0,0,"Seagrass",0.31,1.51,29.96,47.41,20.18,0.16
"74","SMAR24",3,0.874,38.1938,2,19,"grainsize","N",1.748,20.2682991638999,35.428986938497,33.212,1.28256278055259,1.28256278055259,0,0,"Seagrass",0,1.71,35.31,42.97,19.28,0.12
"75","SMAR24",3,0.874,38.1938,12,9,"grainsize","N",1.748,20.2682991638999,35.428986938497,15.732,1.34146652520729,1.34146652520729,0,0,"Seagrass",0.21,1.92,23.9,45.7,27.49,0.08
"76","SMAR24",3,0.874,38.1938,17,4,"grain size","Y",1.748,20.2682991638999,35.428986938497,6.992,1.15723037949612,1.15197479597285,0.0035902876864352,0.00415478998187365,"Seagrass",0,0.64,19.11,42.62,36.48,0.2
"77","SMAR25",3,0.656,21.5168,6,9,"grainsize","N",1.312,20.2682991638999,26.5920085030367,11.808,1.76052515907754,1.76052515907754,0,0,"Seagrass",0,0.85,29.62,52.29,16.74,0.15
"78","SMAR25",3,0.656,21.5168,11,4,"grainsize","Y",1.312,20.2682991638999,26.5920085030367,5.248,1.60634349959395,1.60503483575248,0.00029497212981583,0.000473826563291041,"Seagrass",0.56,0.9,28.12,47.53,22.06,0.32
"79","SMARA",3,0.58,16.82,11,4,"grainsize ","Y",1.16,20.2682991638999,23.5112270301239,4.64,1.97584328289119,1.97584328289119,0,0,"Control",0,0.05,7.9,27.71,62.63,1.03
"80","SMARA",3,0.58,16.82,6,9,"grainsize ","N",1.16,20.2682991638999,23.5112270301239,10.44,1.94994076409794,1.94994076409794,0,0,"Control",0,0.08,16.67,22.54,57.89,1.63
"81","SMARB",3,0.824,33.9488,16,4,"grainsize ","Y",1.648,20.2682991638999,33.402157022107,6.592,1.30549053976183,1.30549053976183,0,0,"Control",0.72,0.33,7.05,25.02,64.86,1.83
"82","SMARB",3,0.824,33.9488,6,14,"grainsize ","N",1.648,20.2682991638999,33.402157022107,23.072,1.36777693637457,1.36777693637457,0,0,"Control",0,0.26,18.87,30,49.12,1.53
"83","SMARB",3,0.824,33.9488,11,9,"grainsize ","N",1.648,20.2682991638999,33.402157022107,14.832,1.32188768440245,1.32188768440245,0,0,"Control",0,0.07,12.8,34.5,51.06,1.36
"84","SMARC",3,0.907738095,27.6860118975,6,9,"grainsize","N",1.81547619,20.2682991638999,36.7966145438572,16.33928571,1.33911504117506,1.33911504117506,0,0,"Control",0.22,1.04,36.09,44.78,17.1,0.4
"85","SMARC",3,0.907738095,27.6860118975,11,4,"grain size","Y",1.81547619,20.2682991638999,36.7966145438572,7.26190476,1.29317874999845,1.29317874999845,0,0,"Control",0.51,0.63,37.02,50.78,10.43,0.19
"86","STCH01",3,0.64,20.48,7,9,"grainsize","N",1.28,20.2682991638999,25.9434229297919,11.52,1.89312721505227,1.89312721505227,0,0,"Seagrass",0,0.05,8.45,34.58,55.71,0.91
"87","STCH01",3,0.64,20.48,12,4,"grain size","Y",1.28,20.2682991638999,25.9434229297919,5.12,1.64955488394157,1.64955488394157,0,0,"Seagrass",0.07,1.02,11.74,28.52,57.32,0.95
"88","STCH01",3,0.64,20.48,2,14,"grainsize","N",1.28,20.2682991638999,25.9434229297919,17.92,1.80221014499628,1.80221014499628,0,0,"Seagrass",0,0.32,12.72,35.76,50.08,0.65
"89","STCH02",3,0.57,16.245,6,9,"grainsize","N",1.14,20.2682991638999,23.1058610468459,10.26,1.06176956358651,1.06176956358651,0,0,"Seagrass",0.63,3.59,27.85,26.33,38.92,1.93
"90","STCH02",3,0.57,16.245,11,4,"grainsize","Y",1.14,20.2682991638999,23.1058610468459,4.56,1.30394188465497,1.2885085710348,0.0124034558411083,0.0161733855856894,"Seagrass",2.67,1.92,11.08,22.38,59.01,1.38
"91","STCH04",3,0.88,38.72,5,14,"grainsize","N",1.76,20.2682991638999,35.6722065284638,24.64,1.71515041973028,1.71515041973028,0,0,"Seagrass",0,0.52,8.13,32.23,58.11,0.65
"92","STCH04",3,0.88,38.72,10,9,"grainsize","N",1.76,20.2682991638999,35.6722065284638,15.84,1.45696061606196,1.45696061606196,0,0,"Seagrass",0,1.08,8.92,26.8,62.18,0.65
"93","STCH04",3,0.88,38.72,15,4,"grain size","Y",1.76,20.2682991638999,35.6722065284638,7.04,1.69946594000645,1.69946594000645,0,0,"Seagrass",0,0.47,6.5,24.22,67.99,0.44
"94","STCH05",3,0.94,44.18,15,9,"grainsize ","N",1.88,20.2682991638999,38.1044024281318,16.92,1.28504049085545,1.28504049085545,0,0,"Seagrass",0.19,0.31,6,39.12,53.78,0.36
"95","STCH05",3,0.94,44.18,20,4,"grainsize ","Y",1.88,20.2682991638999,38.1044024281318,7.52,0.915382417183601,0.915133102159756,0.000272361604467877,0.000249315023845809,"Seagrass",0,0.46,4.77,32.1,61.88,0.52
"96","STCH05",3,0.94,44.18,5,19,"grainsize ","N",1.88,20.2682991638999,38.1044024281318,35.72,1.09229373373592,1.09229373373592,0,0,"Seagrass",0,0.16,5.54,46.54,47.12,0.34
"97","STCH05",3,0.94,44.18,10,14,"grainsize ","N",1.88,20.2682991638999,38.1044024281318,26.32,1.45231512564395,1.45231512564395,0,0,"Seagrass",0,0.7,9.2,35.29,53.83,0.63
"98","STCH05",3,0.94,44.18,15,9,"grainsize ","N",1.88,20.2682991638999,38.1044024281318,16.92,1.28504049085545,1.28504049085545,0,0,"Seagrass",0.19,0.31,6,39.12,53.78,0.36
"99","STCH05",3,0.94,44.18,20,4,"grainsize ","Y",1.88,20.2682991638999,38.1044024281318,7.52,0.915382417183601,0.915133102159756,0.000272361604467877,0.000249315023845809,"Seagrass",0,0.46,4.77,32.1,61.88,0.52
"100","STCH05",3,0.94,44.18,5,19,"grainsize ","N",1.88,20.2682991638999,38.1044024281318,35.72,1.09229373373592,1.09229373373592,0,0,"Seagrass",0,0.16,5.54,46.54,47.12,0.34
"101","STCH05",3,0.94,44.18,10,14,"grainsize ","N",1.88,20.2682991638999,38.1044024281318,26.32,1.45231512564395,1.45231512564395,0,0,"Seagrass",0,0.7,9.2,35.29,53.83,0.63
"102","STCH12",3,0.837920489,22.9590213986,5,9,"grainsize","N",1.675840978,20.2682991638999,33.9664462932266,15.082568802,1.06919633824755,1.06919633824755,0,0,"Seagrass",0.93,2.04,15.89,49.15,31.61,0.24
"103","STCH12",3,0.837920489,22.9590213986,10,4,"grain size","Y",1.675840978,20.2682991638999,33.9664462932266,6.703363912,0.817963108655862,0.803752025287501,0.0140012165581482,0.0114524786208669,"Seagrass",0.32,2.67,15.84,45.34,33.66,0.23
"104","STCH20",3,0.901639344,24.79508196,9,4,"grain size","Y",1.803278688,20.2682991638999,36.5493919242689,7.213114752,0.933386253612272,0.933238508336203,0.000158289535009834,0.000147745276068858,"Seagrass",0.68,0.85,10.65,25.2,60.6,1.44
"105","STCH20",3,0.901639344,24.79508196,4,9,"grain size","N",1.803278688,20.2682991638999,36.5493919242689,16.229508192,0.754598053427168,0.754598053427168,0,0,"Seagrass",0.09,1.14,13,27.2,55.79,1.8
"106","STCH21",3,0.683333333,19.6116666571,5,9,"grainsize","N",1.366666666,20.2682991638999,27.7000088438177,12.299999994,1.31289488768942,1.31289488768942,0,0,"Seagrass",0.25,0.1,10.2,32.78,55.06,1.12
"107","STCH21",3,0.683333333,19.6116666571,10,4,"grain size","Y",1.366666666,20.2682991638999,27.7000088438177,5.466666664,0.981577303938963,0.976339038463377,0.00480328948094315,0.00471479993874256,"Seagrass",3.02,3.32,20.81,31.36,39.45,0.99
"108","STCHA",3,0.636363636,6.681818178,2,4,"grain size","Y",1.272727272,20.2682991638999,25.7960171029502,5.090909088,1.94665710600172,1.94665710600172,0,0,"Control",2.08,6.62,38.35,37.78,14.78,0.11
"109","STCHB",3,0.88,38.72,19,4,"grain size","Y",1.76,20.2682991638999,35.6722065284638,7.04,1.28860545711747,1.28860545711747,0,0,"Control",0.19,0.86,10.96,29.56,56.93,1.08
"110","STCHB",3,0.88,38.72,14,9,"grainsize","N",1.76,20.2682991638999,35.6722065284638,15.84,1.11885705663184,1.11885705663184,0,0,"Control",0.47,0.55,13.72,33.32,50.58,0.87
"111","STCHB",3,0.88,38.72,4,19,"grainsize","N",1.76,20.2682991638999,35.6722065284638,33.44,1.23533148881154,1.23533148881154,0,0,"Control",0,0.63,12.73,31.06,51.83,3.05
"112","STCHB",3,0.88,38.72,9,14,"grainsize","N",1.76,20.2682991638999,35.6722065284638,24.64,1.36415166696153,1.36415166696153,0,0,"Control",0.17,0.35,9.9,32.78,54.64,1.29
"113","STCHC",3,0.75,16.875,3,9,"grainsize","N",1.5,20.2682991638999,30.4024487458499,13.5,1.17115895162427,1.17115895162427,0,0,"Control",0,0.26,7.46,23.52,66.7,1.31
"114","STCHC",3,0.75,16.875,8,4,"grain size","Y",1.5,20.2682991638999,30.4024487458499,6,1.16487327373044,1.16487327373044,0,0,"Control",0.38,2.73,12.34,22.04,59.34,2.2
"115","SJB02",2,0.84,35.28,4,19,"grainsize","N",1.68,20.2682991638999,34.0507425953518,31.92,1.21691325479804,1.21691325479804,0,0,"Seagrass",1.29,1.53,11.43,60.97,24.19,0.1
"116","SJB02",2,0.84,35.28,9,14,"grainsize","N",1.68,20.2682991638999,34.0507425953518,23.52,1.03591279694485,1.03591279694485,0,0,"Seagrass",0.44,0.26,5.49,46.84,46.27,0.18
"117","SJB02",2,0.84,35.28,14,9,"grainsize","N",1.68,20.2682991638999,34.0507425953518,15.12,1.10173514997353,1.10173514997353,0,0,"Seagrass",0.85,0.32,6.92,44.53,46.52,0.26
"118","SJB02",2,0.84,35.28,19,4,"grainsize","Y",1.68,20.2682991638999,34.0507425953518,6.72,1.05060557489526,1.04913424134476,0.00197071049005001,0.0020704394273511,"Seagrass",2.15,1.85,10.05,44.53,40.64,0.13
"119","SJB06",2,0.85952381,31.028809541,10,9,"grainsize","N",1.71904762,20.2682991638999,34.8421714391501,15.47142858,1.53923816412139,1.53923816412139,0,0,"Seagrass",0,0.76,3.6,62.24,33.44,0
"120","SJB06",2,0.85952381,31.028809541,5,14,"grainsize","N",1.71904762,20.2682991638999,34.8421714391501,24.06666668,1.42314034837346,1.42314034837346,0,0,"Seagrass",3.6,1.41,2.94,73.14,18.86,0.02
"121","SJB06",2,0.85952381,31.028809541,15,4,"grain size","Y",1.71904762,20.2682991638999,34.8421714391501,6.87619048,1.50955287307096,1.50638716911383,0.00166172016556361,0.00250845445016649,"Seagrass",0,0.58,2.08,76.66,20.45,0
