"","Site","Quadrat","Compaction_Ratio","Core_Length_Corrected_cm","Bagged_Slice_Number","Slice_Number","Analysis","Rhyzome_Removed","Slice_Height_Corrected_cm","Slice_Volume","Sample_Density_g_per_ml","Sediment_Density_g_per_ml","Rhizome_Density_g_per_ml","Factor","Percent_Shell","Percent_Gravel","Percent_Coarse","Percent_Medium","Percent_Fine","Percent_Silt","Percent_Sands"
"25","STCH20",2,0.862068966,28.99999998376,4,NA,"grainsize ","",2.3199999987008,47.0224540339152,0.726710264320817,0.726710264320817,0,"Seagrass",0,0.48,6.2,19.72,70.71,2.44,96.63
"26","STCH20",2,0.862068966,28.99999998376,9,NA,"grainsize ","",2.3199999987008,47.0224540339152,0.701543564191843,0.698208987057972,0.0036174207300477,"Seagrass",0.52,2.8,13.92,20.63,59,2.13,93.55
"27","SJB02",3,0.603333333,60.0000000331492,5,14,"grainsize ","",3.31491712890327,67.1877320721476,0.674197485209923,0.674197485209923,0,"Seagrass",0.1,0.22,5.06,53.84,40.14,0.1,99.04
"28","SJB02",3,0.603333333,60.0000000331492,10,9,"grainsize ","",3.31491712890327,67.1877320721476,0.869480159521817,0.869480159521817,0,"Seagrass",0.97,0.46,4.39,54.47,39.03,0.18,97.89
"29","SJB02",3,0.603333333,60.0000000331492,15,4,"grainsize ","",3.31491712890327,67.1877320721476,0.66459751836914,0.662047945780263,0.00244092180137727,"Seagrass",3.07,0.69,4.91,48.9,41.16,0.28,94.97
"30","SJB06",3,0.902777778,35.9999999911385,14,4,"grain size","Y",2.21538461483929,44.9020781366639,1.12032231218547,1.11571673470261,0.00460557748286357,"Seagrass",0,0.11,1.85,14.64,82.46,0.17,98.95
"31","SJB06",3,0.902777778,35.9999999911385,9,9,"grainsize","N",2.21538461483929,44.9020781366639,1.19764390049666,1.19764390049666,0,"Seagrass",0,0.12,1.87,22.85,75.16,0.01,99.88
"32","SJB06",3,0.902777778,35.9999999911385,4,14,"grainsize","N",2.21538461483929,44.9020781366639,0.99239727534158,0.99239727534158,0,"Seagrass",0,0.46,2.99,17.75,78.68,0.02,99.42
"33","SJB07",3,0.630952381,41.9999999968302,10,4,"grain size","Y",3.16981132051549,64.2466841373245,0.724860755466521,0.723581312004127,0.00121562693933067,"Seagrass",1.04,3.02,10.5,62.92,22.16,0.03,95.58
"34","SJB07",3,0.630952381,41.9999999968302,5,9,"grainsize","N",3.16981132051549,64.2466841373245,0.840410687726561,0.840410687726561,0,"Seagrass",0.92,1.35,3.81,72.18,21.63,0.02,97.62
"35","SJB10",3,0.738,50,17,4,"grainsize ","",2.710027100271,54.9276400105689,0.811527675163598,0.807841006667354,0.00379590311835501,"Seagrass",0.33,2.54,9.62,40.05,46.15,0.21,95.82
"36","SJB10",3,0.738,50,12,9,"grainsize ","",2.710027100271,54.9276400105689,0.729856589365322,0.729856589365322,0,"Seagrass",1.91,2.49,12.33,53.35,29.14,0.12,94.82
"37","SJB10",3,0.738,50,7,14,"grainsize ","",2.710027100271,54.9276400105689,0.819110378515133,0.819110378515133,0,"Seagrass",2.99,1.93,9.28,45.48,39.79,0.09,94.55
"38","SJB10",3,0.738,50,2,19,"grainsize ","",2.710027100271,54.9276400105689,0.986246632653005,0.986246632653005,0,"Seagrass",0.38,1.24,13.35,36.72,43.04,0.14,93.11
"39","SJB13",3,0.793333333,45.0000000189076,5,14,"grain size","N",2.52100840442059,51.0965525355025,1.07340118419714,1.07340118419714,0,"Seagrass",0,0.28,2.49,32.78,64.5,0.04,99.77
"40","SJB13",3,0.793333333,45.0000000189076,10,9,"grain size","N",2.52100840442059,51.0965525355025,0.880685638600245,0.882546820916487,0,"Seagrass",0,0.2,1.77,31.65,66.42,0,99.84
"41","SJB13",3,0.793333333,45.0000000189076,15,4,"grain size","Y",2.52100840442059,51.0965525355025,1.02499283026208,1.0218360615175,0.00369300844453036,"Seagrass",0,0.08,2.76,44.73,52.11,0,99.6
"42","SJB14",3,0.677083333,48.0000000236308,14,4,"grain size","Y",2.95384615530035,59.8694375597631,0.762186882989327,0.748679156293336,0.0132672033073154,"Seagrass",0.12,0.8,9.9,21.78,71.98,0.08,103.66
"43","SJB14",3,0.677083333,48.0000000236308,9,9,"grainsize","N",2.95384615530035,59.8694375597631,0.854182068253963,0.854182068253963,0,"Seagrass",0,1.18,2.62,22.26,73.75,0.03,98.63
"44","SJB14",3,0.677083333,48.0000000236308,4,14,"grainsize","N",2.95384615530035,59.8694375597631,0.807538904165234,0.807538904165234,0,"Seagrass",1.41,0.72,3.03,39.09,55.63,0.01,97.75
"45","SJB16",3,0.719602978,40.2999999813786,10,4,"grain size","Y",2.77931034354335,56.3318935122581,1.08255015405669,1.07312210243466,0.00948663300096085,"Seagrass",0.54,1.22,58.08,57.95,32,0.02,148.03
"46","SJB16",3,0.719602978,40.2999999813786,5,9,"grainsize","N",2.77931034354335,56.3318935122581,0.707529918044154,0.707529918044154,0,"Seagrass",0.44,1.21,5.98,45.42,46.76,0.03,98.16
"47","SJB17",3,0.696,50,14,4,"grainsize","Y",2.8735632183908,58.2422389767239,0.635562791718798,0.630834264710932,0.00427353076346312,"Seagrass",0.09,0.51,4.69,19.36,73.98,0.24,98.03
"48","SJB17",3,0.696,50,9,9,"grainsize","N",2.8735632183908,58.2422389767239,0.668550877921456,0.668550877921456,0,"Seagrass",3.53,1.99,8.42,22.65,62.74,0.14,93.81
"49","SJB17",3,0.696,50,4,14,"grainsize","N",2.8735632183908,58.2422389767239,0.754716864809522,0.754716864809522,0,"Seagrass",0,0.82,8.37,21.7,67.66,0.86,97.73
"50","SJB24",3,0.940298507,33.5000000164841,2,14,"grainsize","N",2.12698412803074,43.1103506237938,1.27970891448864,1.27970891448864,0,"Seagrass",0.07,0.24,1.94,43.01,54.75,0.01,99.7
"51","SJB24",3,0.940298507,33.5000000164841,7,9,"grainsize","N",2.12698412803074,43.1103506237938,1.01955793362861,1.01955793362861,0,"Seagrass",0,0.2,2.2,55.42,41.96,0.02,99.58
"52","SJB24",3,0.940298507,33.5000000164841,12,4,"grainsize","Y",2.12698412803074,43.1103506237938,0.900679290197409,0.873098906767547,0.0267708330667814,"Seagrass",0.14,0.85,3.48,55.45,36.83,0.01,95.76
"53","SJBA",3,0.85,36,11,4,"grain size","Y",2.35294117647059,47.6901156797645,1.23719976684886,1.23719976684886,0,"Control",0,0.06,1.89,37.87,60.13,0.01,99.89
"54","SJBA",3,0.85,36,6,9,"grainsize","N",2.35294117647059,47.6901156797645,1.20155925778796,1.20155925778796,0,"Control",0,0.02,0.95,32.16,66.91,0,100.02
"55","SJBB",3,0.918918919,36.9999999967353,13,4,"grainsize ","",2.17647058804325,44.1133569998898,1.38576848731219,1.38576848731219,0,"Control",1.15,1.03,1.92,51.92,43.99,0,97.83
"56","SJBB",3,0.918918919,36.9999999967353,8,9,"grainsize ","",2.17647058804325,44.1133569998898,1.21652949695336,1.21652949695336,0,"Control",0,0.82,3.18,53.06,42.8,0.01,99.04
"57","SJBB",3,0.918918919,36.9999999967353,3,14,"grainsize ","",2.17647058804325,44.1133569998898,1.3223137835587,1.3223137835587,0,"Control",0,0.86,3.72,41.23,53.98,0,98.93
"58","SJBC",3,0.935162095,40.0999999898413,16,4,"grain size","Y",2.13866666612487,43.3471358008793,1.32646365065794,1.32646365065794,0,"Control",0,0.01,2.28,49.37,48.25,0,99.9
"59","SJBC",3,0.935162095,40.0999999898413,11,9,"grainsize","N",2.13866666612487,43.3471358008793,1.2015626646996,1.2015626646996,0,"Control",0,0.08,2.42,52.62,44.62,0,99.66
"60","SJBC",3,0.935162095,40.0999999898413,6,14,"grainsize","N",2.13866666612487,43.3471358008793,1.16060263430322,1.16060263430322,0,"Control",0,0,1.72,46.51,51.58,0,99.81
"61","SMAR03",3,0.822,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"62","SMAR04",3,0.854,50,3,19,"grain size","N",2.34192037470726,47.4667427725993,1.15691317314699,1.15691317314699,0,"Seagrass",0,0.79,40.88,40.14,17.25,0.53,98.27
"63","SMAR04",3,0.854,50,8,14,"grain size","N",2.34192037470726,47.4667427725993,1.05575181849066,1.05575181849066,0,"Seagrass",0.1,0.71,26.29,44.56,27.16,0.78,98.01
"64","SMAR04",3,0.854,50,13,9,"grain size","N",2.34192037470726,47.4667427725993,0.814098413812099,0.814098413812099,0,"Seagrass",0.1,0.25,20.19,46.02,31.85,0.96,98.06
"65","SMAR04",3,0.854,50,18,4,"grain size","Y",2.34192037470726,47.4667427725993,0.601863501291087,0.595258877049185,0.0067141746280508,"Seagrass",0.53,0.45,21.05,45.43,29.63,1.08,96.11
"66","SMAR14",3,0.53,50,4,NA,"grainsize ","",3.77358490566038,76.4841477883015,0.602974620671055,0.602833414940033,0.000141205731021453,"Seagrass",0,0.06,25.86,43.24,29.34,1.18,98.44
"67","SMAR14",3,0.53,50,9,NA,"grainsize ","",3.77358490566038,76.4841477883015,0.442517841653676,0.440291236469144,0.00222660518453273,"Seagrass",1.68,0.05,20.99,41.04,34.13,1.58,96.16
"68","SMAR23",3,0.987878788,32.9999999959509,3,NA,"grainsize ","",2.0245398770522,41.0339798973392,0.987878828751596,0.987523513472979,0.000355315278617306,"Seagrass",0,0.26,16.41,40.47,39.57,2.25,96.45
"69","SMAR23",3,0.987878788,32.9999999959509,8,NA,"grainsize ","",2.0245398770522,41.0339798973392,1.05745287463119,1.05715556006335,0.000297314567841641,"Seagrass",0.13,0.48,14.62,39.91,42.74,1.88,97.27
"70","SMAR23",3,0.987878788,32.9999999959509,13,NA,"grainsize ","",2.0245398770522,41.0339798973392,0.838207750894529,0.827889960588562,0.0103177903059667,"Seagrass",0.3,0.93,11.53,34.38,49.67,1.65,95.58
"71","SMAR24",3,0.874,50,17,4,"grain size","Y",2.2883295194508,46.3805472858121,0.883980513367978,0.879965899248559,0.00317374435219372,"Seagrass",0,0.64,19.11,42.62,36.48,0.2,98.21
"72","SMAR24",3,0.874,50,12,9,"grainsize","N",2.2883295194508,46.3805472858121,1.02471408340924,1.02471408340924,0,"Seagrass",0.21,1.92,23.9,45.7,27.49,0.08,97.09
"73","SMAR24",3,0.874,50,7,14,"grainsize","N",2.2883295194508,46.3805472858121,1.09269301389859,1.09269301389859,0,"Seagrass",0.31,1.51,29.96,47.41,20.18,0.16,97.55
"74","SMAR24",3,0.874,50,2,19,"grainsize","N",2.2883295194508,46.3805472858121,0.979718926557387,0.979718926557387,0,"Seagrass",0,1.71,35.31,42.97,19.28,0.12,97.56
"75","SMAR25",3,0.656,50,6,9,"grainsize","N",3.04878048780488,61.79359501189,0.757617354856793,0.757617354856793,0,"Seagrass",0,0.85,29.62,52.29,16.74,0.15,98.65
"76","SMAR25",3,0.656,50,11,4,"grainsize","Y",3.04878048780488,61.79359501189,0.691267436241262,0.690704271078379,0.000203904627940413,"Seagrass",0.56,0.9,28.12,47.53,22.06,0.32,97.71
"77","SMARA",3,0.58,50,6,NA,"grainsize ","",3.44827586206897,69.8906867720686,0.655960073042548,0.655960073042548,0,"Control",0,0.08,16.67,22.54,57.89,1.63,97.1
"78","SMARA",3,0.58,50,11,NA,"grainsize ","",3.44827586206897,69.8906867720686,0.664673680364595,0.664673680364595,0,"Control",0,0.05,7.9,27.71,62.63,1.03,98.24
"79","SMARB",3,0.824,50,6,NA,"grainsize ","",2.42718446601942,49.1949008832522,0.928687713151862,0.928687713151862,0,"Control",0,0.26,18.87,30,49.12,1.53,97.99
"80","SMARB",3,0.824,50,11,NA,"grainsize ","",2.42718446601942,49.1949008832522,0.897530012404835,0.897530012404835,0,"Control",0,0.07,12.8,34.5,51.06,1.36,98.36
"81","SMARB",3,0.824,50,16,NA,"grainsize ","",2.42718446601942,49.1949008832522,0.88639674472533,0.88639674472533,0,"Control",0.72,0.33,7.05,25.02,64.86,1.83,96.93
"82","SMARC",3,0.907738095,33.6000000088131,11,4,"grain size","Y",2.2032786891025,44.6567116121747,1.0655643526387,1.0655643526387,0,"Control",0.51,0.63,37.02,50.78,10.43,0.19,98.23
"83","SMARC",3,0.907738095,33.6000000088131,6,9,"grainsize","N",2.2032786891025,44.6567116121747,1.10341532596337,1.10341532596337,0,"Control",0.22,1.04,36.09,44.78,17.1,0.4,97.97
"84","STCH01",3,0.64,50,12,4,"grain size","Y",3.125,63.3384348871872,0.675657680462468,0.675657680462468,0,"Seagrass",0.07,1.02,11.74,28.52,57.32,0.95,97.58
"85","STCH01",3,0.64,50,7,9,"grainsize","N",3.125,63.3384348871872,0.775424907285408,0.775424907285408,0,"Seagrass",0,0.05,8.45,34.58,55.71,0.91,98.74
"86","STCH01",3,0.64,50,2,14,"grainsize","N",3.125,63.3384348871872,0.738185275390476,0.738185275390476,0,"Seagrass",0,0.32,12.72,35.76,50.08,0.65,98.56
"87","STCH02",3,0.57,50,11,4,"grainsize","Y",3.50877192982456,71.1168391715786,0.423650718324398,0.418636434729206,0.00525473297679049,"Seagrass",2.67,1.92,11.08,22.38,59.01,1.38,92.47
"88","STCH02",3,0.57,50,6,9,"grainsize","N",3.50877192982456,71.1168391715786,0.344968931209256,0.344968931209256,0,"Seagrass",0.63,3.59,27.85,26.33,38.92,1.93,93.1
"89","STCH04",3,0.88,50,15,4,"grain size","Y",2.27272727272727,46.0643162815907,1.31606642394099,1.31606642394099,0,"Seagrass",0,0.47,6.5,24.22,67.99,0.44,98.71
"90","STCH04",3,0.88,50,10,9,"grainsize","N",2.27272727272727,46.0643162815907,1.12827030107838,1.12827030107838,0,"Seagrass",0,1.08,8.92,26.8,62.18,0.65,97.9
"91","STCH04",3,0.88,50,5,14,"grainsize","N",2.27272727272727,46.0643162815907,1.32821248503913,1.32821248503913,0,"Seagrass",0,0.52,8.13,32.23,58.11,0.65,98.47
"92","STCH05",3,0.94,50,5,19,"grainsize ","",2.12765957446809,43.1240407742551,0.965150743129055,0.965150743129055,0,"Seagrass",0,0.16,5.54,46.54,47.12,0.34,99.2
"93","STCH05",3,0.94,50,10,14,"grainsize ","",2.12765957446809,43.1240407742551,1.283265645019,1.283265645019,0,"Seagrass",0,0.7,9.2,35.29,53.83,0.63,98.32
"94","STCH05",3,0.94,50,15,9,"grainsize ","",2.12765957446809,43.1240407742551,1.13546177771987,1.13546177771987,0,"Seagrass",0.19,0.31,6,39.12,53.78,0.36,98.9
"95","STCH05",3,0.94,50,20,4,"grainsize ","",2.12765957446809,43.1240407742551,0.80883190382343,0.80861160906836,0.000220294755070157,"Seagrass",0,0.46,4.77,32.1,61.88,0.52,98.75
"96","STCH05",3,0.94,50,5,19,"grainsize ","",2.12765957446809,43.1240407742551,0.965150743129055,0.965150743129055,0,"Seagrass",0,0.16,5.54,46.54,47.12,0.34,99.2
"97","STCH05",3,0.94,50,10,14,"grainsize ","",2.12765957446809,43.1240407742551,1.283265645019,1.283265645019,0,"Seagrass",0,0.7,9.2,35.29,53.83,0.63,98.32
"98","STCH05",3,0.94,50,15,9,"grainsize ","",2.12765957446809,43.1240407742551,1.13546177771987,1.13546177771987,0,"Seagrass",0.19,0.31,6,39.12,53.78,0.36,98.9
"99","STCH05",3,0.94,50,20,4,"grainsize ","",2.12765957446809,43.1240407742551,0.80883190382343,0.80861160906836,0.000220294755070157,"Seagrass",0,0.46,4.77,32.1,61.88,0.52,98.75
"100","STCH12",3,0.837920489,32.7000000115763,10,4,"grain size","Y",2.3868613147136,48.3776191893546,0.574300688325598,0.56432293398199,0.00804090830674029,"Seagrass",0.32,2.67,15.84,45.34,33.66,0.23,94.84
"101","STCH12",3,0.837920489,32.7000000115763,5,9,"grainsize","N",2.3868613147136,48.3776191893546,0.750694238545567,0.750694238545567,0,"Seagrass",0.93,2.04,15.89,49.15,31.61,0.24,96.65
"102","STCH20",3,0.901639344,30.5000000088727,4,9,"grain size","N",2.21818181882711,44.9587727039114,0.613453133643938,0.613453133643938,0,"Seagrass",0.09,1.14,13,27.2,55.79,1.8,95.99
"103","STCH20",3,0.901639344,30.5000000088727,9,4,"grain size","Y",2.21818181882711,44.9587727039114,0.758799627931836,0.758679517891565,0.000120110040270966,"Seagrass",0.68,0.85,10.65,25.2,60.6,1.44,96.45
"104","STCH21",3,0.683333333,42.0000000204878,10,4,"grain size","Y",2.9268292697204,59.3218512403518,0.458342068419892,0.455896089459928,0.00220154963591499,"Seagrass",3.02,3.32,20.81,31.36,39.45,0.99,91.62
"105","STCH21",3,0.683333333,42.0000000204878,5,9,"grainsize","N",2.9268292697204,59.3218512403518,0.613048973347992,0.613048973347992,0,"Seagrass",0.25,0.1,10.2,32.78,55.06,1.12,98.04
"106","STCHA",3,0.636363636,16.5000000094286,2,4,"grain size","Y",3.14285714465306,63.7003688372285,0.788315686653484,0.788315686653484,0,"Control",2.08,6.62,38.35,37.78,14.78,0.11,90.91
"107","STCHB",3,0.88,50,19,4,"grain size","Y",2.27272727272727,46.0643162815907,0.99789606599177,0.99789606599177,0,"Control",0.19,0.86,10.96,29.56,56.93,1.08,97.45
"108","STCHB",3,0.88,50,14,9,"grainsize","N",2.27272727272727,46.0643162815907,0.866442904655693,0.866442904655693,0,"Control",0.47,0.55,13.72,33.32,50.58,0.87,97.62
"109","STCHB",3,0.88,50,9,14,"grainsize","N",2.27272727272727,46.0643162815907,1.05639905089501,1.05639905089501,0,"Control",0.17,0.35,9.9,32.78,54.64,1.29,97.32
"110","STCHB",3,0.88,50,4,19,"grainsize","N",2.27272727272727,46.0643162815907,0.956640704935657,0.956640704935657,0,"Control",0,0.63,12.73,31.06,51.83,3.05,95.62
"111","STCHC",3,0.75,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"112","SJB02",2,0.84,50,4,19,"grainsize","N",2.38095238095238,48.2578551521426,0.8586539925855,0.8586539925855,0,"Seagrass",1.29,1.53,11.43,60.97,24.19,0.1,96.59
"113","SJB02",2,0.84,50,9,14,"grainsize","N",2.38095238095238,48.2578551521426,0.730940069524285,0.730940069524285,0,"Seagrass",0.44,0.26,5.49,46.84,46.27,0.18,98.6
"114","SJB02",2,0.84,50,14,9,"grainsize","N",2.38095238095238,48.2578551521426,0.777384321821322,0.777384321821322,0,"Seagrass",0.85,0.32,6.92,44.53,46.52,0.26,97.97
"115","SJB02",2,0.84,50,19,4,"grainsize","Y",2.38095238095238,48.2578551521426,0.741307293646092,0.740269120692859,0.00146090205993894,"Seagrass",2.15,1.85,10.05,44.53,40.64,0.13,95.22
"116","SJB06",2,0.85952381,41.9999999767313,15,4,"grain size","Y",2.32686980480506,47.1616933192343,1.11522925277472,1.11289049026987,0.00185319893856218,"Seagrass",0,0.58,2.08,76.66,20.45,0,99.19
"117","SJB06",2,0.85952381,41.9999999767313,10,9,"grainsize","N",2.32686980480506,47.1616933192343,1.13716018712431,1.13716018712431,0,"Seagrass",0,0.76,3.6,62.24,33.44,0,99.28
"118","SJB06",2,0.85952381,41.9999999767313,5,14,"grainsize","N",2.32686980480506,47.1616933192343,1.05138930581564,1.05138930581564,0,"Seagrass",3.6,1.41,2.94,73.14,18.86,0.02,94.94
"119","SJB07",2,0.828947368,38.0000000193016,11,4,"grainsize ","",2.41269841392391,48.9012932456766,1.01847204223793,1.00533946521642,0.00949259148767073,"Seagrass",0.56,0.83,3.4,13.76,79.88,0.01,97.04
"120","SJB07",2,0.828947368,38.0000000193016,6,9,"grainsize ","",2.41269841392391,48.9012932456766,1.09133514592108,1.09133514592108,0,"Seagrass",0.05,0.7,2.43,29.83,66.58,0.02,98.84
"121","SJB10",2,0.922222222,36.0000000086747,13,4,"grain size","Y",2.16867469931775,43.9553475949529,0.987725097753183,0.987051687084867,0.000275279361034773,"Seagrass",0.86,0.54,5.43,63.13,29.56,0.14,98.12
"122","SJB10",2,0.922222222,36.0000000086747,8,9,"grainsize","N",2.16867469931775,43.9553475949529,0.995021138338626,0.995021138338626,0,"Seagrass",0,0.43,8.49,46.87,43.54,0.24,98.9
"123","SJB10",2,0.922222222,36.0000000086747,3,14,"grainsize","N",2.16867469931775,43.9553475949529,0.967720705839309,0.967720705839309,0,"Seagrass",2.9,3.51,11.18,46.08,35.83,0.15,93.09
"124","SJB13",2,0.941463415,40.9999999840674,6,14,"grainsize","N",2.12435233078069,43.0570085697911,1.50638426018073,1.50638426018073,0,"Seagrass",0,0.14,1.48,13.45,84.72,0.05,99.65
"125","SJB13",2,0.941463415,40.9999999840674,11,9,"grainsize","N",2.12435233078069,43.0570085697911,1.17596418520177,1.17596418520177,0,"Seagrass",0.05,0.08,1.27,18.16,80.12,0.04,99.55
"126","SJB13",2,0.941463415,40.9999999840674,16,4,"grainsize","Y",2.12435233078069,43.0570085697911,1.41614111210643,1.41304289408267,0.00309821802375731,"Seagrass",0.05,0.06,1.16,10.94,87.36,0.1,99.46
"127","SJB14",2,0.78,50,15,4,"grainsize","Y",2.56410256410256,51.9699978561536,0.977862268546979,0.967363903672881,0.0104983648740982,"Seagrass",1.07,1.25,4.88,67.56,25.22,0.02,97.66
"128","SJB14",2,0.78,50,10,9,"grainsize","N",2.56410256410256,51.9699978561536,1.03619977335873,1.03619977335873,0,"Seagrass",1.14,1,5.26,65.93,26.44,0.02,97.63
"129","SJB14",2,0.78,50,5,15,"grainsize","N",2.56410256410256,51.9699978561536,0.94331156479344,0.94331156479344,0,"Seagrass",0,0.62,4.9,78.75,15.66,0.01,99.31
"130","SJB16",2,0.841191067,40.2999999998811,12,4,"grain size","Y",2.37758112093694,48.1895254455904,1.01589089220798,1.01163893085112,0.00478319713399652,"Seagrass",0.47,0.82,7.32,48.45,42.48,0.02,98.25
"131","SJB16",2,0.841191067,40.2999999998811,7,9,"grainsize","N",2.37758112093694,48.1895254455904,1.0451441373264,1.0451441373264,0,"Seagrass",0.18,0.56,5.94,44.92,48.32,0.02,99.18
"132","SJB16",2,0.841191067,40.2999999998811,2,14,"grainsize","N",2.37758112093694,48.1895254455904,0.990744348663612,0.990744348663612,0,"Seagrass",0,0.26,6.54,45.48,47.71,0.02,99.73
"133","SJB17",2,0.676,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"134","SJB24",2,0.826666667,37.499999984879,2,14,"grainsize","N",2.41935483773413,49.0362076348239,1.10548924182103,1.10548924182103,0,"Seagrass",0,0.15,2.77,44.48,52.57,0.04,99.82
"135","SJB24",2,0.826666667,37.499999984879,7,9,"grainsize","N",2.41935483773413,49.0362076348239,1.1077386001079,1.1077386001079,0,"Seagrass",0,0.41,3.06,44.75,51.56,0.04,99.37
