"","Reference","Florida.Stone.Crab","Spiny.Lobster","Stage"
"148","CHM1994040501",0,0,"Juvenile"
"149","CHM1994040632",0,0,"Juvenile"
"150","CHM1994040640",0,0,"Juvenile"
"151","CHM1994040641",0,0,"Juvenile"
"152","CHM1994042501",0,0,"Juvenile"
"153","CHM1994042506",0,0,"Juvenile"
"154","CHM1994042514",0,0,"Juvenile"
"155","CHM1994050206",0,0,"Juvenile"
"156","CHM1994050207",0,0,"Juvenile"
"157","CHM1994051110",0,0,"Juvenile"
"158","CHM1994051113",0,0,"Juvenile"
"159","CHM1994051114",0,0,"Juvenile"
"160","CHM1994051115",0,0,"Juvenile"
"161","CHM1994092601",0.0586592834181938,0,"Juvenile"
"162","CHM1994092602",0,0,"Juvenile"
"163","CHM1994092603",0,0,"Juvenile"
"164","CHM1994092604",0.0710086062430767,0,"Juvenile"
"165","CHM1994092605",0,0,"Juvenile"
"166","CHM1994092613",0,0,"Juvenile"
"167","CHM1994092614",0.0674581759309228,0,"Juvenile"
"168","CHM1994092615",0,0,"Juvenile"
"169","CHM1994092715",0,0,"Juvenile"
"170","CHM1994101702",0,0,"Juvenile"
"171","CHM1994101714",0,0,"Juvenile"
"172","CHM1994101715",0,0,"Juvenile"
"173","CHM1994101822",0,0,"Juvenile"
"174","CHM1994103105",0,0,"Juvenile"
"175","CHM1994103114",0,0,"Juvenile"
"176","CHM1994103115",0,0,"Juvenile"
"177","CHM1994111808",0,0,"Juvenile"
"178","CHM1995040401",0,0,"Juvenile"
"179","CHM1995040412",0,0,"Juvenile"
"180","CHM1995041102",0,0,"Juvenile"
"181","CHM1995041802",0,0,"Juvenile"
"182","CHM1995092506",0.0674581759309228,0,"Juvenile"
"183","CHM1995092507",0,0,"Juvenile"
"184","CHM1995100906",0,0,"Juvenile"
"185","CHM1995101611",0,0,"Juvenile"
"186","CHM1995102001",0,0,"Juvenile"
"187","CHM1995102002",0,0,"Juvenile"
"188","CHM1995102003",0,0,"Juvenile"
"189","CHM1995102007",0,0,"Juvenile"
"190","CHM1995103008",0,0,"Juvenile"
"191","CHM1995103010",0,0,"Juvenile"
"192","CHM1995111302",0,0,"Juvenile"
"193","CHM1995112001",0.049969019208091,0,"Juvenile"
"194","CHM1995112006",0,0,"Juvenile"
"195","CHM1995112011",0,0,"Juvenile"
"196","CHM1995112013",0,0,"Juvenile"
"197","CHM1995112014",0,0,"Juvenile"
"198","CHM1996012901",0,0,"Juvenile"
"199","CHM1996013001",0,0,"Juvenile"
"200","CHM1996013003",0,0,"Juvenile"
"201","CHM1996021904",0.714285714285714,0,"Juvenile"
"202","CHM1996031303",0,0,"Juvenile"
"203","CHM1996032202",0,0,"Juvenile"
"204","CHM1996042609",0,0,"Juvenile"
"205","CHM1996051302",0,0,"Juvenile"
"206","CHM1996071905",0,0,"Juvenile"
"207","CHM1996072502",0,0,"Juvenile"
"208","CHM1996111301",0,0,"Juvenile"
"209","CHM1996121211",0,0,"Juvenile"
"210","CHM1997011408",0,0,"Juvenile"
"211","CHM1997021303",0,0,"Juvenile"
"212","CHM1997031002",0,0,"Juvenile"
"213","CHM1997031304",0,0,"Juvenile"
"214","CHM1997042117",0,0,"Juvenile"
"215","CHM1997042201",0,0,"Juvenile"
"216","CHM1997042306",0,0,"Juvenile"
"217","CHM1997051307",0,0,"Juvenile"
"218","CHM1997052004",0,0,"Juvenile"
"219","CHM1997052006",0,0,"Juvenile"
"220","CHM1997060601",0,0,"Juvenile"
"221","CHM1997060603",0,0,"Juvenile"
"222","CHM1997060608",0,0,"Juvenile"
"223","CHM1997061009",0,0,"Juvenile"
"224","CHM1997071805",0,0,"Juvenile"
"225","CHM1997071809",0,0,"Juvenile"
"226","CHM1997072107",0,0,"Juvenile"
"227","CHM1997072108",0.0674581759309228,0,"Juvenile"
"228","CHM1997072109",0.0749535288121365,0,"Juvenile"
"229","CHM1997081502",0.0539665407447383,0,"Juvenile"
"230","CHM1997081503",0.0539665407447383,0,"Juvenile"
"231","CHM1997081906",0,0,"Juvenile"
"232","CHM1997081907",0.0674581759309228,0,"Juvenile"
"233","CHM1997082102",0,0,"Juvenile"
"234","CHM1997082103",0,0,"Juvenile"
"235","CHM1997082104",0,0,"Juvenile"
"236","CHM1997090908",0,0,"Juvenile"
"237","CHM1997091507",0,0,"Juvenile"
"238","CHM1997091510",0,0,"Juvenile"
"239","CHM1997101703",0,0,"Juvenile"
"240","CHM1997111701",0,0,"Juvenile"
"241","CHM1997111705",0,0,"Juvenile"
"242","CHM1997111802",0,0,"Juvenile"
"243","CHM1997111804",0,0,"Juvenile"
"244","CHM1997112106",0,0,"Juvenile"
"245","CHM1997120404",0,0,"Juvenile"
"246","CHM1997121701",0.968944708825982,0,"Juvenile"
"247","CHM1997121705",0.269832703723691,0,"Juvenile"
"248","CHM1997121807",0.049969019208091,0,"Juvenile"
"249","CHM1997121808",0.0999380384161819,0,"Juvenile"
"250","CHM2006051401",0,0,"Juvenile"
"251","CHM2009071203",0,0,"Juvenile"
"252","CHM2017081702",0,0,"Juvenile"
"253","FBM2006081011",0,0,"Juvenile"
"254","FBM2006081014",0,0,"Juvenile"
"255","FBM2007060801",0,0,"Juvenile"
"256","FBM2007060804",0,0,"Juvenile"
"257","FBM2007060807",0,0,"Juvenile"
"258","FBM2007080701",0,0,"Juvenile"
"259","FBM2007100205",0,0,"Juvenile"
"260","FBM2007100210",0,0,"Juvenile"
"261","FBM2008040405",0,0,"Juvenile"
"262","FBM2008060509",0,0,"Juvenile"
"263","FBM2008060808",0,0,"Juvenile"
"264","FBM2008060809",0,0,"Juvenile"
"265","FBM2008100412",0,0,"Juvenile"
"266","FBM2008100604",0,0,"Juvenile"
"267","FBM2009040806",0,0,"Juvenile"
"268","FBM2009060403",0,0,"Juvenile"
"269","FBM2009060808",0,0,"Juvenile"
"270","FBM2009080208",0,0,"Juvenile"
"271","FWM1993051011",0,0,"Juvenile"
"272","FWM1993092703",0,0,"Juvenile"
"273","FWM1993102605",0,0,"Juvenile"
"274","FWM1994041109",0,0,"Juvenile"
"275","FWM1994041110",0,0,"Juvenile"
"276","IRM1990110505",0,0,"Juvenile"
"277","IRM1991040110",0,0,"Juvenile"
"278","IRM1991040112",0,0,"Juvenile"
"279","IRM1991050615",0,0,"Juvenile"
"280","IRM1991053028",0,0,"Juvenile"
"281","IRM1992033013",0,0,"Juvenile"
"282","IRM1992040605",0,0,"Juvenile"
"283","IRM1992052612",0,0,"Juvenile"
"284","IRM1992052914",0,0,"Juvenile"
"285","IRM1992092810",0,0,"Juvenile"
"286","IRM1992100701",0,0,"Juvenile"
"287","IRM1992102601",0,0,"Juvenile"
"288","IRM1992102611",0,0,"Juvenile"
"289","IRM1992102612",0,0,"Juvenile"
"290","IRM1992102615",0,0,"Juvenile"
"291","IRM1992110304",0,0,"Juvenile"
"292","IRM1992110306",0,0,"Juvenile"
"293","IRM1992110308",0,0,"Juvenile"
"294","IRM1992110315",0,0,"Juvenile"
"295","IRM1992110902",0,0,"Juvenile"
"296","IRM1993033004",0,0,"Juvenile"
"297","IRM1993042605",0,0,"Juvenile"
"298","IRM1993042908",0,0,"Juvenile"
"299","IRM1993092107",0,0,"Juvenile"
"300","IRM1993110107",0,0,"Juvenile"
"301","IRM1993111602",0,0,"Juvenile"
"302","IRM1993111603",0,0,"Juvenile"
"303","IRM1993111604",0,0,"Juvenile"
"304","IRM1993112435",0,0,"Juvenile"
"305","IRM1994032810",0,0,"Juvenile"
"306","IRM1994040613",0,0,"Juvenile"
"307","IRM1994040615",0,0,"Juvenile"
"308","IRM1994040702",0,0,"Juvenile"
"309","IRM1994050311",0,0,"Juvenile"
"310","IRM1994051116",0,0,"Juvenile"
"311","IRM1994051815",0,0,"Juvenile"
"312","IRM1994101003",0,0,"Juvenile"
"313","IRM1994101810",0,0,"Juvenile"
"314","IRM1994101814",0,0,"Juvenile"
"315","IRM1994102409",0,0,"Juvenile"
"316","IRM1994102411",0,0,"Juvenile"
"317","IRM1994102415",0,0,"Juvenile"
"318","IRM1994110910",0,0,"Juvenile"
"319","IRM1994112110",0,0,"Juvenile"
"320","IRM1995032735",0,0,"Juvenile"
"321","IRM1995042639",0,0,"Juvenile"
"322","IRM1995050203",0,0,"Juvenile"
"323","IRM1995050204",0,0,"Juvenile"
"324","IRM1995100202",0,0,"Juvenile"
"325","IRM1995100205",0,0,"Juvenile"
"326","IRM1995100206",0,0,"Juvenile"
"327","IRM1995100308",0,0,"Juvenile"
"328","IRM1995101104",0,0,"Juvenile"
"329","IRM1995110729",0,0,"Juvenile"
"330","IRM1996011904",0,0,"Juvenile"
"331","IRM1996042317",0,0,"Juvenile"
"332","IRM1996042515",0,0,"Juvenile"
"333","IRM1996051318",0,0,"Juvenile"
"334","IRM1996091718",0,0,"Juvenile"
"335","IRM1996091724",0,0,"Juvenile"
"336","IRM1996091923",0,0,"Juvenile"
"337","IRM1996111411",0,0,"Juvenile"
"338","IRM1997021324",0,0,"Juvenile"
"339","IRM1997031214",0,0,"Juvenile"
"340","IRM1997050903",0,0,"Juvenile"
"341","IRM1997052001",0,0,"Juvenile"
"342","IRM1997071102",0,0,"Juvenile"
"343","IRM1997091101",0,0,"Juvenile"
"344","IRM1998090106",0,0,"Juvenile"
"345","IRM1999070703",0,0,"Juvenile"
"346","IRM1999100406",0,0,"Juvenile"
"347","IRM2000040605",0,0,"Juvenile"
"348","IRM2000080802",0,0,"Juvenile"
"349","IRM2001060801",0,0,"Juvenile"
"350","IRM2002020403",0,0,"Juvenile"
"351","IRM2002090303",0,0,"Juvenile"
"352","IRM2003020604",0,0,"Juvenile"
"353","IRM2003060704",0,0,"Juvenile"
"354","IRM2003071204",0,0,"Juvenile"
"355","IRM2003071501",0,0,"Juvenile"
"356","IRM2003080401",0,0,"Juvenile"
"357","IRM2003120703",0,0,"Juvenile"
"358","IRM2004010601",0,0,"Juvenile"
"359","IRM2004020107",0,0,"Juvenile"
"360","IRM2004070407",0,0,"Juvenile"
"361","IRM2005030706",0,0,"Juvenile"
"362","IRM2005070605",0,0,"Juvenile"
"363","IRM2005070805",0,0,"Juvenile"
"364","IRM2005090601",0,0,"Juvenile"
"365","IRM2005111208",0,0,"Juvenile"
"366","IRM2005111210",0,0,"Juvenile"
"367","IRM2005120203",0,0,"Juvenile"
"368","IRM2006030502",0,0,"Juvenile"
"369","IRM2006030707",0,0,"Juvenile"
"370","IRM2006050502",0,0,"Juvenile"
"371","IRM2008060707",0,0,"Juvenile"
"372","IRM2009060408",0,0,"Juvenile"
"373","IRM2013010801",0,0,"Juvenile"
"374","IRM2013061107",0,0,"Juvenile"
"375","IRM2014070305",0,0,"Juvenile"
"376","IRM2016090407",0,0,"Juvenile"
"377","IRM2017050707",0,0.192737645516922,"Juvenile"
"378","IRM2017071103",0,0,"Juvenile"
"379","JXM2010041302",0,0,"Juvenile"
"380","JXM2010070204",0,0,"Juvenile"
"381","JXM2014070307",0,0,"Juvenile"
"382","LBM2010041602",0,0,"Juvenile"
"383","TBD1993092211",0,0,"Juvenile"
"384","TBD1999012603",0,0,"Juvenile"
"385","TBM1989040703",0,0,"Juvenile"
"386","TBM1989041106",0,0,"Juvenile"
"387","TBM1989041215",0,0,"Juvenile"
"388","TBM1989051706",0,0,"Juvenile"
"389","TBM1989052208",0,0,"Juvenile"
"390","TBM1989052308",0,0,"Juvenile"
"391","TBM1989052314",0,0,"Juvenile"
"392","TBM1989060501",0,0,"Juvenile"
"393","TBM1989060502",0,0,"Juvenile"
"394","TBM1989060503",0,0,"Juvenile"
"395","TBM1989060512",0,0,"Juvenile"
"396","TBM1989060514",0,0,"Juvenile"
"397","TBM1989092705",0,0,"Juvenile"
"398","TBM1989101607",0,0,"Juvenile"
"399","TBM1989101608",0,0,"Juvenile"
"400","TBM1989102315",0,0,"Juvenile"
"401","TBM1989110601",0,0,"Juvenile"
"402","TBM1989110705",0,0,"Juvenile"
"403","TBM1989110805",0,0,"Juvenile"
"404","TBM1989110806",0,0,"Juvenile"
"405","TBM1989112207",0,0,"Juvenile"
"406","TBM1989112916",0,0,"Juvenile"
"407","TBM1989120414",0,0,"Juvenile"
"408","TBM1989120429",0,0,"Juvenile"
"409","TBM1989120608",0,0,"Juvenile"
"410","TBM1989120609",0,0,"Juvenile"
"411","TBM1990031907",0,0,"Juvenile"
"412","TBM1990031909",0,0,"Juvenile"
"413","TBM1990032604",0,0,"Juvenile"
"414","TBM1990032607",0,0,"Juvenile"
"415","TBM1990032609",0,0,"Juvenile"
"416","TBM1990032709",0,0,"Juvenile"
"417","TBM1990040301",0,0,"Juvenile"
"418","TBM1990040302",0,0,"Juvenile"
"419","TBM1990040303",0,0,"Juvenile"
"420","TBM1990040914",0,0,"Juvenile"
"421","TBM1990042403",0,0,"Juvenile"
"422","TBM1990043015",0,0,"Juvenile"
"423","TBM1990043016",0,0,"Juvenile"
"424","TBM1990050206",0,0,"Juvenile"
"425","TBM1990050207",0,0,"Juvenile"
"426","TBM1990050224",0,0,"Juvenile"
"427","TBM1990050225",0,0,"Juvenile"
"428","TBM1990050226",0,0,"Juvenile"
"429","TBM1990050229",0,0,"Juvenile"
"430","TBM1990050230",0,0,"Juvenile"
"431","TBM1990050717",0,0,"Juvenile"
"432","TBM1990050927",0,0,"Juvenile"
"433","TBM1990050929",1,0,"Juvenile"
"434","TBM1990052105",0,0,"Juvenile"
"435","TBM1990052107",0,0,"Juvenile"
"436","TBM1990052110",0,0,"Juvenile"
"437","TBM1990100803",0,0,"Juvenile"
"438","TBM1990100814",0,0,"Juvenile"
"439","TBM1990100902",0,0,"Juvenile"
"440","TBM1990101001",0,0,"Juvenile"
"441","TBM1990101506",0,0,"Juvenile"
"442","TBM1990101510",0,0,"Juvenile"
"443","TBM1990101511",0,0,"Juvenile"
"444","TBM1990102906",0,0,"Juvenile"
"445","TBM1990110505",0,0,"Juvenile"
"446","TBM1990112106",0,0,"Juvenile"
"447","TBM1991032015",0,0,"Juvenile"
"448","TBM1991032018",0,0,"Juvenile"
"449","TBM1991040314",0,0,"Juvenile"
"450","TBM1991040809",0,0,"Juvenile"
"451","TBM1991040814",0,0,"Juvenile"
"452","TBM1991042205",0,0,"Juvenile"
"453","TBM1991042207",0,0,"Juvenile"
"454","TBM1991042217",0,0,"Juvenile"
"455","TBM1991042906",0,0,"Juvenile"
"456","TBM1991042911",0,0,"Juvenile"
"457","TBM1991042913",0,0,"Juvenile"
"458","TBM1991050608",0,0,"Juvenile"
"459","TBM1991050612",0,0,"Juvenile"
"460","TBM1991050720",0.122651228965314,0,"Juvenile"
"461","TBM1991052006",0,0,"Juvenile"
"462","TBM1991052810",0,0,"Juvenile"
"463","TBM1991060309",0,0,"Juvenile"
"464","TBM1991060312",0,0,"Juvenile"
"465","TBM1991091615",0,0,"Juvenile"
"466","TBM1991093009",0,0,"Juvenile"
"467","TBM1991102801",0,0,"Juvenile"
"468","TBM1991102809",0,0,"Juvenile"
"469","TBM1991103008",0,0,"Juvenile"
"470","TBM1991103026",0,0,"Juvenile"
"471","TBM1991111204",0,0,"Juvenile"
"472","TBM1991111809",0.0899442345745638,0,"Juvenile"
"473","TBM1991120215",0.0674581759309228,0,"Juvenile"
"474","TBM1992031606",0,0,"Juvenile"
"475","TBM1992032415",0,0,"Juvenile"
"476","TBM1992033007",0,0,"Juvenile"
"477","TBM1992040605",0,0,"Juvenile"
"478","TBM1992040606",0,0,"Juvenile"
"479","TBM1992040607",0,0,"Juvenile"
"480","TBM1992041301",0,0,"Juvenile"
"481","TBM1992042003",0,0,"Juvenile"
"482","TBM1992042902",0,0,"Juvenile"
"483","TBM1992042906",0,0,"Juvenile"
"484","TBM1992042913",0,0,"Juvenile"
"485","TBM1992050404",0,0,"Juvenile"
"486","TBM1992050405",0,0,"Juvenile"
"487","TBM1992050406",0,0,"Juvenile"
"488","TBM1992050407",0,0,"Juvenile"
"489","TBM1992051101",0,0,"Juvenile"
"490","TBM1992051109",0,0,"Juvenile"
"491","TBM1992051110",0,0,"Juvenile"
"492","TBM1992051808",0,0,"Juvenile"
"493","TBM1992051810",0,0,"Juvenile"
"494","TBM1992051811",0,0,"Juvenile"
"495","TBM1992051812",0,0,"Juvenile"
"496","TBM1992051813",0,0,"Juvenile"
"497","TBM1992052611",0,0,"Juvenile"
"498","TBM1992052612",0,0,"Juvenile"
"499","TBM1992060106",0,0,"Juvenile"
"500","TBM1992092910",0,0,"Juvenile"
"501","TBM1992100106",0,0,"Juvenile"
"502","TBM1992100108",0,0,"Juvenile"
"503","TBM1992100116",0,0,"Juvenile"
"504","TBM1992100118",0,0,"Juvenile"
"505","TBM1992100601",0,0,"Juvenile"
"506","TBM1992100603",0,0,"Juvenile"
"507","TBM1992100606",0,0,"Juvenile"
"508","TBM1992100612",0,0,"Juvenile"
"509","TBM1992102611",0,0,"Juvenile"
"510","TBM1992102832",0,0,"Juvenile"
"511","TBM1992111203",0,0,"Juvenile"
"512","TBM1992111611",0,0,"Juvenile"
"513","TBM1992111712",0,0,"Juvenile"
"514","TBM1992111714",0,0,"Juvenile"
"515","TBM1992111833",0,0,"Juvenile"
"516","TBM1992112208",0,0,"Juvenile"
"517","TBM1992112212",0,0,"Juvenile"
"518","TBM1992112213",0,0,"Juvenile"
"519","TBM1992112214",0,0,"Juvenile"
"520","TBM1993031501",0,0,"Juvenile"
"521","TBM1993031505",0,0,"Juvenile"
"522","TBM1993031508",0,0,"Juvenile"
"523","TBM1993031511",0,0,"Juvenile"
"524","TBM1993040705",0,0,"Juvenile"
"525","TBM1993040711",0,0,"Juvenile"
"526","TBM1993040712",0,0,"Juvenile"
"527","TBM1993041201",0,0,"Juvenile"
"528","TBM1993050308",0,0,"Juvenile"
"529","TBM1993051012",0,0,"Juvenile"
"530","TBM1993052410",0,0,"Juvenile"
"531","TBM1993052411",0,0,"Juvenile"
"532","TBM1993052414",0,0,"Juvenile"
"533","TBM1993091313",0,0,"Juvenile"
"534","TBM1993091314",0.0749535288121365,0,"Juvenile"
"535","TBM1993091315",0.0749535288121365,0,"Juvenile"
"536","TBM1993092801",0,0,"Juvenile"
"537","TBM1993092808",0,0,"Juvenile"
"538","TBM1993092811",0.0642458818389741,0,"Juvenile"
"539","TBM1993092813",0,0,"Juvenile"
"540","TBM1993100401",0,0,"Juvenile"
"541","TBM1993100412",0.149907057624273,0,"Juvenile"
"542","TBM1993100601",0,0,"Juvenile"
"543","TBM1993102503",0,0,"Juvenile"
"544","TBM1993102504",0,0,"Juvenile"
"545","TBM1993102505",0,0,"Juvenile"
"546","TBM1993110360",0,0,"Juvenile"
"547","TBM1993110406",0.0642458818389741,0,"Juvenile"
"548","TBM1993110910",0,0,"Juvenile"
"549","TBM1993110917",0,0,"Juvenile"
"550","TBM1993111506",0,0,"Juvenile"
"551","TBM1993111515",0,0,"Juvenile"
"552","TBM1993113006",0,0,"Juvenile"
"553","TBM1994031603",0,0,"Juvenile"
"554","TBM1994032111",0.128491763677948,0,"Juvenile"
"555","TBM1994032113",0,0,"Juvenile"
"556","TBM1994032115",0,0,"Juvenile"
"557","TBM1994032201",0,0,"Juvenile"
"558","TBM1994032901",0,0,"Juvenile"
"559","TBM1994032908",0,0,"Juvenile"
"560","TBM1994032909",0,0,"Juvenile"
"561","TBM1994032911",0,0,"Juvenile"
"562","TBM1994032921",0,0,"Juvenile"
"563","TBM1994040407",0,0,"Juvenile"
"564","TBM1994040408",0,0,"Juvenile"
"565","TBM1994040503",0,0,"Juvenile"
"566","TBM1994041107",0,0,"Juvenile"
"567","TBM1994041108",0,0,"Juvenile"
"568","TBM1994041109",0.0710086062430767,0,"Juvenile"
"569","TBM1994041327",0,0,"Juvenile"
"570","TBM1994041328",0,0,"Juvenile"
"571","TBM1994042504",0,0,"Juvenile"
"572","TBM1994042505",0,0,"Juvenile"
"573","TBM1994042506",0,0,"Juvenile"
"574","TBM1994042507",0,0,"Juvenile"
"575","TBM1994042513",0,0,"Juvenile"
"576","TBM1994042515",0,0,"Juvenile"
"577","TBM1994042518",0,0,"Juvenile"
"578","TBM1994050213",0,0,"Juvenile"
"579","TBM1994050904",0,0,"Juvenile"
"580","TBM1994051714",0,0,"Juvenile"
"581","TBM1994052314",0.122651228965314,0,"Juvenile"
"582","TBM1994092610",0.742039935240151,0,"Juvenile"
"583","TBM1994092611",0.128491763677948,0,"Juvenile"
"584","TBM1994092612",0,0,"Juvenile"
"585","TBM1994100406",0,0,"Juvenile"
"586","TBM1994100503",0,0,"Juvenile"
"587","TBM1994100535",0,0,"Juvenile"
"588","TBM1994100601",0,0,"Juvenile"
"589","TBM1994100604",0,0,"Juvenile"
"590","TBM1994100610",0,0,"Juvenile"
"591","TBM1994100611",0,0,"Juvenile"
"592","TBM1994101008",0,0,"Juvenile"
"593","TBM1994101013",0,0,"Juvenile"
"594","TBM1994101811",0,0,"Juvenile"
"595","TBM1994102405",0,0,"Juvenile"
