Start Date,Site Number,Quadrat,Species_Name,Common Name,Type,"Biomass Component (i.e., AGB, DT)",Weight Boat ID,Boat Weight (g),Wet Weight (g),Dry Start Date,Dry Start Time (EST),Dry Weight (g),End Date,End Time (EST),Processing Notes
10/18/2019,STCH06,6,Detritus,Detritus,Detritus,DT,P3,6.3057,16.4521,,10:42,6.9877,10/25/2019,8:15,
10/22/2019,SJB14,1,Detritus,Detritus,Detritus,DT,SA7,2.4971,5.3742,,8:15,2.866,10/29/2019,8:45,
10/22/2019,SJB14,2,Detritus,Detritus,Detritus,DT,SA8,2.5282,6.4596,,8:15,3.025,10/29/2019,8:45,
10/25/2019,SJB13,2,Detritus,Detritus,Detritus,DT,P12,6.0632,23.4402,,8:45,8.1573,11/2/2019,10:00,
10/25/2019,SJB13,3,Detritus,Detritus,Detritus,DT,SA19,2.4877,8.6278,,8:45,2.9621,11/2/2019,10:00,
10/25/2019,SJB14,3,Detritus,Detritus,Detritus,DT,SA12,2.504,4.6051,,8:45,2.8696,11/2/2019,10:00,
10/29/2019,SJB13,1,Detritus,Detritus,Detritus,DT,SA22,2.5078,47.0468,,10:10,9.0853,11/6/2019,10:00,
10/29/2019,SJB07,1,Detritus,Detritus,Detritus,DT,SA10,2.4889,5.7574,,10:10,2.789,11/6/2019,10:00,
11/1/2019,SJB07,2,Detritus,Detritus,Detritus,DT,SA8,2.5268,18.4663,,10:10,4.3756,11/6/2019,10:00,
11/5/2019,SJB06,1,Detritus,Detritus,Detritus,DT,P11,6.1469,12.428,,10:10,6.6854,11/12/2019,9:15,
11/5/2019,SJB07,3,Detritus,Detritus,Detritus,DT,P13,6.0785,21.8946,,10:10,7.9634,11/12/2019,9:15,
11/8/2019,SJB06,2,Detritus,Detritus,Detritus,DT,SA7,2.4949,16.9338,,9:20,4.2677,11/16/2019,9:20,
11/8/2019,SJB06,3,Detritus,Detritus,Detritus,DT,SA24,2.5135,12.8292,,9:20,3.307,11/16/2019,9:20,
11/15/2019,SJB17,1,Detritus,Detritus,Detritus,DT,SA10,2.4829,20.4005,,9:25,4.178,11/20/2019,9:35,
11/15/2019,SJB17,2,Detritus,Detritus,Detritus,DT,SA3,2.503,11.7493,,9:25,3.2467,11/20/2019,9:35,
12/3/2019,SJB10,2,Detritus,Detritus,Detritus,DT,SA17,2.4908,15.0607,,10:25,3.1742,12/9/2019,9:25,
12/6/2019,SJB17,3,Detritus,Detritus,Detritus,DT,SA24,2.512,41.0475,,9:42,5.5276,12/13/2019,9:50,
1/7/2020,SMAR03,1,Detritus,Detritus,Detritus,DT,P8,6.4067,110.4014,,9:45,16.1061,1/15/2020,9:25,
1/13/2020,SMAR03,2,Detritus,Detritus,Detritus,DT,SA3,2.5017,31.5401,,10:00,6.2107,1/21/2020,8:35,
1/24/2020,SMAR03,3,Detritus,Detritus,Detritus,DT,P13,6.0765,68.9587,1/24/2020,11:35,13.0102,1/29/2020,8:55,
1/28/2020,SMAR04,1,Detritus,Detritus,Detritus,DT,P17,6.1259,94.0513,1/29/2020,10:30,14.0572,2/3/2020,8:55,
2/4/2020,SMAR01,9,Detritus,Detritus,Detritus,DT,SA21,2.4963,13.5334,2/6/2020,9:00,3.3275,2/10/2020,9:15,
2/4/2020,SMAR14,2,Detritus,Detritus,Detritus,DT,P11,6.1658,47.9919,2/6/2020,9:00,14.0446,2/10/2020,9:15,
2/11/2020,SMAR12,3,Detritus,Detritus,Detritus,DT,P16,6.4113,96.1258,2/13/2020,9:30,13.9031,2/17/2020,9:15,
2/11/2020,SMAR12,2,Detritus,Detritus,Detritus,DT,P18,5.9133,119.8554,2/13/2020,9:30,15.5912,2/17/2020,9:15,
2/11/2020,SMAR12,1,Detritus,Detritus,Detritus,DT,P15,6.1404,88.2787,2/13/2020,9:30,12.7308,2/17/2020,9:15,
2/18/2020,SMAR24,2,Detritus,Detritus,Detritus,DT,SA22,2.5259,38.535,2/19/2020,5:00,4.9072,2/24/2020,3:40,
2/18/2020,SMAR23,2,Detritus,Detritus,Detritus,DT,P7,6.4781,126.3947,2/19/2020,5:00,17.9338,2/24/2020,3:40,
2/21/2020,SMAR14,1,Detritus,Detritus,Detritus,DT,P2,6.3076,77.4968,2/24/2020,8:45,15.0004,2/28/2020,10:00,
2/25/2020,SMAR04,3,Detritus,Detritus,Detritus,DT,P11,6.1507,127.2308,2/26/2020,11:13,15.7394,3/2/2020,8:40,
2/26/2020,SMAR25,2,Detritus,Detritus,Detritus,DT,P5,6.3524,120.3383,2/26/2020,11:13,14.7961,3/2/2020,8:40,
3/3/2020,SMAR23,1,Detritus,Detritus,Detritus,DT,P2,6.305,109.4828,3/6/2020,12:13,16.9704,3/11/2020,9:00,
3/3/2020,SMAR04,2,Detritus,Detritus,Detritus,DT,P4,6.3876,120.4716,3/6/2020,12:13,15.5248,3/11/2020,9:00,
3/6/2020,SMAR14,3,Detritus,Detritus,Detritus,DT,P12,6.1272,92.9885,3/6/2020,12:13,17.4913,3/11/2020,9:00,
3/10/2020,SMAR24,3,Detritus,Detritus,Detritus,DT,SA25,2.5214,42.8955,3/12/2029,9:00,5.027,3/17/2020,9:00,
3/10/2020,SMAR24,1,Detritus,Detritus,Detritus,DT,SA6,2.5012,41.6248,3/12/2029,9:00,5.1287,3/17/2020,9:00,
3/13/2020,SJB16,2,Detritus,Detritus,Detritus,DT,SA21,2.4968,11.3503,3/12/2020,11:10,3.2445,3/17/2020,9:00,
9/16/2020,STCH02,2,Detritus,Detritus,Detritus,DT,P17,6.302,15.6861,9/16/2020,9:45,7.099,9/21/2020,12:00,
9/16/2020,STCH02,1,Detritus,Detritus,Detritus,DT,P5,6.3485,21.1182,9/16/2020,10:20,7.63,9/21/2020,12:00,
9/23/2020,SMAR25,1,Detritus,Detritus,Detritus,DT,P7,6.446,164.013,9/23/2020,9:53,19.174,9/28/2020,9:30,
9/23/2020,SMAR23,3,Detritus,Detritus,Detritus,DT,P11,6.162,137.813,9/23/2020,10:38,18.296,9/28/2020,9:30,
9/23/2020,SJB10,1,Detritus,Detritus,Detritus,DT,P10,6.383,33.521,9/23/2020,10:59,9.182,9/28/2020,9:30,
9/30/2020,SJB16,1,Detritus,Detritus,Detritus,DT,P15,6.1401,16.6647,9/30/2020,9:03,7.1251,10/5/2020,8:38,
10/9/2020,STCH04,1,Detritus,Detritus,Detritus,DT,SA9,2.5228,5.5015,10/9/2020,11:14,2.8501,10/12/2020,9:56,
10/9/2020,STCH01,2,Detritus,Detritus,Detritus,DT,SA11,2.4963,3.2934,10/9/2020,11:40,2.6093,10/12/2020,9:56,
10/9/2020,SMAR01,10,Detritus,Detritus,Detritus,DT,SA21,2.5042,14.8829,10/9/2020,12:05,3.0938,10/12/2020,9:56,
10/9/2020,STCH02,3,Detritus,Detritus,Detritus,DT,SA3,2.5059,13.8455,10/9/2020,12:28,3.1179,10/12/2020,9:56,
10/12/2020,SMAR1,4,Detritus,Detritus,Detritus,DT,S1,2.4937,20.6205,10/12/2020,11:15,3.8097,10/16/2020,10:36,
10/12/2020,SJB16,3,Detritus,Detritus,Detritus,DT,S3,2.5095,20.281,10/12/2020,11:44,3.8449,10/16/2020,10:36,
10/15/2020,STCH21,2,Detritus,Detritus,Detritus,DT,P5,5.9333,118.1806,10/15/2020,10:06,12.81,10/19/2020,8:32,
10/15/2020,SJB10,3,Detritus,Detritus,Detritus,DT,P7,6.0053,40.4358,10/15/2020,10:29,9.432,10/19/2020,8:32,
10/22/2020,STCH12,3,Detritus,Detritus,Detritus,DT,SA20,2.4881,22.6253,10/22/2020,10:37,3.5966,10/26/2020,8:42,
10/22/2020,STCH01,3,Detritus,Detritus,Detritus,DT,SA19,2.4936,12.0232,10/22/2020,10:37,4.3285,10/26/2020,8:42,
10/26/2020,STCH01,1,Detritus,Detritus,Detritus,DT,SA24,2.515,2.521,10/26/2020,10:19,2.515,10/30/2020,10:30,
10/29/2020,STCHA,2,Detritus,Detritus,Detritus,DT,SA25,2.5197,6.6242,10/29/2020,10:26,3.1178,11/2/2020,12:30,
10/29/2020,STCH01,4,Detritus,Detritus,Detritus,DT,SA5,2.5067,8.9169,10/29/2020,10:26,3.121,11/2/2020,12:30,
10/29/2020,STCH21,3,Detritus,Detritus,Detritus,DT,P4,6.2414,88.4983,10/29/2020,11:00,10.61,11/2/2020,12:30,
10/29/2020,STCH21,1,Detritus,Detritus,Detritus,DT,P5,5.8788,99.7488,10/29/2020,11:27,12.3089,11/2/2020,12:30,
10/29/2020,SMAR25,3,Detritus,Detritus,Detritus,DT,P3,6.3331,125.9514,10/29/2020,1:10,13.99,11/2/2020,12:30,
11/18/2020,STCH12,2,Detritus,Detritus,Detritus,DT,P51,6.025,49.919,11/18/2020,10:31,9.0144,11/23/2020,9:00,
11/20/2020,STCH12,1,Detritus,Detritus,Detritus,DT,P53,6.11,68.8747,11/20/2020,10:53,12.1176,11/23/2020,10:00,
10/22/2019,SJB14,1,epiphytic_algae,epiphytic algae,Algae,AGB,SA10,2.4836,37.4945,,8:15,9.9884,10/29/2019,8:45,
10/22/2019,SJB14,2,epiphytic_algae,epiphytic algae,Algae,AGB,SA11,2.4909,19.1571,,8:15,5.5652,10/29/2019,8:45,
10/25/2019,SJB13,2,epiphytic_algae,epiphytic algae,Algae,AGB,SA21,2.4964,4.2999,,8:45,2.7466,11/2/2019,10:00,
10/25/2019,SJB14,3,epiphytic_algae,epiphytic algae,Algae,AGB,SA18,2.4996,15.203,,8:45,4.8236,11/2/2019,10:00,
10/29/2019,SJB13,1,epiphytic_algae,epiphytic algae,Algae,AGB,SA24,2.5886,22.1487,,10:10,5.53,11/6/2019,10:00,
11/1/2019,SJB07,2,epiphytic_algae,epiphytic algae,Algae,AGB,SA3,2.5021,8.6013,,10:10,2.9684,11/6/2019,10:00,
11/5/2019,SJB07,3,epiphytic_algae,epiphytic algae,Algae,AGB,SA5,2.5159,44.2695,,10:10,8.8548,11/12/2019,9:15,
11/15/2019,SJB17,1,epiphytic_algae,epiphytic algae,Algae,AGB,SA11,2.4909,24.337,,9:25,5.5613,11/20/2019,9:35,
11/15/2019,SJB17,2,epiphytic_algae,epiphytic algae,Algae,AGB,SA21,2.4955,23.1167,,9:25,5.1218,11/20/2019,9:35,
12/3/2019,SJB10,2,epiphytic_algae,epiphytic algae,Algae,AGB,SA9,2.5231,33.6611,,10:25,4.5792,12/9/2019,9:25,
12/6/2019,SJB17,3,epiphytic_algae,epiphytic algae,Algae,AGB,SA22,2.5066,48.5843,,9:42,9.2447,12/13/2019,9:50,
1/13/2020,SMAR03,2,epiphytic_algae,epiphytic algae,Algae,AGB,SA12,2.5037,34.1304,,10:00,5.9215,1/21/2020,8:35,
1/24/2020,SMAR03,3,epiphytic_algae,epiphytic algae,Algae,AGB,SA10,2.4833,20.7134,1/24/2020,11:35,5.313,1/29/2020,8:55,
1/28/2020,SMAR04,1,epiphytic_algae,epiphytic algae,Algae,AGB,SA17,2.5145,24.4981,1/29/2020,10:30,4.4592,2/3/2020,8:55,
2/11/2020,SMAR12,3,epiphytic_algae,epiphytic algae,Algae,AGB,SA24,2.5287,11.6005,2/13/2020,9:30,3.5132,2/17/2020,9:15,
2/21/2020,SMAR14,1,epiphytic_algae,epiphytic algae,Algae,AGB,SA17,2.4951,23.2887,2/24/2020,8:45,5.1935,2/28/2020,10:00,
3/13/2020,SJB16,2,epiphytic_algae,epiphytic algae,Algae,AGB,SA4,2.5154,7.9341,3/12/2020,11:10,2.8446,3/17/2020,9:00,
9/16/2020,STCH02,2,epiphytic_algae,epiphytic algae,Algae,AGB,SA1,2.5176,16.6605,9/16/2020,9:45,3.196,9/21/2020,12:00,
9/16/2020,STCH02,1,epiphytic_algae,epiphytic algae,Algae,AGB,SA2,2.4854,24.6333,9/16/2020,10:20,3.485,9/21/2020,12:00,
10/4/2019,STCH05,8,filamentous_red_algae,filamentous red algae,Algae,AGB,NA,1.2736,2.2788,,10:14,1.3054,10/8/2019,10:17,
10/6/2019,STCH06,1,filamentous_red_algae,filamentous red algae,Algae,AGB,NA,1.2771,9.4456,,10:35,1.7932,10/12/2019,10:35,
10/6/2019,STCH06,2,filamentous_red_algae,filamentous red algae,Algae,AGB,NA,1.2729,2.7082,,10:35,1.3544,10/12/2019,10:35,
10/6/2019,STCH05,1,filamentous_red_algae,filamentous red algae,Algae,AGB,NA,1.2786,8.5928,,11:52,1.767,10/12/2019,10:35,
10/10/2019,STCH05,3,filamentous_red_algae,filamentous red algae,Algae,AGB,sa3,2.5036,4.8304,,10:34,2.6008,10/16/2016,10:45,
10/15/2019,SJB02,1,filamentous_red_algae,filamentous red algae,Algae,AGB,SA8,2.5281,2.7216,,11:00,2.5388,10/20/2019,10:40,
10/25/2019,SJB13,2,filamentous_red_algae,filamentous red algae,Algae,AGB,SA25,2.5165,2.6863,,8:45,2.5224,11/2/2019,10:00,
11/1/2019,SJB07,2,filamentous_red_algae,filamentous red algae,Algae,AGB,SA17,2.4953,3.0953,,10:10,2.5365,11/6/2019,10:00,
11/15/2019,SJB17,1,filamentous_red_algae,filamentous red algae,Algae,AGB,SA12,2.5042,2.6438,,9:25,2.516,11/20/2019,9:35,
11/15/2019,SJB17,2,filamentous_red_algae,filamentous red algae,Algae,AGB,SA9,2.5212,5.8224,,9:25,2.7531,11/20/2019,9:35,
12/6/2019,SJB17,3,filamentous_red_algae,filamentous red algae,Algae,AGB,SA4,2.511,4.0718,,9:42,3.042,12/13/2019,9:50,
1/7/2020,SMAR03,1,filamentous_red_algae,filamentous red algae,Algae,AGB,P11,6.1803,59.3972,,9:45,8.695,1/15/2020,9:25,
1/13/2020,SMAR03,2,filamentous_red_algae,filamentous red algae,Algae,AGB,SA22,2.5073,11.0789,,10:00,3.1434,1/21/2020,8:35,
1/24/2020,SMAR03,3,filamentous_red_algae,filamentous red algae,Algae,AGB,SA24,2.5139,11.1532,1/24/2020,11:35,3.2173,1/29/2020,8:55,
1/28/2020,SMAR04,1,filamentous_red_algae,filamentous red algae,Algae,AGB,SA7,2.539,5.7782,1/29/2020,10:30,2.6727,2/3/2020,8:55,
2/11/2020,SMAR12,3,filamentous_red_algae,filamentous red algae,Algae,AGB,SA12,2.5085,2.6778,2/13/2020,9:30,2.5282,2/17/2020,9:15,
2/11/2020,SMAR12,2,filamentous_red_algae,filamentous red algae,Algae,AGB,SA10,2.4867,3.3873,2/13/2020,9:30,2.5767,2/17/2020,9:15,
2/18/2020,SMAR24,2,filamentous_red_algae,filamentous red algae,Algae,AGB,SA21,2.5145,9.9868,2/19/2020,5:00,2.9011,2/24/2020,3:40,
2/18/2020,SMAR23,2,filamentous_red_algae,filamentous red algae,Algae,AGB,SA19,2.5054,2.609,2/19/2020,5:00,2.4942,2/24/2020,3:40,
2/21/2020,SMAR14,1,filamentous_red_algae,filamentous red algae,Algae,AGB,SA8,2.5285,14.1197,2/24/2020,8:45,3.2907,2/28/2020,10:00,
2/25/2020,SMAR04,3,filamentous_red_algae,filamentous red algae,Algae,AGB,SA25,2.517,5.7237,2/26/2020,11:13,2.6577,3/2/2020,8:40,
2/25/2020,SMAR25,2,filamentous_red_algae,filamentous red algae,Algae,AGB,SA13,2.4884,19.4025,2/26/2020,11:13,3.3075,3/2/2020,8:40,
3/3/2020,SMAR23,1,filamentous_red_algae,filamentous red algae,Algae,AGB,SA9,2.5305,12.1568,3/6/2020,12:13,3.0438,3/11/2020,9:00,
3/3/2020,SMAR04,2,filamentous_red_algae,filamentous red algae,Algae,AGB,SA17,2.4975,5.4839,3/6/2020,12:13,2.6353,3/11/2020,9:00,
3/6/2020,SMAR14,3,filamentous_red_algae,filamentous red algae,Algae,AGB,SA16,2.4858,4.691,3/6/2020,12:13,2.5777,3/11/2020,9:00,
3/10/2020,SMAR24,3,filamentous_red_algae,filamentous red algae,Algae,AGB,SA18,2.4991,5.4248,3/12/2029,9:00,2.607,3/17/2020,9:00,
3/10/2020,SMAR24,1,filamentous_red_algae,filamentous red algae,Algae,AGB,SA13,2.484,6.3375,3/12/2029,9:00,2.6501,3/17/2020,9:00,
9/23/2020,SMAR25,1,filamentous_red_algae,filamentous red algae,Algae,AGB,SA11,2.505,11.699,9/23/2020,9:53,3.21,9/28/2020,9:30,
9/23/2020,SMAR23,3,filamentous_red_algae,filamentous red algae,Algae,AGB,SA20,2.53,20.372,9/23/2020,10:38,3.465,9/28/2020,9:30,
10/9/2020,STCH04,1,filamentous_red_algae,filamentous red algae,Algae,AGB,SA5,2.5063,2.6548,10/9/2020,11:14,2.5082,10/12/2020,9:56,
10/9/2020,STCH01,2,filamentous_red_algae,filamentous red algae,Algae,AGB,SA6,2.5049,6.5506,10/9/2020,11:40,2.68,10/12/2020,9:56,
10/9/2020,STCH02,3,filamentous_red_algae,filamentous red algae,Algae,AGB,SA19,2.5017,2.7687,10/9/2020,12:28,2.4999,10/12/2020,9:56,
10/12/2020,SMAR1,4,filamentous_red_algae,filamentous red algae,Algae,AGB,S2,2.5035,4.2066,10/12/2020,11:15,2.5668,10/16/2020,10:36,
10/22/2020,STCH12,3,filamentous_red_algae,filamentous red algae,Algae,AGB,SA8,2.5315,2.6667,10/22/2020,10:37,2.5341,10/26/2020,8:42,
10/22/2020,STCH01,3,filamentous_red_algae,filamentous red algae,Algae,AGB,SA11,2.4953,4.5801,10/22/2020,10:37,2.6456,10/26/2020,8:42,
10/29/2020,STCHA,2,filamentous_red_algae,filamentous red algae,Algae,AGB,SA14,2.484,2.5227,10/29/2020,10:26,2.495,11/2/2020,12:30,
10/29/2020,STCH01,4,filamentous_red_algae,filamentous red algae,Algae,AGB,SA9,2.5228,7.7365,10/29/2020,10:26,2.777,11/2/2020,12:30,
10/29/2020,STCH21,1,filamentous_red_algae,filamentous red algae,Algae,AGB,SA21,2.4975,2.7204,10/29/2020,11:27,2.5163,11/2/2020,12:30,
10/29/2020,SMAR25,3,filamentous_red_algae,filamentous red algae,Algae,AGB,SA18,2.5006,29.7323,10/29/2020,1:10,3.9857,11/2/2020,12:30,
11/18/2020,STCH12,2,filamentous_red_algae,filamentous red algae,Algae,AGB,SA50,2.502,11.928,11/18/2020,10:31,2.8508,11/23/2020,9:00,
11/20/2020,STCH12,1,filamentous_red_algae,filamentous red algae,Algae,AGB,SA15,2.5214,8.1871,11/20/2020,10:53,2.7102,11/23/2020,10:00,
10/6/2019,STCH05,1,branched_red_algae,branched red algae,Algae,AGB,NA,1.2763,1.6829,,11:52,1.3093,10/12/2019,10:35,
10/10/2019,STCH05,3,branched_red_algae,branched red algae,Algae,AGB,p8,6.4256,37.7043,,10:34,8.2379,10/16/2016,10:45,
10/18/2019,STCH06,3,branched_red_algae,branched red algae,Algae,AGB,SA5,2.5163,5.5296,,10:42,2.7497,10/25/2019,8:15,
1/7/2020,SMAR03,1,branched_red_algae,branched red algae,Algae,AGB,SA10,2.5017,3.3634,,9:45,2.5792,1/15/2020,9:25,
2/4/2020,SMAR01,9,branched_red_algae,branched red algae,Algae,AGB,SA4,2.5119,2.561,2/6/2020,9:00,2.5151,2/10/2020,9:15,
10/29/2020,STCHA,2,branched_red_algae,branched red algae,Algae,AGB,SA6,2.5021,11.8871,10/29/2020,10:26,3.297,11/2/2020,12:30,
10/6/2019,STCH05,1,Halimeda_incrassata,three finger leaf algae,Algae,AGB,NA,1.2835,7.8866,,11:52,3.1738,10/12/2019,10:35,
10/6/2019,STCH05,2,Halimeda_incrassata,three finger leaf algae,Algae,AGB,NA,1.2783,9.284,,12:15,2.907,10/12/2019,10:35,
10/10/2019,STCH05,3,Halimeda_incrassata,three finger leaf algae,Algae,AGB,p6,6.603,16.3165,,10:34,7.8906,10/16/2016,10:45,
2/25/2020,SMAR04,3,Halimeda_incrassata,three finger leaf algae,Algae,AGB,SA10,2.4879,2.7391,2/26/2020,11:13,2.5682,3/2/2020,8:40,
2/25/2020,SMAR25,2,Halimeda_incrassata,three finger leaf algae,Algae,AGB,SA16,2.488,4.1765,2/26/2020,11:13,2.8289,3/2/2020,8:40,
10/29/2020,SMAR25,3,Halimeda_incrassata,three finger leaf algae,Algae,AGB,SA12,2.5088,2.7794,10/29/2020,1:10,2.495,11/2/2020,12:30,
10/18/2019,STCH06,6,Halimeda_incrassata,three finger leaf algae,Algae,AGB,SA16,2.485,3.8224,,10:42,2.735,10/25/2019,8:15,
10/9/2020,STCH01,2,Halodule_wrightii,shoal grass,SAV,AGB,SA20,2.5011,5.1846,10/9/2020,11:40,2.7475,10/12/2020,9:56,
10/6/2019,STCH06,1,Halodule_wrightii,shoal grass,SAV,AGB,NA,1.2757,1.5223,,10:35,1.3164,10/12/2019,10:35,
10/6/2019,STCH06,2,Halodule_wrightii,shoal grass,SAV,AGB,NA,34.603,40.706,,10:35,35.147,10/12/2019,10:35,
10/10/2019,STCH05,3,Halodule_wrightii,shoal grass,SAV,AGB,p9,6.4277,10.2517,,10:34,6.714,10/16/2016,10:45,
10/18/2019,STCH06,3,Halodule_wrightii,shoal grass,SAV,AGB,SA6,2.4996,5.0281,,10:42,2.6734,10/25/2019,8:15,
10/18/2019,STCH06,6,Halodule_wrightii,shoal grass,SAV,AGB,P6,6.372,10.3025,,10:42,6.6553,10/25/2019,8:15,
10/25/2019,SJB13,2,Halodule_wrightii,shoal grass,SAV,AGB,P14,6.1257,61.1601,,8:45,11.4425,11/2/2019,10:00,
10/25/2019,SJB13,3,Halodule_wrightii,shoal grass,SAV,AGB,P19,6.0607,90.4058,,8:45,14.5856,11/2/2019,10:00,
10/29/2019,SJB07,1,Halodule_wrightii,shoal grass,SAV,AGB,P2,6.3758,82.6263,,10:10,14.039,11/6/2019,10:00,
