"","Site","Quadrat","Bagged_Slice_Number","Slice_Number","Analysis","Rhizome_Removed","Slice_Height_cm","Shell_gDW","Rhizome_gDW","Frac_Shell","Shell_Density_g_per_ml","Frac_Rhizome","Rhizome_Density_g_per_ml","Frac_OLOI","Frac_ILOI","OLOI","ILOI","Sample_Weight_gDW","Sediment_Weight_gDW","Sample_Density_g_per_ml","Sediment_Densit_g_per_ml","Organic_Content_gDW","Inorganic_Content_gDW","Organic_Density_g_per_ml","Inorganic_Density_g_per_ml","Percent_Carbon","Factor"
"17","SMAR23",3,15,2,"LOI alysis ","Y",2,0.8304,0.3387,0.0436478318002628,0.0204708331143233,0.0178028909329829,0.00834955584756899,0.019,0.045,1.908,4.46,19.025,17.877,0.469,0.441,0.341,0.797,0.008,0.02,0.553193159,"Seagrass"
"18","SMAR23",3,16,1,"LOI alysis ","Y",2.6,0.1761,0.0506,0.00560453200089112,0.00334030107253111,0.00161038795709876,0.000959791222430858,0.084,0.05,8.382,5.02,31.421,31.196,0.596,0.592,2.615,1.566,0.05,0.03,3.142687739,"Seagrass"
"19","SMAR12",2,1,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.018,0.008,1.849,0.802,49.098,49.098,1.211,1.211,0.908,0.394,0.022,0.01,0.529795918,"Seagrass"
"20","SMAR12",2,4,7,"LOI alysis ","N",2,0,0,0,0,0,0,0.015,0.01,1.53,0.953,51.149,51.149,1.262,1.262,0.782,0.487,0.019,0.012,0.401845033,"Seagrass"
"21","SMAR12",2,5,6,"LOI alysis ","Y",2,0,0,0,0,0,0,0.017,0.01,1.657,0.965,51.591,51.591,1.273,1.273,0.855,0.498,0.021,0.012,0.452684222,"Seagrass"
"22","SMAR12",2,6,5,"LOI alysis ","Y",2,0.7059,0.3375,0.0178971654581411,0.0174139419907713,0.00855686831296587,0.0083258328685158,0.029,0.014,2.932,1.422,39.442,38.391,0.973,0.947,1.126,0.546,0.028,0.013,0.962860454,"Seagrass"
"23","SMAR12",2,8,3,"LOI alysis ","Y",2,0.0503,0.1285,0.00134939371177165,0.00124144221482992,0.00344725828951604,0.00317147762635476,0.039,0.014,3.866,1.394,37.276,36.92,0.92,0.911,1.427,0.515,0.035,0.013,1.336396745,"Seagrass"
"24","SMAR12",2,9,2,"LOI alysis ","Y",2,0.0573,0.2537,0.00134264357850833,0.00141380368816927,0.00594465402910233,0.00625972069264475,0.024,0.015,2.417,1.481,42.677,42.376,1.053,1.045,1.024,0.628,0.025,0.015,0.756945115,"Seagrass"
"25","SMAR12",2,10,1,"LOI alysis ","Y",2,0.0736,0.3403,0.00234186076110475,0.00181494208985618,0.0108279241440753,0.00839164121165839,0.037,0.027,3.731,2.736,31.428,31.02,0.775,0.765,1.157,0.849,0.029,0.021,1.282498153,"Seagrass"
"26","SMARA",1,1,12,"LOI alysis ","N",2,9.5505,0,0.181696250214029,0.235660036527595,0,0,0.021,0.058,2.15,5.755,52.563,43.016,1.297,1.061,0.925,2.475,0.023,0.061,0.649972944,"Control"
"27","SMARA",1,3,10,"LOI alysis ","N",2,0.2953,0,0.00607138451416588,0.00728566141699905,0,0,0.042,0.013,4.239,1.259,48.638,48.35,1.2,1.193,2.049,0.609,0.051,0.015,1.485415538,"Control"
"28","SMARA",1,6,7,"LOI alysis ","N",2,0,0,0,0,0,0,0.006,0.004,0.589,0.45,62.258,62.258,1.536,1.536,0.367,0.28,0.009,0.007,0.025653562,"Control"
"29","SMARA",1,7,6,"LOI alysis ","Y",2,0,0,0,0,0,0,0.008,0.004,0.794,0.438,55.341,55.341,1.365,1.365,0.439,0.243,0.011,0.006,0.107554436,"Control"
"30","SMARA",1,8,5,"LOI alysis ","Y",2,0,0,0,0,0,0,0.004,0.004,0.438,0.44,63.706,63.706,1.572,1.572,0.279,0.28,0.007,0.007,0.01,"Control"
"31","SMARA",1,10,3,"LOI alysis ","Y",2,0,0,0,0,0,0,0.01,0.006,1.026,0.602,53.133,53.133,1.311,1.311,0.545,0.32,0.013,0.008,0.200340895,"Control"
"32","SMARA",1,11,2,"LOI alysis ","Y",2,0,0,0,0,0,0,0.016,0.007,1.556,0.714,53.739,53.739,1.326,1.326,0.836,0.384,0.021,0.009,0.412386556,"Control"
"33","SMARA",1,12,1,"LOI alysis ","Y",2.7,0,0,0,0,0,0,0.017,0.01,1.675,0.984,59.374,59.374,1.085,1.085,0.995,0.584,0.018,0.011,0.460003064,"Control"
"34","SMAR14",3,1,12,"LOI alysis ","N",2,0.0236,0,0.000497638326585695,0.000582236842105263,0,0,0.025,0.007,2.545,0.688,47.424,47.407,1.17,1.169,1.206,0.326,0.03,0.008,0.807965333,"Seagrass"
"35","SMAR14",3,3,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.019,0.006,1.858,0.596,49.897,49.897,1.231,1.231,0.927,0.297,0.023,0.007,0.533369901,"Seagrass"
"36","SMAR14",3,6,7,"LOI alysis ","N",2,0,0,0,0,0,0,0.019,0.006,1.882,0.644,47.077,47.077,1.161,1.161,0.886,0.303,0.022,0.007,0.542750971,"Seagrass"
"37","SMAR14",3,7,6,"LOI alysis ","Y",2,0,0,0,0,0,0,0.024,0.008,2.371,0.752,44.384,44.384,1.095,1.095,1.052,0.334,0.026,0.008,0.738503893,"Seagrass"
"38","SMAR14",3,8,5,"LOI alysis ","Y",2,0,0.02,0,0,0.000394135267223711,0.000493457354564086,0.019,0.006,1.935,0.628,50.744,48.23,1.252,1.19,0.933,0.303,0.023,0.007,0.564149844,"Seagrass"
"39","SMAR14",3,10,3,"LOI alysis ","Y",2,0,0.1865,0,0,0.00544557346414389,0.00460150957720159,0.042,0.013,4.192,1.285,34.248,34.066,0.845,0.84,1.428,0.438,0.035,0.011,1.466667986,"Seagrass"
"40","SMAR14",3,11,2,"LOI alysis ","Y",2,0,0.0645,0,0,0.00181027224249228,0.00159122930115072,0.043,0.015,4.302,1.499,35.63,35.569,0.879,0.877,1.53,0.533,0.038,0.013,1.510669523,"Seagrass"
"41","SMAR14",3,12,1,"LOI alysis ","Y",3.2,0,0.2666,0,0,0.00434527496169769,0.00411063011376601,0.023,0.009,2.287,0.932,61.354,61.1,0.946,0.942,1.398,0.57,0.022,0.009,0.704929863,"Seagrass"
"42","SMAR03",1,1,22,"LOI alysis ","N",2,0,0,0,0,0,0,0.066,0.019,6.556,1.885,32.596,32.596,0.804,0.804,2.137,0.614,0.053,0.015,2.412300389,"Seagrass"
"43","SMAR03",1,3,20,"LOI alysis ","N",2,0,0,0,0,0,0,0.026,0.01,2.595,0.953,44.442,44.442,1.096,1.096,1.153,0.424,0.028,0.01,0.827817921,"Seagrass"
"44","SMAR03",1,8,15,"LOI alysis ","N",2,0,0,0,0,0,0,NA,0.008,NA,0.833,52.592,32.61,1.297,0.804,0,0.272,0,0.007,0.01,"Seagrass"
"45","SMAR03",1,9,14,"LOI alysis ","N",2,0,0,0,0,0,0,0.028,0.009,2.756,0.892,44.873,44.873,1.107,1.107,1.237,0.4,0.031,0.01,0.892460813,"Seagrass"
"46","SMAR03",1,13,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.044,0.008,4.413,0.759,47.462,47.462,1.171,1.171,2.094,0.36,0.052,0.009,1.555150165,"Seagrass"
"47","SMAR03",1,16,7,"LOI alysis ","N",2,0,0,0,0,0,0,0.049,0.012,4.894,1.241,38.152,38.152,0.941,0.941,1.867,0.473,0.046,0.012,1.747746092,"Seagrass"
"48","SMAR03",1,17,6,"LOI alysis ","Y",2,0,0,0,0,0,0,0.05,0.015,4.999,1.483,30.854,30.854,0.761,0.761,1.542,0.457,0.038,0.011,1.789606729,"Seagrass"
"49","SMAR03",1,18,5,"LOI alysis ","Y",2,0.176,0,0.00526016916225829,0.00433963955886309,0,0,0.038,0.015,3.793,1.511,33.459,33.291,0.825,0.821,1.263,0.503,0.031,0.012,1.307104522,"Seagrass"
"50","SMAR03",1,20,3,"LOI alysis ","Y",2,0.271,0,0.00716097664094705,0.00668835218264454,0,0,0.041,0.018,4.127,1.783,37.844,37.573,0.934,0.927,1.55,0.67,0.038,0.017,1.440643062,"Seagrass"
"51","SMAR03",1,21,2,"LOI alysis ","Y",2,1.4507,0.0541,0.0351378191154386,0.0357702998595165,0.00131037155452211,0.00133395824250351,0.037,0.028,3.729,2.822,41.286,39.782,1.018,0.981,1.484,1.122,0.037,0.028,1.281682184,"Seagrass"
"52","SMAR03",1,22,1,"LOI alysis ","Y",2.2,0.1572,0,0.00386849099320799,0.00352419529481248,0,0,0.025,0.031,2.546,3.102,40.636,40.483,0.911,0.908,1.031,1.256,0.023,0.028,0.808503205,"Seagrass"
"53","SMARB",1,1,22,"LOI alysis ","N",2,0,0,0,0,0,0,0.028,0.012,2.763,1.182,40.047,40.047,0.988,0.988,1.107,0.473,0.027,0.012,0.895382702,"Control"
"54","SMARB",1,3,20,"LOI alysis ","N",2,0,0,0,0,0,0,0.025,0.011,2.54,1.063,46.712,46.712,1.152,1.152,1.187,0.496,0.029,0.012,0.806180638,"Control"
"55","SMARB",1,8,15,"LOI alysis ","N",2,0.0661,0,0.00175020520560277,0.00163119125162179,0,0,0.029,0.015,2.874,1.457,37.767,37.701,0.932,0.93,1.083,0.549,0.027,0.014,0.939487168,"Control"
"56","SMARB",1,13,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.032,0.012,3.189,1.179,42.134,42.134,1.039,1.039,1.344,0.497,0.033,0.012,1.065524695,"Control"
"57","SMARB",1,16,5,"LOI alysis ","N",2,0.0444,0,0.00117987829183386,0.00109492705482182,0,0,0.042,0.01,4.211,0.973,37.631,37.586,0.928,0.927,1.583,0.366,0.039,0.009,1.474420618,"Control"
"58","SMARB",1,17,6,"LOI alysis ","Y",2,0,0,0,0,0,0,0.025,0.011,2.49,1.083,41.121,41.121,1.014,1.014,1.024,0.445,0.025,0.011,0.786057461,"Control"
"59","SMARB",1,18,5,"LOI alysis ","Y",2,0.1533,0,0.00467677476433082,0.00378351078434363,0,0,0.046,0.013,4.629,1.317,32.779,32.625,0.809,0.805,1.51,0.43,0.037,0.011,1.641629674,"Control"
"60","SMARB",1,20,3,"LOI alysis ","Y",2,0,0,0,0,0,0,0.045,0.019,4.465,1.939,27.413,27.413,0.676,0.676,1.224,0.532,0.03,0.013,1.575928823,"Control"
"61","SMARB",1,21,2,"LOI alysis ","Y",2,0.0251,0,0.00104478854478854,0.000619559607059607,0,0,0.049,0.021,4.927,2.076,24.024,23.999,0.593,0.592,1.182,0.498,0.029,0.012,1.76091125,"Control"
"62","SMARB",1,22,1,"LOI alysis ","Y",2.2,0.0874,0,0.00199534267841651,0.00195942651020501,0,0,0.029,0.016,2.868,1.607,43.802,43.714,0.982,0.98,1.254,0.703,0.028,0.016,0.937266481,"Control"
"63","SMARA",3,1,14,"LOI alysis ","N",2,7.3045,0,0.153863167207313,0.180173768799764,0,0,0.022,0.031,2.202,3.056,47.474,39.947,1.171,0.985,0.879,1.221,0.022,0.03,0.670626834,"Control"
"64","SMARA",3,5,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.023,0.012,2.301,1.222,40.056,40.056,0.988,0.988,0.922,0.489,0.023,0.012,0.710459633,"Control"
"65","SMARA",3,8,7,"LOI alysis ","N",2,0,0,0,0,0,0,0.02,0.009,2.039,0.888,42.355,42.355,1.045,1.045,0.864,0.376,0.021,0.009,0.605535279,"Control"
"66","SMARA",3,9,6,"LOI alysis ","Y",2,0,0,0,0,0,0,0.012,0.007,1.191,0.698,53.443,53.443,1.318,1.318,0.637,0.373,0.016,0.009,0.266586681,"Control"
"67","SMARA",3,10,5,"LOI alysis ","Y",2,0,0,0,0,0,0,0.007,0.006,0.707,0.577,52.785,52.785,1.302,1.302,0.373,0.305,0.009,0.008,0.072829583,"Control"
"68","SMARA",3,12,3,"LOI alysis ","Y",2,0,0,0,0,0,0,0.039,0.015,3.887,1.529,29.17,29.17,0.72,0.72,1.134,0.446,0.028,0.011,1.344928481,"Control"
"69","SMARA",3,13,2,"LOI alysis ","Y",2,0,0,0,0,0,0,0.032,0.013,3.223,1.34,34.525,34.525,0.852,0.852,1.113,0.463,0.027,0.011,1.079300012,"Control"
"70","SMARA",3,14,1,"LOI alysis ","Y",2.5,0,0,0,0,0,0,0.025,0.013,2.498,1.268,47.969,47.969,0.947,0.947,1.198,0.608,0.024,0.012,0.789364474,"Control"
"71","SMARA",2,1,13,"LOI alysis ","N",2,9.9653,0,0.21691989551589,0.245770241619504,0,0,0.061,0.061,6.133,6.135,45.94,35.764,1.133,0.882,2.193,2.194,0.054,0.054,2.243167007,"Control"
"72","SMARA",2,4,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.024,0.01,2.374,0.964,47.96,47.96,1.183,1.183,1.139,0.462,0.028,0.011,0.739671069,"Control"
"73","SMARA",2,7,7,"LOI alysis ","N",2,0,0,0,0,0,0,0.025,0.009,2.473,0.89,41.892,41.892,1.033,1.033,1.036,0.373,0.026,0.009,0.779186443,"Control"
"74","SMARA",2,8,6,"LOI alysis ","Y",2,0,0,0,0,0,0,0.021,0.008,2.088,0.756,50.183,50.183,1.238,1.238,1.048,0.379,0.026,0.009,0.62514465,"Control"
"75","SMARA",2,9,5,"LOI alysis ","Y",2,0.3617,0,0.00611920350538835,0.00892179871085621,0,0,0.025,0.005,2.452,0.512,59.109,58.736,1.458,1.449,1.44,0.301,0.036,0.007,0.770632877,"Control"
"76","SMARA",2,11,3,"LOI alysis ","Y",2,0.133,0,0.00394940016629053,0.00328195153818743,0,0,0.05,0.016,4.993,1.61,33.676,33.526,0.831,0.827,1.674,0.54,0.041,0.013,1.787234877,"Control"
"77","SMARA",2,12,2,"LOI alysis ","Y",2,0,0,0,0,0,0,0.034,0.012,3.354,1.164,31.454,31.454,0.776,0.776,1.055,0.366,0.026,0.009,1.131761423,"Control"
"78","SMARA",2,13,1,"LOI alysis ","Y",2.8,0,0,0,0,0,0,NA,0.008,NA,0.802,63.289,63.289,1.115,1.115,0,0.508,0,0.009,0.01,"Control"
"79","SMAR25",1,1,19,"LOI alysis ","N",2,0,0,0,0,0,0,0.022,0.023,2.19,2.293,41.225,41.225,1.017,1.017,0.903,0.945,0.022,0.023,0.666005925,"Seagrass"
"80","SMAR25",1,5,15,"LOI alysis ","N",2,0.1688,0,0.00410785554365813,0.00416536552126935,0,0,0.034,0.038,3.361,3.821,41.092,40.929,1.014,1.01,1.376,1.564,0.034,0.039,1.134349121,"Seagrass"
"81","SMAR25",1,10,10,"LOI alysis ","N",2,0.408,0,0.00902734755288079,0.0100654925214621,0,0,0.024,0.036,2.358,3.559,45.196,44.789,1.115,1.105,1.056,1.594,0.026,0.039,0.733133834,"Seagrass"
"82","SMAR25",1,13,7,"LOI alysis ","N",2,2.3608,0,0.0575033491657533,0.058250892704908,0,0,0.029,0.044,2.917,4.446,41.055,38.606,1.013,0.952,1.126,1.716,0.028,0.042,0.956683222,"Seagrass"
"83","SMAR25",1,14,6,"LOI alysis ","Y",2,0.1331,0,0.00342159383033419,0.00328473007712082,0,0,0.034,0.04,3.415,4.008,38.9,38.677,0.96,0.954,1.321,1.55,0.033,0.038,1.155970626,"Seagrass"
"84","SMAR25",1,15,5,"LOI alysis ","Y",2,0.2382,0.08,0.00580989780238542,0.00587380667821166,0.00195126710407571,0.00197273104222054,0.033,0.04,3.305,3.998,40.999,40.673,1.011,1.003,1.344,1.626,0.033,0.04,1.111981915,"Seagrass"
"85","SMAR25",1,17,3,"LOI alysis ","Y",2,0.2917,0.1186,0.00807585825027686,0.00719558970099668,0.00328349944629014,0.00292559800664452,0.038,0.037,3.811,3.701,36.12,35.689,0.891,0.88,1.36,1.321,0.034,0.033,1.314295272,"Seagrass"
"86","SMAR25",1,18,2,"LOI alysis ","Y",2,0.7,0.1266,0.0218197687104517,0.0172594370499673,0.00394626102677597,0.00312149247217979,0.052,0.046,5.231,4.597,32.081,31.229,0.791,0.77,1.634,1.436,0.04,0.035,1.882319228,"Seagrass"
"87","SMAR25",1,19,1,"LOI alysis ","Y",2.5,0.5754,0.0718,0.0107507193303688,0.0113527596128695,0.00134150442808565,0.00141662867605844,0.085,0.033,8.524,3.315,53.522,52.758,1.056,1.041,4.497,1.749,0.089,0.035,3.199721863,"Seagrass"
"88","SMAR01",8,1,18,"LOI alysis ","N",2,0,0,0,0,0,0,0.12,0.06,12.007,6.046,36.593,36.593,0.903,0.903,4.394,2.212,0.108,0.055,4.592675216,"Seagrass"
"89","SMAR01",8,4,15,"LOI alysis ","N",2,0,0,0,0,0,0,0.033,0.019,3.258,1.861,35.054,35.054,0.865,0.865,1.142,0.653,0.028,0.016,1.093205843,"Seagrass"
"90","SMAR01",8,9,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.024,0.012,2.446,1.195,37.293,37.293,0.92,0.92,0.912,0.446,0.023,0.011,0.768365361,"Seagrass"
"91","SMAR01",8,12,7,"LOI alysis ","N",2,0.9602,0,0.0229476853954066,0.0236820113280596,0,0,0.024,0.028,2.427,2.783,41.843,40.834,1.032,1.007,0.991,1.136,0.024,0.028,0.760858077,"Seagrass"
"92","SMAR01",8,13,6,"LOI alysis ","Y",2,0,0,0,0,0,0,0.024,0.011,2.367,1.126,39.807,39.807,0.982,0.982,0.942,0.448,0.023,0.011,0.736718182,"Seagrass"
"93","SMAR01",8,14,5,"LOI alysis ","Y",2,0,0.0319,0,0,0.000819630010277492,0.000786844809866392,0.046,0.025,4.573,2.491,38.92,36.326,0.96,0.896,1.661,0.905,0.041,0.022,1.619214706,"Seagrass"
"94","SMAR01",8,16,3,"LOI alysis ","Y",2,0,0.0604,0,0,0.00219692285308988,0.00148951369439494,0.066,0.039,6.593,3.937,27.493,27.433,0.678,0.677,1.809,1.08,0.045,0.027,2.427157495,"Seagrass"
"95","SMAR01",8,17,2,"LOI alysis ","Y",2,0,0.0257,0,0,0.000746008708272859,0.00063410740203193,0.074,0.023,7.423,2.27,34.45,31.894,0.85,0.787,2.368,0.724,0.058,0.018,2.759372598,"Seagrass"
"96","SMAR01",8,18,1,"LOI alysis ","Y",2,0,0,0,0,0,0,0.07,0.023,6.985,2.257,20.034,20.034,0.494,0.494,1.399,0.452,0.035,0.011,2.584095784,"Seagrass"
"97","SMARB",3,1,19,"LOI alysis ","N",2,0,0,0,0,0,0,0.024,0.01,2.355,0.952,47.481,47.481,1.171,1.171,1.118,0.452,0.028,0.011,0.732182058,"Control"
"98","SMARB",3,5,15,"LOI alysis ","N",2,0,0,0,0,0,0,0.028,0.012,2.754,1.217,42.377,42.377,1.045,1.045,1.167,0.516,0.029,0.013,0.891547263,"Control"
"99","SMARB",3,10,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.062,0.015,6.212,1.467,41.287,41.287,1.018,1.018,2.565,0.606,0.063,0.015,2.274611545,"Control"
"100","SMARB",3,13,7,"LOI alysis ","N",2,0.6011,0,0.0120068713421089,0.0148284861075045,0,0,0.05,0.015,4.993,1.468,50.063,49.444,1.235,1.22,2.469,0.726,0.061,0.018,1.78734097,"Control"
"101","SMARB",3,14,6,"LOI alysis ","Y",2,0.0872,0,0.00200907771352211,0.00215172223118218,0,0,0.051,0.012,5.075,1.153,43.403,43.316,1.071,1.069,2.198,0.499,0.054,0.012,1.819831146,"Control"
"102","SMARB",3,15,5,"LOI alysis ","Y",2,1.6415,0,0.0361611666740098,0.040500506674891,0,0,0.034,0.013,3.383,1.269,45.394,43.732,1.12,1.079,1.479,0.555,0.036,0.014,1.143049495,"Control"
"103","SMARB",3,17,3,"LOI alysis ","Y",2,0,0,0,0,0,0,0.035,0.014,3.452,1.439,35.624,35.624,0.879,0.879,1.23,0.513,0.03,0.013,1.170737364,"Control"
"104","SMARB",3,18,2,"LOI alysis ","Y",2,0,0,0,0,0,0,0.035,0.01,3.483,0.997,39.056,39.056,0.963,0.963,1.36,0.389,0.034,0.01,1.183036769,"Control"
"105","SMARB",3,19,1,"LOI alysis ","Y",3.1,0.0299,0.0026,0.000419808208022689,0.00047606250789773,3.65050615671904e-05,4.13967398171939e-05,0.023,0.009,2.315,0.914,71.223,71.191,1.134,1.133,1.648,0.651,0.026,0.01,0.715802187,"Control"
"106","SMAR12",1,1,19,"LOI alysis ","N",2,0,0,0,0,0,0,0.027,0.007,2.66,0.708,42.634,42.634,1.052,1.052,1.134,0.302,0.028,0.007,0.854013738,"Seagrass"
"107","SMAR12",1,5,15,"LOI alysis ","N",2,0,0,0,0,0,0,0.03,0.005,3.05,0.54,52.636,52.636,1.298,1.298,1.605,0.284,0.04,0.007,1.009962216,"Seagrass"
"108","SMAR12",1,10,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.038,0.007,3.759,0.686,51.669,51.669,1.275,1.275,1.942,0.354,0.048,0.009,1.293679202,"Seagrass"
"109","SMAR12",1,13,7,"LOI alysis ","N",2,0,0,0,0,0,0,0.041,0.012,4.081,1.163,50.141,50.141,1.237,1.237,2.046,0.583,0.05,0.014,1.422292321,"Seagrass"
"110","SMAR12",1,14,6,"LOI alysis ","Y",2,0.1732,0,0.00357164951642505,0.00427169282164436,0,0,0.083,0.013,8.275,1.32,48.493,48.301,1.196,1.192,3.997,0.638,0.099,0.016,3.100092395,"Seagrass"
"111","SMAR12",1,15,5,"LOI alysis ","Y",2,0.3859,0.0306,0.00863214405547478,0.00952125489318868,0.000684487193826194,0.000754989374790292,0.037,0.015,3.653,1.46,44.705,44.277,1.103,1.092,1.617,0.647,0.04,0.016,1.251117298,"Seagrass"
"112","SMAR12",1,17,3,"LOI alysis ","Y",2,0.1282,0.2079,0.00253635374418835,0.00316283311900287,0.00411316648531012,0.00512911860718172,0.042,0.011,4.194,1.077,50.545,50.209,1.247,1.239,2.106,0.541,0.052,0.013,1.467674808,"Seagrass"
"113","SMAR12",1,18,2,"LOI alysis ","Y",2,0.2962,0.1179,0.00607477593880104,0.00730795545437765,0.00241801513566726,0.00290887220820772,0.033,0.011,3.329,1.14,48.759,48.327,1.203,1.192,1.609,0.551,0.04,0.014,1.121746177,"Seagrass"
"114","SMAR12",1,19,1,"LOI alysis ","Y",1.9,0.5068,0.0872,0.0118165496980578,0.0131636363636364,0.00203315535451981,0.00226493506493506,0.03,0.015,2.967,1.505,42.889,42.259,1.114,1.097,1.254,0.636,0.033,0.017,0.976886189,"Seagrass"
"115","SMAR12",3,1,20,"LOI alysis ","N",2,0,0,0,0,0,0,0.024,0.007,2.419,0.665,51.827,51.827,1.279,1.279,1.254,0.345,0.031,0.009,0.757516618,"Seagrass"
"116","SMAR12",3,6,15,"LOI alysis ","N",2,0,0,0,0,0,0,0.026,0.008,2.605,0.775,52.747,52.747,1.301,1.301,1.374,0.409,0.034,0.01,0.832011162,"Seagrass"
"117","SMAR12",3,11,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.039,0.012,3.851,1.185,43.458,43.458,1.072,1.072,1.674,0.515,0.041,0.013,1.330487163,"Seagrass"
"118","SMAR12",3,14,7,"LOI alysis ","N",2,0,0,0,0,0,0,0.035,0.012,3.498,1.229,46.353,46.353,1.143,1.143,1.621,0.57,0.04,0.014,1.189062081,"Seagrass"
"119","SMAR12",3,15,6,"LOI alysis ","N",2,0,0.0569,0,0,0.00130531531738203,0.00140321396618568,0.029,0.013,2.896,1.307,43.591,43.51,1.075,1.073,1.26,0.569,0.031,0.014,0.94848288,"Seagrass"
