Prep Date,Site number,Quadrat,Bagged_Slice_Number,Slice_Number,Intended_Alysis,Rhizome_Slice_Y_N,Slice Height (cm; if bag says otherwise),Bella Container Weight (g),Initial Dry Sample Weight (in a tared container; includes bella container after April 1st 2020),Shell Weight (in a tared container),Belowground Biomass (in a tared container),Dried Sediment Weight (in a tared container; includes bella container after a April 1st 2020) ,LOI Crucible Number,LOI Crucible Weight (g),LOI Intial Sample Weigh (g),LOI Sample Weight Post LOI 450 (g),LOI Sample Weight Post LOI 950 (g),LOI_Notes_2,Corrected LOI Intial Sample Weigh (g),Corrected LOI Sample Weight Post LOI 450 (g),Corrected LOI Sample Weight Post LOI 950 (g),Fraction OLOI ,Fraction ILOI,% OLOI ,% ILOI,Corrected Sample Weight (g DW),Corrected Sediment Weight (g DW),Sample Bulk Density (g/cm^3),Sediment Bulk Density (g/cm^3),Organic Content (g DW),Inorganic Content (gDW),Organic Content Density (g/cm^3),Inorganic Content Density (g/cm^3),Estimated_Carbon,LOI_Notes_2,,,
5/13/2020,SMARA,3,12,3,LOI alysis ,Y,2,66.7792,95.9489,0,0,95.9489,SC37,15.8337,21.9999,21.7602,21.6696,,6.166,5.927,5.836,0.039,0.015,3.887,1.529,29.17,29.17,0.72,0.72,1.134,0.446,0.028,0.011,1.344928481,,,,
5/13/2020,SMARA,3,13,2,LOI alysis ,Y,2,66.7972,101.3226,0,0,101.3226,SC39,16.1076,23.4263,23.1904,23.0955,,7.319,7.083,6.988,0.032,0.013,3.223,1.34,34.525,34.525,0.852,0.852,1.113,0.463,0.027,0.011,1.079300012,,,,
5/13/2020,SMARA,3,14,1,LOI alysis ,Y,2.5,66.7935,114.7629,0,0,114.7629,SC40,16.6332,24.186,23.9973,23.9039,,7.553,7.364,7.271,0.025,0.013,2.498,1.268,47.969,47.969,0.947,0.947,1.198,0.608,0.024,0.012,0.789364474,,,,
5/18/2020,SMARA,2,1,13,LOI alysis ,N,2,66.8402,112.78,9.9653,0,102.6041,SC21,17.7959,27.0949,26.5246,25.9891,,9.299,8.729,8.193,0.061,0.061,6.133,6.135,45.94,35.764,1.133,0.882,2.193,2.194,0.054,0.054,2.243167007,,,,
5/18/2020,SMARA,2,4,10,LOI alysis ,N,2,66.8369,114.7964,0,0,114.7964,SC5,14.7896,29.0935,28.7539,28.6193,,14.304,13.964,13.83,0.024,0.01,2.374,0.964,47.96,47.96,1.183,1.183,1.139,0.462,0.028,0.011,0.739671069,,,,
5/18/2020,SMARA,2,7,7,LOI alysis ,N,2,66.8315,108.7236,0,0,108.7236,SC27,16.1411,27.1643,26.8917,26.796,,11.023,10.751,10.655,0.025,0.009,2.473,0.89,41.892,41.892,1.033,1.033,1.036,0.373,0.026,0.009,0.779186443,,,,
5/18/2020,SMARA,2,8,6,LOI alysis ,Y,2,66.834,117.0166,0,0,117.0166,SC28,16.1765,25.976,25.7714,25.6989,,9.8,9.595,9.522,0.021,0.008,2.088,0.756,50.183,50.183,1.238,1.238,1.048,0.379,0.026,0.009,0.62514465,,,,
5/18/2020,SMARA,2,9,5,LOI alysis ,Y,2,66.8347,125.9439,0.3617,0,125.5706,SC25,12.9559,28.9211,28.5297,28.45,,15.965,15.574,15.494,0.025,0.005,2.452,0.512,59.109,58.736,1.458,1.449,1.44,0.301,0.036,0.007,0.770632877,,,,
5/18/2020,SMARA,2,11,3,LOI alysis ,Y,2,66.8281,100.5039,0.133,0,100.354,SC8,14.3449,23.1691,22.7285,22.5935,,8.824,8.384,8.249,0.05,0.016,4.993,1.61,33.676,33.526,0.831,0.827,1.674,0.54,0.041,0.013,1.787234877,,,,
5/18/2020,SMARA,2,12,2,LOI alysis ,Y,2,66.8255,98.2792,0,0,98.2792,SC10,16.2019,27.2918,26.9198,26.795,,11.09,10.718,10.593,0.034,0.012,3.354,1.164,31.454,31.454,0.776,0.776,1.055,0.366,0.026,0.009,1.131761423,,,,
5/18/2020,SMARA,2,13,1,LOI alysis ,Y,2.8,66.8268,130.1162,0,0,130.1162,SC7,15.7431,,23.8929,23.8275,,,8.15,8.084,,0.008,,0.802,63.289,63.289,1.115,1.115,0,0.508,0,0.009,-0.21,,,,
5/27/2020,SMAR25,1,1,19,LOI alysis ,N,2,66.8118,108.0372,0,0,108.0372,SC44,15.2351,25.2259,25.0071,24.783,,9.991,9.772,9.548,0.022,0.023,2.19,2.293,41.225,41.225,1.017,1.017,0.903,0.945,0.022,0.023,0.666005925,,,,
5/27/2020,SMAR25,1,5,15,LOI alysis ,N,2,66.811,107.9032,0.1688,0,107.74,SC43,15.529,23.7233,23.4479,23.1453,,8.194,7.919,7.616,0.034,0.038,3.361,3.821,41.092,40.929,1.014,1.01,1.376,1.564,0.034,0.039,1.134349121,,,,
5/27/2020,SMAR25,1,10,10,LOI alysis ,N,2,66.8215,112.0172,0.408,0,111.6108,SC32,17.5763,25.4861,25.2996,25.0247,,7.91,7.723,7.448,0.024,0.036,2.358,3.559,45.196,44.789,1.115,1.105,1.056,1.594,0.026,0.039,0.733133834,,,,
5/27/2020,SMAR25,1,13,7,LOI alysis ,N,2,66.8295,107.8849,2.3608,0,105.435,SC31,17.3267,25.3803,25.1454,24.7978,,8.054,7.819,7.471,0.029,0.044,2.917,4.446,41.055,38.606,1.013,0.952,1.126,1.716,0.028,0.042,0.956683222,,,,
5/27/2020,SMAR25,1,14,6,LOI alysis ,Y,2,66.8085,105.7089,0.1331,0,105.4854,SC33,14.3247,24.3337,23.9919,23.6044,,10.009,9.667,9.28,0.034,0.04,3.415,4.008,38.9,38.677,0.96,0.954,1.321,1.55,0.033,0.038,1.155970626,,,,
5/27/2020,SMAR25,1,15,5,LOI alysis ,Y,2,66.7981,107.7972,0.2382,0.08,107.4715,SC34,16.1342,25.5897,25.2772,24.9117,,9.456,9.143,8.778,0.033,0.04,3.305,3.998,40.999,40.673,1.011,1.003,1.344,1.626,0.033,0.04,1.111981915,,,,
5/27/2020,SMAR25,1,17,3,LOI alysis ,Y,2,66.801,102.9206,0.2917,0.1186,102.49,SC36,15.123,27.5143,27.0421,26.601,,12.391,11.919,11.478,0.038,0.037,3.811,3.701,36.12,35.689,0.891,0.88,1.36,1.321,0.034,0.033,1.314295272,,,,
5/27/2020,SMAR25,1,18,2,LOI alysis ,Y,2,66.7988,98.8794,0.7,0.1266,98.0281,SC35,15.413,26.0825,25.5244,25.0596,,10.67,10.111,9.647,0.052,0.046,5.231,4.597,32.081,31.229,0.791,0.77,1.634,1.436,0.04,0.035,1.882319228,,,,
5/27/2020,SMAR25,1,19,1,LOI alysis ,Y,2.5,66.8238,120.3456,0.5754,0.0718,119.5822,SC30,16.835,28.4336,27.4449,27.0932,,11.599,10.61,10.258,0.085,0.033,8.524,3.315,53.522,52.758,1.056,1.041,4.497,1.749,0.089,0.035,3.199721863,,,,
6/11/2020,SMAR01,8,1,18,LOI alysis ,N,2,66.9116,103.5046,0,0,103.5046,SC22,15.7842,23.021,22.1521,21.7671,,7.237,6.368,5.983,0.12,0.06,12.007,6.046,36.593,36.593,0.903,0.903,4.394,2.212,0.108,0.055,4.592675216,,,,
6/11/2020,SMAR01,8,4,15,LOI alysis ,N,2,66.8374,101.8913,0,0,101.8913,SC9,17.2225,28.3397,27.9775,27.7773,,11.117,10.755,10.555,0.033,0.019,3.258,1.861,35.054,35.054,0.865,0.865,1.142,0.653,0.028,0.016,1.093205843,,,,
