Start Date,Site Number,Quadrat,SpeciesName,Common Name,Type,"Biomass Component (i.e., AGB, DT)",Weight Boat ID,Boat Weight (g),Wet Weight (g),Dry Start Date,Dry Start Time (EST),Dry Weight (g),End Date,End Time (EST),Processing Notes,Dry_Weight_gDW
10/25/2019,SJB13,2,Detritus,,Detritus,DT,P12,6.0632,23.4402,,8:45,8.1573,11/2/2019,10:00,,2.0941
10/25/2019,SJB13,3,Detritus,,Detritus,DT,SA19,2.4877,8.6278,,8:45,2.9621,11/2/2019,10:00,,0.4744
10/25/2019,SJB14,3,Detritus,,Detritus,DT,SA12,2.504,4.6051,,8:45,2.8696,11/2/2019,10:00,,0.3656
10/29/2019,SJB13,1,Detritus,,Detritus,DT,SA22,2.5078,47.0468,,10:10,9.0853,11/6/2019,10:00,,6.5775
10/29/2019,SJB07,1,Detritus,,Detritus,DT,SA10,2.4889,5.7574,,10:10,2.789,11/6/2019,10:00,,0.3001
11/1/2019,SJB07,2,Detritus,,Detritus,DT,SA8,2.5268,18.4663,,10:10,4.3756,11/6/2019,10:00,,1.8488
11/5/2019,SJB06,1,Detritus,,Detritus,DT,P11,6.1469,12.428,,10:10,6.6854,11/12/2019,9:15,,0.5385
11/5/2019,SJB07,3,Detritus,,Detritus,DT,P13,6.0785,21.8946,,10:10,7.9634,11/12/2019,9:15,,1.8849
11/8/2019,SJB06,2,Detritus,,Detritus,DT,SA7,2.4949,16.9338,,9:20,4.2677,11/16/2019,9:20,,1.7728
11/8/2019,SJB06,3,Detritus,,Detritus,DT,SA24,2.5135,12.8292,,9:20,3.307,11/16/2019,9:20,,0.7935
11/15/2019,SJB17,1,Detritus,,Detritus,DT,SA10,2.4829,20.4005,,9:25,4.178,11/20/2019,9:35,,1.6951
11/15/2019,SJB17,2,Detritus,,Detritus,DT,SA3,2.503,11.7493,,9:25,3.2467,11/20/2019,9:35,,0.7437
12/3/2019,SJB10,2,Detritus,,Detritus,DT,SA17,2.4908,15.0607,,10:25,3.1742,12/9/2019,9:25,,0.6834
12/6/2019,SJB17,3,Detritus,,Detritus,DT,SA24,2.512,41.0475,,9:42,5.5276,12/13/2019,9:50,,3.0156
1/7/2020,SMAR03,1,Detritus,,Detritus,DT,P8,6.4067,110.4014,,9:45,16.1061,1/15/2020,9:25,,9.6994
1/13/2020,SMAR03,2,Detritus,,Detritus,DT,SA3,2.5017,31.5401,,10:00,6.2107,1/21/2020,8:35,,3.709
1/24/2020,SMAR03,3,Detritus,,Detritus,DT,P13,6.0765,68.9587,1/24/2020,11:35,13.0102,1/29/2020,8:55,,6.9337
1/28/2020,SMAR04,1,Detritus,,Detritus,DT,P17,6.1259,94.0513,1/29/2020,10:30,14.0572,2/3/2020,8:55,,7.9313
2/4/2020,SMAR01,9,Detritus,,Detritus,DT,SA21,2.4963,13.5334,2/6/2020,9:00,3.3275,2/10/2020,9:15,,0.8312
2/4/2020,SMAR14,2,Detritus,,Detritus,DT,P11,6.1658,47.9919,2/6/2020,9:00,14.0446,2/10/2020,9:15,,7.8788
2/11/2020,SMAR12,3,Detritus,,Detritus,DT,P16,6.4113,96.1258,2/13/2020,9:30,13.9031,2/17/2020,9:15,,7.4918
2/11/2020,SMAR12,2,Detritus,,Detritus,DT,P18,5.9133,119.8554,2/13/2020,9:30,15.5912,2/17/2020,9:15,,9.6779
2/11/2020,SMAR12,1,Detritus,,Detritus,DT,P15,6.1404,88.2787,2/13/2020,9:30,12.7308,2/17/2020,9:15,,6.5904
2/18/2020,SMAR24,2,Detritus,,Detritus,DT,SA22,2.5259,38.535,2/19/2020,5:00,4.9072,2/24/2020,3:40,,2.3813
2/18/2020,SMAR23,2,Detritus,,Detritus,DT,P7,6.4781,126.3947,2/19/2020,5:00,17.9338,2/24/2020,3:40,,11.4557
2/21/2020,SMAR14,1,Detritus,,Detritus,DT,P2,6.3076,77.4968,2/24/2020,8:45,15.0004,2/28/2020,10:00,,8.6928
2/25/2020,SMAR04,3,Detritus,,Detritus,DT,P11,6.1507,127.2308,2/26/2020,11:13,15.7394,3/2/2020,8:40,,9.5887
2/26/2020,SMAR25,2,Detritus,,Detritus,DT,P5,6.3524,120.3383,2/26/2020,11:13,14.7961,3/2/2020,8:40,,8.4437
3/3/2020,SMAR23,1,Detritus,,Detritus,DT,P2,6.305,109.4828,3/6/2020,12:13,16.9704,3/11/2020,9:00,,10.6654
3/3/2020,SMAR04,2,Detritus,,Detritus,DT,P4,6.3876,120.4716,3/6/2020,12:13,15.5248,3/11/2020,9:00,,9.1372
3/6/2020,SMAR14,3,Detritus,,Detritus,DT,P12,6.1272,92.9885,3/6/2020,12:13,17.4913,3/11/2020,9:00,,11.3641
3/10/2020,SMAR24,3,Detritus,,Detritus,DT,SA25,2.5214,42.8955,3/12/2029,9:00,5.027,3/17/2020,9:00,,2.5056
3/10/2020,SMAR24,1,Detritus,,Detritus,DT,SA6,2.5012,41.6248,3/12/2029,9:00,5.1287,3/17/2020,9:00,,2.6275
3/13/2020,SJB16,2,Detritus,,Detritus,DT,SA21,2.4968,11.3503,3/12/2020,11:10,3.2445,3/17/2020,9:00,,0.7477
9/16/2020,STCH02,2,Detritus,,Detritus,DT,P17,6.302,15.6861,9/16/2020,9:45,7.099,9/21/2020,12:00,,0.797
9/16/2020,STCH02,1,Detritus,,Detritus,DT,P5,6.3485,21.1182,9/16/2020,10:20,7.63,9/21/2020,12:00,,1.2815
9/23/2020,SMAR25,1,detritus,,Detritus,DT,P7,6.446,164.013,9/23/2020,9:53,19.174,9/28/2020,9:30,,12.728
9/23/2020,SMAR23,3,detritus,,Detritus,DT,P11,6.162,137.813,9/23/2020,10:38,18.296,9/28/2020,9:30,,12.134
9/23/2020,SJB10,1,Detritus,,Detritus,DT,P10,6.383,33.521,9/23/2020,10:59,9.182,9/28/2020,9:30,,2.799
9/30/2020,SJB16,1,Detritus,,Detritus,DT,P15,6.1401,16.6647,9/30/2020,9:03,7.1251,10/5/2020,8:38,,0.985
10/22/2019,SJB14,1,Epiphytes,,Algae,AGB,SA10,2.4836,37.4945,,8:15,9.9884,10/29/2019,8:45,,7.5048
10/22/2019,SJB14,2,Epiphytes,,Algae,AGB,SA11,2.4909,19.1571,,8:15,5.5652,10/29/2019,8:45,,3.0743
10/25/2019,SJB13,2,Epiphytes,,Algae,AGB,SA21,2.4964,4.2999,,8:45,2.7466,11/2/2019,10:00,,0.2502
10/25/2019,SJB14,3,Epiphytes,,Algae,AGB,SA18,2.4996,15.203,,8:45,4.8236,11/2/2019,10:00,,2.324
10/29/2019,SJB 13,1,Epiphytes,,Algae,AGB,SA24,2.5886,22.1487,,10:10,5.53,11/6/2019,10:00,,2.9414
11/1/2019,SJB07,2,Epiphytes,,Algae,AGB,SA3,2.5021,8.6013,,10:10,2.9684,11/6/2019,10:00,,0.4663
11/5/2019,SJB07,3,Epiphytes,,Algae,AGB,SA5,2.5159,44.2695,,10:10,8.8548,11/12/2019,9:15,,6.3389
11/15/2019,SJB17,1,Epiphytes,,Algae,AGB,SA11,2.4909,24.337,,9:25,5.5613,11/20/2019,9:35,,3.0704
11/15/2019,SJB17,2,epiphytes,,Algae,AGB,SA21,2.4955,23.1167,,9:25,5.1218,11/20/2019,9:35,,2.6263
12/3/2019,SJB10,2,Epiphytes,,Algae,AGB,SA9,2.5231,33.6611,,10:25,4.5792,12/9/2019,9:25,,2.0561
12/6/2019,SJB17,3,Epiphytes,,Algae,AGB,SA22,2.5066,48.5843,,9:42,9.2447,12/13/2019,9:50,,6.7381
1/13/2020,SMAR03,2,Epiphytes,,Algae,AGB,SA12,2.5037,34.1304,,10:00,5.9215,1/21/2020,8:35,,3.4178
1/24/2020,SMAR03,3,Epiphytes,,Algae,AGB,SA10,2.4833,20.7134,1/24/2020,11:35,5.313,1/29/2020,8:55,,2.8297
1/28/2020,SMAR04,1,Epiphytes,,Algae,AGB,SA17,2.5145,24.4981,1/29/2020,10:30,4.4592,2/3/2020,8:55,,1.9447
2/11/2020,SMAR12,3,Epiphytes,,Algae,AGB,SA24,2.5287,11.6005,2/13/2020,9:30,3.5132,2/17/2020,9:15,,0.9845
2/21/2020,SMAR14,1,epiphytes,,Algae,AGB,SA17,2.4951,23.2887,2/24/2020,8:45,5.1935,2/28/2020,10:00,,2.6984
3/13/2020,SJB16,2,epiphytes,,Algae,AGB,SA4,2.5154,7.9341,3/12/2020,11:10,2.8446,3/17/2020,9:00,,0.3292
9/16/2020,STCH02,2,epiphytes,,Algae,AGB,SA1,2.5176,16.6605,9/16/2020,9:45,3.196,9/21/2020,12:00,,0.6784
9/16/2020,STCH02,1,epiphytes,,Algae,AGB,SA2,2.4854,24.6333,9/16/2020,10:20,3.485,9/21/2020,12:00,,0.9996
10/4/2019,STCH05,8,Filamentous_algae,,Algae,AGB,NA,1.2736,2.2788,,10:14,1.3054,10/8/2019,10:17,,0.0318
10/6/2019,STCH06,1,Filamentous_algae,,Algae,AGB,NA,1.2771,9.4456,,10:35,1.7932,10/12/2019,10:35,,0.5161
10/6/2019,STCH06,2,Filamentous_algae,,Algae,AGB,NA,1.2729,2.7082,,10:35,1.3544,10/12/2019,10:35,,0.0815
10/6/2019,STCH05,1,Filamentous_algae,,Algae,AGB,NA,1.2786,8.5928,,11:52,1.767,10/12/2019,10:35,,0.4884
10/10/2019,STCH05,3,Filamentous_algae,,Algae,AGB,sa3,2.5036,4.8304,,10:34,2.6008,10/16/2016,10:45,,0.0972
10/15/2019,SJB02,1,Filamentous_algae,,Algae,AGB,SA8,2.5281,2.7216,,11:00,2.5388,10/20/2019,10:40,,0.0107
10/25/2019,SJB13,2,Filamentous_algae,,Algae,AGB,SA25,2.5165,2.6863,,8:45,2.5224,11/2/2019,10:00,,0.0059
11/1/2019,SJB07,2,Filamentous_algae,,Algae,AGB,SA17,2.4953,3.0953,,10:10,2.5365,11/6/2019,10:00,,0.0412
11/15/2019,SJB17,1,Filamentous_algae,,Algae,AGB,SA12,2.5042,2.6438,,9:25,2.516,11/20/2019,9:35,,0.0118
11/15/2019,SJB17,2,Filamentous_algae,,Algae,AGB,SA9,2.5212,5.8224,,9:25,2.7531,11/20/2019,9:35,,0.2319
12/6/2019,SJB17,3,Filamentous_algae,,Algae,AGB,SA4,2.511,4.0718,,9:42,3.042,12/13/2019,9:50,,0.531
1/7/2020,SMAR03,1,Filamentous_algae,,Algae,AGB,P11,6.1803,59.3972,,9:45,8.695,1/15/2020,9:25,,2.5147
1/13/2020,SMAR03,2,Filamentous_algae,,Algae,AGB,SA22,2.5073,11.0789,,10:00,3.1434,1/21/2020,8:35,,0.6361
1/24/2020,SMAR03,3,Filamentous_algae,,Algae,AGB,SA24,2.5139,11.1532,1/24/2020,11:35,3.2173,1/29/2020,8:55,,0.7034
1/28/2020,SMAR04,1,Filamentous_algae,,Algae,AGB,SA7,2.539,5.7782,1/29/2020,10:30,2.6727,2/3/2020,8:55,,0.1337
2/11/2020,SMAR12,3,Filamentous_algae,,Algae,AGB,SA12,2.5085,2.6778,2/13/2020,9:30,2.5282,2/17/2020,9:15,,0.0197
2/11/2020,SMAR12,2,Filamentous_algae,,Algae,AGB,SA10,2.4867,3.3873,2/13/2020,9:30,2.5767,2/17/2020,9:15,,0.09
2/18/2020,SMAR24,2,Filamentous_algae,,Algae,AGB,SA21,2.5145,9.9868,2/19/2020,5:00,2.9011,2/24/2020,3:40,,0.3866
2/18/2020,SMAR23,2,Filamentous_algae,,Algae,AGB,SA19,2.5054,2.609,2/19/2020,5:00,2.4942,2/24/2020,3:40,,-0.0112
2/21/2020,SMAR14,1,Filamentous_algae,,Algae,AGB,SA8,2.5285,14.1197,2/24/2020,8:45,3.2907,2/28/2020,10:00,,0.7622
2/25/2020,SMAR04,3,Filamentous_algae,,Algae,AGB,SA25,2.517,5.7237,2/26/2020,11:13,2.6577,3/2/2020,8:40,,0.1407
2/25/2020,SMAR25,2,Filamentous_algae,,Algae,AGB,SA13,2.4884,19.4025,2/26/2020,11:13,3.3075,3/2/2020,8:40,,0.8191
3/3/2020,SMAR23,1,Filamentous_algae,,Algae,AGB,SA9,2.5305,12.1568,3/6/2020,12:13,3.0438,3/11/2020,9:00,,0.5133
3/3/2020,SMAR04,2,Filamentous_algae,,Algae,AGB,SA17,2.4975,5.4839,3/6/2020,12:13,2.6353,3/11/2020,9:00,,0.1378
3/6/2020,SMAR14,3,Filamentous_algae,,Algae,AGB,SA16,2.4858,4.691,3/6/2020,12:13,2.5777,3/11/2020,9:00,,0.0919
3/10/2020,SMAR24,3,Filamentous_algae,,Algae,AGB,SA18,2.4991,5.4248,3/12/2029,9:00,2.607,3/17/2020,9:00,,0.1079
3/10/2020,SMAR24,1,Filamentous_algae,,Algae,AGB,SA13,2.484,6.3375,3/12/2029,9:00,2.6501,3/17/2020,9:00,,0.1661
9/23/2020,SMAR25,1,Filamentous_algae,,Algae,AGB,SA11,2.505,11.699,9/23/2020,9:53,3.21,9/28/2020,9:30,,0.705
9/23/2020,SMAR23,3,Filamentous_algae,,Algae,AGB,SA20,2.53,20.372,9/23/2020,10:38,3.465,9/28/2020,9:30,,0.935
10/6/2019,STCH05,1,Red_Alga_Fuzzy,,Algae,AGB,NA,1.2763,1.6829,,11:52,1.3093,10/12/2019,10:35,,0.033
10/10/2019,STCH05,3,Red_Alga_Fuzzy,,Algae,AGB,p8,6.4256,37.7043,,10:34,8.2379,10/16/2016,10:45,,1.8123
10/18/2019,STCH06,3,Red_Alga_Fuzzy,,Algae,AGB,SA5,2.5163,5.5296,,10:42,2.7497,10/25/2019,8:15,,0.2334
1/7/2020,SMAR03,1,Red_Alga_Fuzzy,,Algae,AGB,SA10,2.5017,3.3634,,9:45,2.5792,1/15/2020,9:25,,0.0775
2/4/2020,SMAR01,9,Red_Alga_Fuzzy,,Algae,AGB,SA4,2.5119,2.561,2/6/2020,9:00,2.5151,2/10/2020,9:15,,0.0032
10/6/2019,STCH05,1,Halimeda_incrassata,,Algae,AGB,NA,1.2835,7.8866,,11:52,3.1738,10/12/2019,10:35,,1.8903
10/6/2019,STCH05,2,Halimeda_incrassata,,Algae,AGB,NA,1.2783,9.284,,12:15,2.907,10/12/2019,10:35,,1.6287
10/10/2019,STCH05,3,Halimeda_incrassata,,Algae,AGB,p6,6.603,16.3165,,10:34,7.8906,10/16/2016,10:45,,1.2876
2/25/2020,SMAR04,3,Halimeda_incrassata,,Algae,AGB,SA10,2.4879,2.7391,2/26/2020,11:13,2.5682,3/2/2020,8:40,,0.0803
2/25/2020,SMAR25,2,Halimeda_incrassata,,Algae,AGB,SA16,2.488,4.1765,2/26/2020,11:13,2.8289,3/2/2020,8:40,,0.3409
10/18/2019,STCH06,6,Halimeda_incrassata,,Algae,AGB,SA16,2.485,3.8224,,10:42,2.735,10/25/2019,8:15,,0.25
10/6/2019,STCH06,1,Halodule_wrightii,shoal grass,SAV,AGB,NA,1.2757,1.5223,,10:35,1.3164,10/12/2019,10:35,,0.0407
10/6/2019,STCH06,2,Halodule_wrightii,shoal grass,SAV,AGB,NA,34.603,40.706,,10:35,35.147,10/12/2019,10:35,,0.544
10/10/2019,STCH05,3,Halodule_wrightii,shoal grass,SAV,AGB,p9,6.4277,10.2517,,10:34,6.714,10/16/2016,10:45,,0.2863
10/18/2019,STCH06,3,Halodule_wrightii,shoal grass,SAV,AGB,SA6,2.4996,5.0281,,10:42,2.6734,10/25/2019,8:15,,0.1738
10/18/2019,STCH06,6,Halodule_wrightii,shoal grass,SAV,AGB,P6,6.372,10.3025,,10:42,6.6553,10/25/2019,8:15,,0.2833
10/25/2019,SJB13,2,Halodule_wrightii,shoal grass,SAV,AGB,P14,6.1257,61.1601,,8:45,11.4425,11/2/2019,10:00,,5.3168
10/25/2019,SJB13,3,Halodule_wrightii,shoal grass,SAV,AGB,P19,6.0607,90.4058,,8:45,14.5856,11/2/2019,10:00,,8.5249
10/29/2019,SJB07,1,Halodule_wrightii,shoal grass,SAV,AGB,P2,6.3758,82.6263,,10:10,14.039,11/6/2019,10:00,,7.6632
11/1/2019,SJB07,2,Halodule_wrightii,shoal grass,SAV,AGB,SA9,2.5267,7.5532,,10:10,2.947,11/6/2019,10:00,,0.4203
11/5/2019,SJB06,1,Halodule_wrightii,shoal grass,SAV,AGB,P1,6.3795,37.9135,,10:10,9.7488,11/12/2019,9:15,,3.3693
11/5/2019,SJB07,3,Halodule_wrightii,shoal grass,SAV,AGB,P17,6.1237,8.3509,,10:10,6.3839,11/12/2019,9:15,,0.2602
11/8/2019,SJB06,2,Halodule_wrightii,shoal grass,SAV,ABG,P16,6.4454,40.1261,,9:20,9.5969,11/16/2019,9:20,,3.1515
11/8/2019,SJB06,3,Halodule_wrightii,shoal grass,SAV,AGB,P2,6.3087,54.315,,9:20,11.2012,11/16/2019,9:20,,4.8925
11/15/2019,SJB17,2,Halodule_wrightii,shoal grass,SAV,AGB,SA4,2.5121,2.5161,,9:25,2.5149,11/20/2019,9:35,,0.0028
2/18/2020,SMAR24,2,Halodule_wrightii,shoal grass,SAV,AGB,SA20,2.5058,5.1645,2/19/2020,5:00,2.7737,2/24/2020,3:40,,0.2679
2/18/2020,SMAR23,2,Halodule_wrightii,shoal grass,SAV,AGB,SA5,2.5144,2.7496,2/19/2020,5:00,2.5338,2/24/2020,3:40,,0.0194
2/25/2020,SMAR25,2,Halodule_wrightii,shoal grass,SAV,AGB,SA2,2.4858,4.2128,2/26/2020,11:13,2.6734,3/2/2020,8:40,,0.1876
3/10/2020,SMAR24,3,Halodule_wrightii,shoal grass,SAV,AGB,SA2,2.4851,4.9295,3/12/2029,9:00,2.7601,3/17/2020,9:00,,0.275
9/23/2020,SMAR25,1,Halodule_wrightii,shoal grass,SAV,AGB,SA15,2.531,9.067,9/23/2020,9:53,3.191,9/28/2020,9:30,,0.66
10/4/2019,STCH05,8,Halophila_decipiens,paddle grass,SAV,AGB,NA,1.2929,1.6811,,10:14,1.3281,10/8/2019,10:17,,0.0352
10/6/2019,STCH06,2,Halophila_decipiens,paddle grass,SAV,AGB,NA,33.7508,39.1696,,10:35,34.4438,10/12/2019,10:35,,0.693
10/18/2019,STCH06,3,Halophila_decipiens,paddle grass,SAV,AGB,SA1,2.5152,7.8362,,10:42,3.1277,10/25/2019,8:15,,0.6125
10/18/2019,STCH06,6,Halophila_decipiens,paddle grass,SAV,AGB,SA15,2.5185,3.3445,,10:42,2.5913,10/25/2019,8:15,,0.0728
10/25/2019,SJB13,3,Halophila_decipiens,paddle grass,SAV,AGB,SA20,2.4861,4.6155,,8:45,2.6833,11/2/2019,10:00,,0.1972
2/25/2020,SMAR04,3,Halophila_decipiens,paddle grass,SAV,AGB,SA7,2.4999,4.5578,2/26/2020,11:13,2.9819,3/2/2020,8:40,,0.482
2/25/2020,SMAR25,2,Halophila_decipiens,paddle grass,SAV,AGB,SA11,2.4922,2.7264,2/26/2020,11:13,2.5586,3/2/2020,8:40,,0.0664
3/10/2020,SMAR24,3,Halophila_decipiens,paddle grass,SAV,AGB,SA10,2.4842,2.8334,3/12/2029,9:00,2.6042,3/17/2020,9:00,,0.12
3/10/2020,SMAR24,1,Halophila_decipiens,paddle grass,SAV,AGB,SA5,2.5039,2.5461,3/12/2029,9:00,2.5183,3/17/2020,9:00,,0.0144
9/23/2020,SMAR25,1,Halophila_decipiens,paddle grass,SAV,AGB,SA12,2.508,3.349,9/23/2020,9:53,2.664,9/28/2020,9:30,,0.156
9/23/2020,SMAR23,3,Halophila_decipiens,paddle grass,SAV,AGB,SA19,2.487,3.508,9/23/2020,10:38,2.627,9/28/2020,9:30,,0.14
10/4/2019,STCH20,2,Halophila_engelmanni,star grass,SAV,AGB,NA,1.2711,4.7932,,10:14,1.4965,10/8/2019,10:17,,0.2254
10/6/2019,STCH06,1,Halophila_engelmanni,star grass,SAV,AGB,NA,1.2737,4.0474,,10:35,1.4646,10/12/2019,10:35,,0.1909
10/15/2019,SJB02,3,Hormomyaexusta,scorched mussel,Animal,AGB,SA11,2.4916,2.7178,,11:00,2.6073,10/20/2019,10:40,,0.1157
10/18/2019,STCH06,3,Hormomyaexusta,scorched mussel,Animal,AGB,SA14,2.4835,3.2513,,10:42,2.6918,10/25/2019,8:15,,0.2083
11/15/2019,SJB17,1,Hormomyaexusta,scorched mussel,Animal,AGB,SA22,2.5079,2.518,,9:25,2.511,11/20/2019,9:35,,0.0031
2/4/2020,SMAR01,10,Hormomyaexusta,scorched mussel,Animal,AGB,SA19,2.4906,3.3874,2/6/2020,9:00,2.7619,2/10/2020,9:15,,0.2713
10/10/2019,STCH05,3,JuvenileCrab,,Animal,AGB,sa2,2.4855,2.7543,,10:34,2.5452,10/16/2016,10:45,,0.0597
10/15/2019,SJB02,1,Modulusmodulus,Atlantic modulus,Animal,AGB,SA9,2.5221,3.1859,,11:00,2.9149,10/20/2019,10:40,,0.3928
10/15/2019,SJB02,3,Modulusmodulus,Atlantic modulus,Animal,AGB,SA12,2.5055,5.1735,,11:00,3.7942,10/20/2019,10:40,,1.2887
9/30/2020,STCH04,3,NA,,Animal,AGB,,,,,,,,,,0
10/10/2019,SJB02,2,Ophiodermaappressum, harlequin brittle star,Animal,,sa4,2.5132,3.0227,,10:34,2.7421,10/16/2016,10:45,,0.2289
10/6/2019,STCH05,1,Penicillus_sp,mermaid's paint brush,Algae,AGB,NA,1.2757,1.6847,,11:52,1.2935,10/12/2019,10:35,,0.0178
